model,system,round,codebleu,rougeLsum,score_document,score_reference,score_reference_document
Gemini-1.5-pro,m113,round_2,0.8511,0.9244,29,34,32
Gemini-1.5-pro,m113,round_3,0.856,0.9314,12,47,57
Gemini-1.5-pro,man,round_1,0.0947,0.0151,0,7,0
Gemini-1.5-pro,man,round_2,0.7707,0.9058,62,50,74
Gemini-1.5-pro,man,round_3,0.6331,0.8266,22,37,22
Gemini-1.5-pro,mass_spring_damper,round_1,0.3537,0.5396,59,0,17
Gemini-1.5-pro,mass_spring_damper,round_2,0.8503,0.9573,42,55,72
Gemini-1.5-pro,mass_spring_damper,round_3,0.9435,0.9825,70,53,68
Gemini-1.5-pro,particles,round_1,0.2994,0.2401,32,22,17
Gemini-1.5-pro,particles,round_2,0.8596,0.961,55,57,44
Gemini-1.5-pro,particles,round_3,0.9221,0.95,57,60,47
Gemini-1.5-pro,pendulum,round_1,0.3049,0.317,89,25,27
Gemini-1.5-pro,pendulum,round_2,0.7951,0.9255,67,24,37
Gemini-1.5-pro,pendulum,round_3,0.662,0.8792,12,32,33
Gemini-1.5-pro,rigid_highway,round_1,0.2451,0.3548,32,0,25
Gemini-1.5-pro,rigid_highway,round_2,0.8969,0.9175,12,77,67
Gemini-1.5-pro,rigid_highway,round_3,0.8961,0.9842,54,82,78
Gemini-1.5-pro,rigid_multipatches,round_1,0.3439,0.4564,45,0,20
Gemini-1.5-pro,rigid_multipatches,round_2,0.7866,0.925,19,12,52
Gemini-1.5-pro,rigid_multipatches,round_3,0.8864,0.9869,49,67,70
Gemini-1.5-pro,rotor,round_1,0.2779,0.3578,12,0,27
Gemini-1.5-pro,rotor,round_2,0.8169,0.9596,82,27,42
Gemini-1.5-pro,rotor,round_3,0.6569,0.8885,44,42,44
Gemini-1.5-pro,scm,round_1,0.2916,0.4031,63,0,32
Gemini-1.5-pro,scm,round_2,0.5843,0.8596,10,82,67
Gemini-1.5-pro,scm,round_3,0.6089,0.8323,29,30,27
Gemini-1.5-pro,scm_hill,round_1,0.303,0.4143,26,22,15
Gemini-1.5-pro,scm_hill,round_2,0.7334,0.7777,12,12,37
Gemini-1.5-pro,scm_hill,round_3,0.8601,0.9495,37,67,47
Gemini-1.5-pro,sedan,round_1,0.0815,0.0196,10,5,32
Gemini-1.5-pro,sedan,round_2,0.6134,0.7538,52,12,32
Gemini-1.5-pro,sedan,round_3,0.554,0.8191,82,12,35
Gemini-1.5-pro,sensros,round_1,0.2505,0.38,22,0,7
Gemini-1.5-pro,sensros,round_2,0.7616,0.9159,72,34,32
Gemini-1.5-pro,sensros,round_3,0.9803,0.9946,22,17,32
Gemini-1.5-pro,slider_crank,round_1,0.3362,0.5258,60,12,34
Gemini-1.5-pro,slider_crank,round_2,0.7955,0.8429,83,67,44
Gemini-1.5-pro,slider_crank,round_3,0.8829,0.9707,75,48,45
Gemini-1.5-pro,tablecloth,round_1,0.2452,0.3156,12,12,12
Gemini-1.5-pro,tablecloth,round_2,0.656,0.9116,39,51,71
Gemini-1.5-pro,tablecloth,round_3,0.9488,0.996,24,57,65
Gemini-1.5-pro,turtlebot,round_1,0.2505,0.4768,55,27,2
Gemini-1.5-pro,turtlebot,round_2,0.8454,0.9719,72,60,85
Gemini-1.5-pro,turtlebot,round_3,0.5049,0.7607,29,20,47
Gemini-1.5-pro,uazbus,round_1,0.2791,0.4694,12,0,20
Gemini-1.5-pro,uazbus,round_2,0.7954,0.872,50,29,63
Gemini-1.5-pro,uazbus,round_3,0.8533,0.9525,12,57,37
Gemini-1.5-pro,veh_app,round_1,0.3082,0.5393,85,0,32
Gemini-1.5-pro,veh_app,round_2,0.8237,0.8723,67,10,27
Gemini-1.5-pro,veh_app,round_3,0.8911,0.9653,22,12,34
Gemini-1.5-pro,vehros,round_1,0.308,0.292,0,7,25
Gemini-1.5-pro,vehros,round_2,0.6082,0.8593,74,30,15
Gemini-1.5-pro,vehros,round_3,0.7531,0.9002,37,37,44
Gemini-1.5-pro,viper,round_1,0.3191,0.4787,59,0,27
Gemini-1.5-pro,viper,round_2,0.8636,0.9886,84,47,68
Gemini-1.5-pro,viper,round_3,0.734,0.9114,38,24,37
Gemini-2.5-pro,art,round_1,0.3108,0.5005,50,2,34
Gemini-2.5-pro,art,round_2,0.8994,0.9847,80,83,77
Gemini-2.5-pro,art,round_3,0.7876,0.9234,44,47,62
Gemini-2.5-pro,beam,round_1,0.3469,0.3955,62,27,30
Gemini-2.5-pro,beam,round_2,0.7219,0.922,57,70,80
Gemini-2.5-pro,beam,round_3,0.7833,0.877,82,77,67
Gemini-2.5-pro,buckling,round_1,0.3029,0.3444,50,0,44
Gemini-2.5-pro,buckling,round_2,0.807,0.9751,67,65,77
Gemini-2.5-pro,buckling,round_3,0.6357,0.8353,82,37,42
Gemini-2.5-pro,cable,round_1,0.3483,0.3639,64,17,32
Gemini-2.5-pro,cable,round_2,0.926,0.9922,64,63,67
Gemini-2.5-pro,cable,round_3,0.4049,0.5709,75,27,52
Gemini-2.5-pro,camera,round_1,0.2976,0.4575,57,19,13
Gemini-2.5-pro,camera,round_2,0.6672,0.7689,66,12,49
Gemini-2.5-pro,camera,round_3,0.6777,0.839,32,24,37
Gemini-2.5-pro,citybus,round_1,0.3456,0.4923,62,12,24
Gemini-2.5-pro,citybus,round_2,0.8697,0.9714,24,43,68
Gemini-2.5-pro,citybus,round_3,0.7738,0.9734,94,63,100
Gemini-2.5-pro,curiosity,round_1,0.3553,0.3378,82,14,54
Gemini-2.5-pro,curiosity,round_2,0.7204,0.8295,92,62,63
Gemini-2.5-pro,curiosity,round_3,0.599,0.839,77,23,42
Gemini-2.5-pro,feda,round_1,0.3392,0.4808,64,0,22
Gemini-2.5-pro,feda,round_2,0.6447,0.8163,95,95,45
Gemini-2.5-pro,feda,round_3,0.7315,0.8625,12,12,52
Gemini-2.5-pro,gator,round_1,0.3743,0.5445,74,0,32
Gemini-2.5-pro,gator,round_2,0.5865,0.7518,80,12,14
Gemini-2.5-pro,gator,round_3,0.7355,0.9437,92,62,72
Gemini-2.5-pro,gear,round_1,0.3192,0.3966,64,17,30
Gemini-2.5-pro,gear,round_2,0.0195,0.0349,25,0,0
Gemini-2.5-pro,gear,round_3,0.4666,0.6222,20,17,27
Gemini-2.5-pro,gps_imu,round_1,0.3599,0.5,88,0,27
Gemini-2.5-pro,gps_imu,round_2,0.7279,0.8536,88,12,32
Gemini-2.5-pro,gps_imu,round_3,0.6893,0.8686,22,67,70
Gemini-2.5-pro,handler,round_1,0.3279,0.3706,74,52,47
Gemini-2.5-pro,handler,round_2,0.967,0.9802,62,75,75
Gemini-2.5-pro,handler,round_3,0.5269,0.709,65,9,31
Gemini-2.5-pro,hmmwv,round_1,0.3776,0.6002,100,51,36
Gemini-2.5-pro,hmmwv,round_2,0.431,0.5859,70,27,37
Gemini-2.5-pro,hmmwv,round_3,0.5873,0.8783,24,39,42
Gemini-2.5-pro,kraz,round_1,0.296,0.5,93,44,42
Gemini-2.5-pro,kraz,round_2,0.4271,0.5672,20,41,31
Gemini-2.5-pro,kraz,round_3,0.5017,0.7486,77,0,15
Gemini-2.5-pro,lidar,round_1,0.3252,0.4501,42,0,37
Gemini-2.5-pro,lidar,round_2,0.3305,0.5116,25,0,12
Gemini-2.5-pro,lidar,round_3,0.5078,0.6913,19,7,12
Gemini-2.5-pro,m113,round_1,0.2999,0.4683,90,0,32
Gemini-2.5-pro,m113,round_2,0.6403,0.8018,24,27,67
Gemini-2.5-pro,m113,round_3,0.7753,0.9137,17,12,35
Gemini-2.5-pro,man,round_1,0.3332,0.5009,67,12,62
Gemini-2.5-pro,man,round_2,0.787,0.9438,87,62,57
Gemini-2.5-pro,man,round_3,0.5766,0.7941,27,0,32
Gemini-2.5-pro,mass_spring_damper,round_1,0.3695,0.3834,85,27,37
Gemini-2.5-pro,mass_spring_damper,round_2,0.6557,0.8781,95,67,67
Gemini-2.5-pro,mass_spring_damper,round_3,0.7299,0.9288,60,54,62
Gemini-2.5-pro,particles,round_1,0.3339,0.1882,57,32,42
Gemini-2.5-pro,particles,round_2,0.5336,0.7281,82,25,52
Gemini-2.5-pro,particles,round_3,0.5292,0.7322,83,20,53
Gemini-2.5-pro,pendulum,round_1,0.3137,0.4083,43,29,47
Gemini-2.5-pro,pendulum,round_2,0.5126,0.7196,95,39,77
Gemini-2.5-pro,pendulum,round_3,0.4669,0.7314,49,57,59
Gemini-2.5-pro,rigid_highway,round_1,0.4218,0.5862,77,12,29
Gemini-2.5-pro,rigid_highway,round_2,0.7937,0.8793,12,22,37
Gemini-2.5-pro,rigid_highway,round_3,0.7475,0.9339,49,74,67
Gemini-2.5-pro,rigid_multipatches,round_1,0.3178,0.5192,72,5,24
Gemini-2.5-pro,rigid_multipatches,round_2,0.6449,0.7989,52,44,34
Gemini-2.5-pro,rigid_multipatches,round_3,0.7883,0.9967,45,90,72
Gemini-2.5-pro,rotor,round_1,0.3192,0.323,32,2,12
Gemini-2.5-pro,rotor,round_2,0.223,0.2863,17,20,0
Gemini-2.5-pro,rotor,round_3,0.1358,0.2495,67,32,44
Gemini-2.5-pro,scm,round_1,0.3069,0.3261,76,12,27
Gemini-2.5-pro,scm,round_2,0.5755,0.7895,100,44,51
Gemini-2.5-pro,scm,round_3,0.5889,0.686,62,12,27
Gemini-2.5-pro,scm_hill,round_1,0.3401,0.5276,74,0,47
Gemini-2.5-pro,scm_hill,round_2,0.6823,0.8009,77,12,12
Gemini-2.5-pro,scm_hill,round_3,0.7376,0.88,78,69,57
Gemini-2.5-pro,sedan,round_1,0.326,0.4832,47,37,25
Gemini-2.5-pro,sedan,round_2,0.5235,0.7072,64,14,39
Gemini-2.5-pro,sedan,round_3,0.5239,0.7422,37,29,29
Gemini-2.5-pro,sensros,round_1,0.3039,0.4189,100,19,20
Gemini-2.5-pro,sensros,round_2,0.6764,0.8703,93,37,32
Gemini-2.5-pro,sensros,round_3,0.3832,0.5184,35,0,19
Gemini-2.5-pro,slider_crank,round_1,0.3187,0.3019,90,52,32
Gemini-2.5-pro,slider_crank,round_2,0.7339,0.762,69,54,64
Gemini-2.5-pro,slider_crank,round_3,0.4488,0.6784,27,15,27
Gemini-2.5-pro,tablecloth,round_1,0.2856,0.3992,12,12,34
Gemini-2.5-pro,tablecloth,round_2,0.5484,0.7691,85,67,29
Gemini-2.5-pro,tablecloth,round_3,0.8983,0.9556,96,29,59
Gemini-2.5-pro,turtlebot,round_1,0.309,0.4496,100,12,42
Gemini-2.5-pro,turtlebot,round_2,0.6858,0.837,90,75,85
Gemini-2.5-pro,turtlebot,round_3,0.5278,0.7312,57,37,49
Gemini-2.5-pro,uazbus,round_1,0.2768,0.3678,49,20,12
Gemini-2.5-pro,uazbus,round_2,0.6067,0.6764,58,12,37
Gemini-2.5-pro,uazbus,round_3,0.7946,0.8679,44,27,12
Gemini-2.5-pro,veh_app,round_1,0.3734,0.5848,62,14,37
Gemini-2.5-pro,veh_app,round_2,0.5944,0.8235,12,27,42
Gemini-2.5-pro,veh_app,round_3,0.5992,0.8558,84,0,10
Gemini-2.5-pro,vehros,round_1,0.3759,0.2661,67,22,34
Gemini-2.5-pro,vehros,round_2,0.6539,0.8757,89,45,64
Gemini-2.5-pro,vehros,round_3,0.518,0.7068,80,30,27
Gemini-2.5-pro,viper,round_1,0.3272,0.4734,86,12,32
Gemini-2.5-pro,viper,round_2,0.885,0.9722,37,67,62
Gemini-2.5-pro,viper,round_3,0.7089,0.8811,44,42,0
claude-3-5-sonnet,art,round_1,0.2819,0.5433,84,12,27
claude-3-5-sonnet,art,round_2,0.9744,1.0,12,90,90
claude-3-5-sonnet,art,round_3,0.9671,1.0,52,93,50
claude-3-5-sonnet,beam,round_1,0.3199,0.4196,72,25,27
claude-3-5-sonnet,beam,round_2,0.7719,0.9567,65,62,54
claude-3-5-sonnet,beam,round_3,0.7699,0.9496,49,72,57
claude-3-5-sonnet,buckling,round_1,0.2518,0.3144,50,29,27
claude-3-5-sonnet,buckling,round_2,0.7404,0.9358,84,59,32
claude-3-5-sonnet,buckling,round_3,0.6004,0.8487,90,0,32
claude-3-5-sonnet,cable,round_1,0.3015,0.3664,70,15,24
claude-3-5-sonnet,cable,round_2,0.9627,1.0,85,98,80
claude-3-5-sonnet,cable,round_3,0.4716,0.6819,55,20,35
claude-3-5-sonnet,camera,round_1,0.2456,0.4459,52,0,35
claude-3-5-sonnet,camera,round_2,0.9044,0.961,12,32,64
claude-3-5-sonnet,camera,round_3,0.7951,0.9266,24,12,0
claude-3-5-sonnet,citybus,round_1,0.3544,0.5893,69,2,27
claude-3-5-sonnet,citybus,round_2,0.8231,0.9636,12,5,39
claude-3-5-sonnet,citybus,round_3,0.8973,0.973,37,57,54
claude-3-5-sonnet,curiosity,round_1,0.2646,0.5114,59,0,32
claude-3-5-sonnet,curiosity,round_2,0.7289,0.8836,58,17,58
claude-3-5-sonnet,curiosity,round_3,0.5755,0.8263,68,12,38
claude-3-5-sonnet,feda,round_1,0.3729,0.6352,47,0,12
claude-3-5-sonnet,feda,round_2,0.8161,0.9156,42,0,34
claude-3-5-sonnet,feda,round_3,0.7244,0.888,55,12,27
claude-3-5-sonnet,gator,round_1,0.2918,0.5599,34,22,37
claude-3-5-sonnet,gator,round_2,0.7029,0.7677,52,27,27
claude-3-5-sonnet,gator,round_3,0.8702,0.972,58,39,34
claude-3-5-sonnet,gear,round_1,0.302,0.3863,64,42,20
claude-3-5-sonnet,gear,round_2,1.0,1.0,54,63,68
claude-3-5-sonnet,gear,round_3,0.5799,0.8073,54,7,37
claude-3-5-sonnet,gps_imu,round_1,0.312,0.6026,44,0,29
claude-3-5-sonnet,gps_imu,round_2,0.7379,0.9211,37,12,37
claude-3-5-sonnet,gps_imu,round_3,0.3677,0.5197,37,19,34
claude-3-5-sonnet,handler,round_1,0.2851,0.4774,12,20,9
claude-3-5-sonnet,handler,round_2,0.9303,0.9604,35,65,47
claude-3-5-sonnet,handler,round_3,0.6766,0.8669,92,0,12
claude-3-5-sonnet,hmmwv,round_1,0.3227,0.6769,74,0,25
claude-3-5-sonnet,hmmwv,round_2,0.5231,0.7495,54,27,32
claude-3-5-sonnet,hmmwv,round_3,0.6381,0.911,22,32,37
claude-3-5-sonnet,kraz,round_1,0.3372,0.5683,37,17,29
claude-3-5-sonnet,kraz,round_2,0.7162,0.8467,57,17,20
claude-3-5-sonnet,kraz,round_3,0.5056,0.7873,12,0,27
claude-3-5-sonnet,lidar,round_1,0.3181,0.4913,25,14,7
claude-3-5-sonnet,lidar,round_2,0.6945,0.8438,17,39,42
claude-3-5-sonnet,lidar,round_3,0.6594,0.8252,25,17,22
claude-3-5-sonnet,m113,round_1,0.2906,0.5176,79,0,32
claude-3-5-sonnet,m113,round_2,0.7885,0.9421,82,12,34
claude-3-5-sonnet,m113,round_3,0.8039,0.9487,12,12,42
claude-3-5-sonnet,man,round_1,0.2178,0.2124,85,32,12
claude-3-5-sonnet,man,round_2,0.717,0.9267,24,12,29
claude-3-5-sonnet,man,round_3,0.6411,0.8542,20,32,30
claude-3-5-sonnet,mass_spring_damper,round_1,0.3625,0.4476,84,12,30
claude-3-5-sonnet,mass_spring_damper,round_2,0.6673,0.9035,72,45,45
claude-3-5-sonnet,mass_spring_damper,round_3,0.7465,0.9179,34,27,29
claude-3-5-sonnet,particles,round_1,0.2858,0.2834,62,27,32
claude-3-5-sonnet,particles,round_2,0.8121,0.9322,67,39,37
claude-3-5-sonnet,particles,round_3,0.6733,0.8362,57,32,30
claude-3-5-sonnet,pendulum,round_1,0.3328,0.4587,67,35,12
claude-3-5-sonnet,pendulum,round_2,0.6415,0.8521,59,37,12
claude-3-5-sonnet,pendulum,round_3,0.6238,0.8594,42,2,20
claude-3-5-sonnet,rigid_highway,round_1,0.3173,0.5393,62,0,27
claude-3-5-sonnet,rigid_highway,round_2,0.8989,0.979,87,72,77
claude-3-5-sonnet,rigid_highway,round_3,0.8799,0.9795,57,72,72
claude-3-5-sonnet,rigid_multipatches,round_1,0.3931,0.6414,78,7,12
claude-3-5-sonnet,rigid_multipatches,round_2,0.7192,0.9122,12,37,47
claude-3-5-sonnet,rigid_multipatches,round_3,0.9165,1.0,83,82,67
claude-3-5-sonnet,rotor,round_1,0.2874,0.4301,74,0,17
claude-3-5-sonnet,rotor,round_2,0.8009,0.9335,81,45,50
claude-3-5-sonnet,rotor,round_3,0.626,0.925,49,42,64
claude-3-5-sonnet,scm,round_1,0.3057,0.5383,55,0,30
claude-3-5-sonnet,scm,round_2,0.6465,0.9064,39,17,24
claude-3-5-sonnet,scm,round_3,0.667,0.8454,45,25,27
claude-3-5-sonnet,scm_hill,round_1,0.2797,0.4857,37,7,27
claude-3-5-sonnet,scm_hill,round_2,0.622,0.852,74,27,22
claude-3-5-sonnet,scm_hill,round_3,0.7808,0.9268,58,34,29
claude-3-5-sonnet,sedan,round_1,0.1992,0.2421,84,12,7
claude-3-5-sonnet,sedan,round_2,0.6375,0.7636,12,35,39
claude-3-5-sonnet,sedan,round_3,0.5494,0.8083,12,22,40
claude-3-5-sonnet,sensros,round_1,0.251,0.4209,47,0,12
claude-3-5-sonnet,sensros,round_2,0.8467,0.9661,67,22,42
claude-3-5-sonnet,sensros,round_3,0.9325,0.9799,12,35,17
claude-3-5-sonnet,slider_crank,round_1,0.3062,0.4716,49,0,25
claude-3-5-sonnet,slider_crank,round_2,0.5972,0.8497,38,12,44
claude-3-5-sonnet,slider_crank,round_3,0.7957,0.9306,77,44,54
claude-3-5-sonnet,tablecloth,round_1,0.2858,0.3898,47,0,30
claude-3-5-sonnet,tablecloth,round_2,0.642,0.9137,49,56,71
claude-3-5-sonnet,tablecloth,round_3,0.9965,0.998,42,68,38
claude-3-5-sonnet,turtlebot,round_1,0.2952,0.4404,65,37,27
claude-3-5-sonnet,turtlebot,round_2,0.7016,0.9484,82,62,36
claude-3-5-sonnet,turtlebot,round_3,0.4489,0.7758,70,0,42
claude-3-5-sonnet,uazbus,round_1,0.3419,0.6405,32,2,0
claude-3-5-sonnet,uazbus,round_2,0.7452,0.8388,80,29,29
claude-3-5-sonnet,uazbus,round_3,0.8043,0.9541,44,0,16
claude-3-5-sonnet,veh_app,round_1,0.3198,0.5492,62,0,37
claude-3-5-sonnet,veh_app,round_2,0.8248,0.9115,14,0,64
claude-3-5-sonnet,veh_app,round_3,0.7846,0.9066,67,0,17
claude-3-5-sonnet,vehros,round_1,0.3324,0.4606,79,2,17
claude-3-5-sonnet,vehros,round_2,0.6144,0.8563,50,45,37
claude-3-5-sonnet,vehros,round_3,0.6709,0.8893,90,37,12
claude-3-5-sonnet,viper,round_1,0.2968,0.6035,30,27,0
claude-3-5-sonnet,viper,round_2,0.9212,0.9602,67,52,44
claude-3-5-sonnet,viper,round_3,0.6719,0.8623,80,12,40
claude-3-7-sonnet-20250219,art,round_1,0.2994,0.6066,88,35,25
claude-3-7-sonnet-20250219,art,round_2,0.9744,1.0,15,80,90
claude-3-7-sonnet-20250219,art,round_3,0.9351,0.9974,47,82,83
claude-3-7-sonnet-20250219,beam,round_1,0.3543,0.4448,14,25,25
claude-3-7-sonnet-20250219,beam,round_2,0.7485,0.8971,47,67,47
claude-3-7-sonnet-20250219,beam,round_3,0.8014,0.9631,90,54,57
claude-3-7-sonnet-20250219,buckling,round_1,0.2936,0.3885,54,27,42
claude-3-7-sonnet-20250219,buckling,round_2,0.7706,0.9324,85,40,52
claude-3-7-sonnet-20250219,buckling,round_3,0.6226,0.8532,82,19,22
claude-3-7-sonnet-20250219,cable,round_1,0.332,0.2947,70,12,27
claude-3-7-sonnet-20250219,cable,round_2,0.9523,0.9884,74,68,80
claude-3-7-sonnet-20250219,cable,round_3,0.4736,0.7103,64,35,42
claude-3-7-sonnet-20250219,camera,round_1,0.2671,0.4673,60,32,30
claude-3-7-sonnet-20250219,camera,round_2,0.9705,0.9954,54,72,59
claude-3-7-sonnet-20250219,camera,round_3,0.8462,0.9592,12,37,20
claude-3-7-sonnet-20250219,citybus,round_1,0.3332,0.5494,67,0,35
claude-3-7-sonnet-20250219,citybus,round_2,0.7671,0.9612,32,47,47
claude-3-7-sonnet-20250219,citybus,round_3,0.9685,0.9961,64,85,57
claude-3-7-sonnet-20250219,curiosity,round_1,0.3931,0.3246,52,24,29
claude-3-7-sonnet-20250219,curiosity,round_2,0.708,0.8679,67,49,34
claude-3-7-sonnet-20250219,curiosity,round_3,0.639,0.794,47,22,44
claude-3-7-sonnet-20250219,feda,round_1,0.3335,0.5536,84,22,37
claude-3-7-sonnet-20250219,feda,round_2,0.8751,0.977,55,72,67
claude-3-7-sonnet-20250219,feda,round_3,0.7322,0.8509,30,25,17
claude-3-7-sonnet-20250219,gator,round_1,0.3845,0.5781,87,10,12
claude-3-7-sonnet-20250219,gator,round_2,0.6445,0.826,12,14,50
claude-3-7-sonnet-20250219,gator,round_3,0.9298,0.9921,90,73,75
claude-3-7-sonnet-20250219,gear,round_1,0.3114,0.3436,52,34,37
claude-3-7-sonnet-20250219,gear,round_2,0.7741,0.9087,74,39,49
claude-3-7-sonnet-20250219,gear,round_3,0.6092,0.7785,75,57,62
claude-3-7-sonnet-20250219,gps_imu,round_1,0.3559,0.6186,72,20,27
claude-3-7-sonnet-20250219,gps_imu,round_2,0.8292,0.9244,12,0,32
claude-3-7-sonnet-20250219,gps_imu,round_3,0.7772,0.9522,69,67,92
claude-3-7-sonnet-20250219,handler,round_1,0.2856,0.5249,35,0,20
claude-3-7-sonnet-20250219,handler,round_2,0.967,0.9802,47,55,65
claude-3-7-sonnet-20250219,handler,round_3,0.7113,0.8892,64,25,30
claude-3-7-sonnet-20250219,hmmwv,round_1,0.293,0.4891,83,25,0
claude-3-7-sonnet-20250219,hmmwv,round_2,0.5933,0.7541,12,12,35
claude-3-7-sonnet-20250219,hmmwv,round_3,0.6903,0.9349,27,54,47
claude-3-7-sonnet-20250219,kraz,round_1,0.3398,0.5179,87,25,12
claude-3-7-sonnet-20250219,kraz,round_2,0.7597,0.8116,64,67,74
claude-3-7-sonnet-20250219,kraz,round_3,0.5584,0.7678,12,0,27
claude-3-7-sonnet-20250219,lidar,round_1,0.3132,0.4967,82,12,37
claude-3-7-sonnet-20250219,lidar,round_2,0.7531,0.8327,0,12,12
claude-3-7-sonnet-20250219,lidar,round_3,0.672,0.8153,12,0,14
claude-3-7-sonnet-20250219,m113,round_1,0.3211,0.541,79,7,25
claude-3-7-sonnet-20250219,m113,round_2,0.8861,0.9508,82,44,22
claude-3-7-sonnet-20250219,m113,round_3,0.8504,0.9591,12,64,14
claude-3-7-sonnet-20250219,man,round_1,0.3683,0.6345,84,12,37
claude-3-7-sonnet-20250219,man,round_2,0.8225,0.9265,32,69,59
claude-3-7-sonnet-20250219,man,round_3,0.6904,0.8403,12,12,22
claude-3-7-sonnet-20250219,mass_spring_damper,round_1,0.4239,0.5283,84,37,44
claude-3-7-sonnet-20250219,mass_spring_damper,round_2,0.6026,0.8319,82,49,60
claude-3-7-sonnet-20250219,mass_spring_damper,round_3,0.9435,0.9825,39,52,68
claude-3-7-sonnet-20250219,particles,round_1,0.3309,0.262,52,27,29
claude-3-7-sonnet-20250219,particles,round_2,0.8871,0.9685,62,57,70
claude-3-7-sonnet-20250219,particles,round_3,0.8668,0.9297,57,48,67
claude-3-7-sonnet-20250219,pendulum,round_1,0.3384,0.4394,84,37,47
claude-3-7-sonnet-20250219,pendulum,round_2,0.6233,0.8103,72,37,42
claude-3-7-sonnet-20250219,pendulum,round_3,0.6464,0.8613,67,22,37
claude-3-7-sonnet-20250219,rigid_highway,round_1,0.3154,0.4861,74,0,12
claude-3-7-sonnet-20250219,rigid_highway,round_2,0.8567,0.9136,88,52,67
claude-3-7-sonnet-20250219,rigid_highway,round_3,0.8696,0.9654,12,90,82
claude-3-7-sonnet-20250219,rigid_multipatches,round_1,0.5173,0.5572,87,17,27
claude-3-7-sonnet-20250219,rigid_multipatches,round_2,0.7831,0.9255,27,34,37
claude-3-7-sonnet-20250219,rigid_multipatches,round_3,0.9259,1.0,17,83,72
claude-3-7-sonnet-20250219,rotor,round_1,0.2782,0.4297,69,0,20
claude-3-7-sonnet-20250219,rotor,round_2,0.9744,0.9931,43,90,85
claude-3-7-sonnet-20250219,rotor,round_3,0.7059,0.9318,12,44,47
claude-3-7-sonnet-20250219,scm,round_1,0.3802,0.6132,78,37,32
claude-3-7-sonnet-20250219,scm,round_2,0.629,0.8981,27,59,72
