model,system,category,turn1,turn2,turn3,Δ12,Δ23,Δ13,family
Gemini-2.5-pro,rotor,FEA,12.00,0.00,44.00,-12.00,44.00,32.00,Gemini
Gemini-2.5-pro,scm,VEH,27.00,51.00,27.00,24.00,-24.00,0.00,Gemini
Gemini-2.5-pro,scm_hill,VEH,47.00,12.00,57.00,-35.00,45.00,10.00,Gemini
Gemini-2.5-pro,sedan,VEH,25.00,39.00,29.00,14.00,-10.00,4.00,Gemini
Gemini-2.5-pro,sensros,RBT,20.00,32.00,19.00,12.00,-13.00,-1.00,Gemini
Gemini-2.5-pro,slider_crank,MBS,32.00,64.00,27.00,32.00,-37.00,-5.00,Gemini
Gemini-2.5-pro,tablecloth,FEA,34.00,29.00,59.00,-5.00,30.00,25.00,Gemini
Gemini-2.5-pro,turtlebot,RBT,42.00,85.00,49.00,43.00,-36.00,7.00,Gemini
Gemini-2.5-pro,uazbus,VEH,12.00,37.00,12.00,25.00,-25.00,0.00,Gemini
Gemini-2.5-pro,veh_app,SEN,37.00,42.00,10.00,5.00,-32.00,-27.00,Gemini
Gemini-2.5-pro,vehros,RBT,34.00,64.00,27.00,30.00,-37.00,-7.00,Gemini
Gemini-2.5-pro,viper,RBT,32.00,62.00,0.00,30.00,-62.00,-32.00,Gemini
claude-3-5-sonnet,art,VEH,27.00,90.00,50.00,63.00,-40.00,23.00,Claude
claude-3-5-sonnet,beam,FEA,27.00,54.00,57.00,27.00,3.00,30.00,Claude
claude-3-5-sonnet,buckling,FEA,27.00,32.00,32.00,5.00,0.00,5.00,Claude
claude-3-5-sonnet,cable,FEA,24.00,80.00,35.00,56.00,-45.00,11.00,Claude
claude-3-5-sonnet,camera,SEN,35.00,64.00,0.00,29.00,-64.00,-35.00,Claude
claude-3-5-sonnet,citybus,VEH,27.00,39.00,54.00,12.00,15.00,27.00,Claude
claude-3-5-sonnet,curiosity,RBT,32.00,58.00,38.00,26.00,-20.00,6.00,Claude
claude-3-5-sonnet,feda,VEH,12.00,34.00,27.00,22.00,-7.00,15.00,Claude
claude-3-5-sonnet,gator,VEH,37.00,27.00,34.00,-10.00,7.00,-3.00,Claude
claude-3-5-sonnet,gear,MBS,20.00,68.00,37.00,48.00,-31.00,17.00,Claude
claude-3-5-sonnet,gps_imu,SEN,29.00,37.00,34.00,8.00,-3.00,5.00,Claude
claude-3-5-sonnet,handler,RBT,9.00,47.00,12.00,38.00,-35.00,3.00,Claude
claude-3-5-sonnet,hmmwv,VEH,25.00,32.00,37.00,7.00,5.00,12.00,Claude
claude-3-5-sonnet,kraz,VEH,29.00,20.00,27.00,-9.00,7.00,-2.00,Claude
claude-3-5-sonnet,lidar,SEN,7.00,42.00,22.00,35.00,-20.00,15.00,Claude
claude-3-5-sonnet,m113,VEH,32.00,34.00,42.00,2.00,8.00,10.00,Claude
claude-3-5-sonnet,man,VEH,12.00,29.00,30.00,17.00,1.00,18.00,Claude
claude-3-5-sonnet,mass_spring_damper,MBS,30.00,45.00,29.00,15.00,-16.00,-1.00,Claude
claude-3-5-sonnet,particles,MBS,32.00,37.00,30.00,5.00,-7.00,-2.00,Claude
claude-3-5-sonnet,pendulum,MBS,12.00,12.00,20.00,0.00,8.00,8.00,Claude
claude-3-5-sonnet,rigid_highway,VEH,27.00,77.00,72.00,50.00,-5.00,45.00,Claude
claude-3-5-sonnet,rigid_multipatches,VEH,12.00,47.00,67.00,35.00,20.00,55.00,Claude
claude-3-5-sonnet,rotor,FEA,17.00,50.00,64.00,33.00,14.00,47.00,Claude
claude-3-5-sonnet,scm,VEH,30.00,24.00,27.00,-6.00,3.00,-3.00,Claude
claude-3-5-sonnet,scm_hill,VEH,27.00,22.00,29.00,-5.00,7.00,2.00,Claude
claude-3-5-sonnet,sedan,VEH,7.00,39.00,40.00,32.00,1.00,33.00,Claude
claude-3-5-sonnet,sensros,RBT,12.00,42.00,17.00,30.00,-25.00,5.00,Claude
claude-3-5-sonnet,slider_crank,MBS,25.00,44.00,54.00,19.00,10.00,29.00,Claude
claude-3-5-sonnet,tablecloth,FEA,30.00,71.00,38.00,41.00,-33.00,8.00,Claude
claude-3-5-sonnet,turtlebot,RBT,27.00,36.00,42.00,9.00,6.00,15.00,Claude
claude-3-5-sonnet,uazbus,VEH,0.00,29.00,16.00,29.00,-13.00,16.00,Claude
claude-3-5-sonnet,veh_app,SEN,37.00,64.00,17.00,27.00,-47.00,-20.00,Claude
claude-3-5-sonnet,vehros,RBT,17.00,37.00,12.00,20.00,-25.00,-5.00,Claude
claude-3-5-sonnet,viper,RBT,0.00,44.00,40.00,44.00,-4.00,40.00,Claude
claude-3-7-sonnet-20250219,art,VEH,25.00,90.00,83.00,65.00,-7.00,58.00,Claude
claude-3-7-sonnet-20250219,beam,FEA,25.00,47.00,57.00,22.00,10.00,32.00,Claude
claude-3-7-sonnet-20250219,buckling,FEA,42.00,52.00,22.00,10.00,-30.00,-20.00,Claude
claude-3-7-sonnet-20250219,cable,FEA,27.00,80.00,42.00,53.00,-38.00,15.00,Claude
claude-3-7-sonnet-20250219,camera,SEN,30.00,59.00,20.00,29.00,-39.00,-10.00,Claude
claude-3-7-sonnet-20250219,citybus,VEH,35.00,47.00,57.00,12.00,10.00,22.00,Claude
claude-3-7-sonnet-20250219,curiosity,RBT,29.00,34.00,44.00,5.00,10.00,15.00,Claude
claude-3-7-sonnet-20250219,feda,VEH,37.00,67.00,17.00,30.00,-50.00,-20.00,Claude
claude-3-7-sonnet-20250219,gator,VEH,12.00,50.00,75.00,38.00,25.00,63.00,Claude
claude-3-7-sonnet-20250219,gear,MBS,37.00,49.00,62.00,12.00,13.00,25.00,Claude
claude-3-7-sonnet-20250219,gps_imu,SEN,27.00,32.00,92.00,5.00,60.00,65.00,Claude
claude-3-7-sonnet-20250219,handler,RBT,20.00,65.00,30.00,45.00,-35.00,10.00,Claude
claude-3-7-sonnet-20250219,hmmwv,VEH,0.00,35.00,47.00,35.00,12.00,47.00,Claude
claude-3-7-sonnet-20250219,kraz,VEH,12.00,74.00,27.00,62.00,-47.00,15.00,Claude
claude-3-7-sonnet-20250219,lidar,SEN,37.00,12.00,14.00,-25.00,2.00,-23.00,Claude
claude-3-7-sonnet-20250219,m113,VEH,25.00,22.00,14.00,-3.00,-8.00,-11.00,Claude
claude-3-7-sonnet-20250219,man,VEH,37.00,59.00,22.00,22.00,-37.00,-15.00,Claude
claude-3-7-sonnet-20250219,mass_spring_damper,MBS,44.00,60.00,68.00,16.00,8.00,24.00,Claude
claude-3-7-sonnet-20250219,particles,MBS,29.00,70.00,67.00,41.00,-3.00,38.00,Claude
claude-3-7-sonnet-20250219,pendulum,MBS,47.00,42.00,37.00,-5.00,-5.00,-10.00,Claude
claude-3-7-sonnet-20250219,rigid_highway,VEH,12.00,67.00,82.00,55.00,15.00,70.00,Claude
claude-3-7-sonnet-20250219,rigid_multipatches,VEH,27.00,37.00,72.00,10.00,35.00,45.00,Claude
claude-3-7-sonnet-20250219,rotor,FEA,20.00,85.00,47.00,65.00,-38.00,27.00,Claude
claude-3-7-sonnet-20250219,scm,VEH,32.00,72.00,29.00,40.00,-43.00,-3.00,Claude
claude-3-7-sonnet-20250219,scm_hill,VEH,27.00,32.00,57.00,5.00,25.00,30.00,Claude
claude-3-7-sonnet-20250219,sedan,VEH,27.00,52.00,35.00,25.00,-17.00,8.00,Claude
claude-3-7-sonnet-20250219,sensros,RBT,0.00,39.00,74.00,39.00,35.00,74.00,Claude
claude-3-7-sonnet-20250219,slider_crank,MBS,69.00,67.00,54.00,-2.00,-13.00,-15.00,Claude
claude-3-7-sonnet-20250219,tablecloth,FEA,27.00,56.00,62.00,29.00,6.00,35.00,Claude
claude-3-7-sonnet-20250219,turtlebot,RBT,42.00,41.00,9.00,-1.00,-32.00,-33.00,Claude
claude-3-7-sonnet-20250219,uazbus,VEH,12.00,75.00,39.00,63.00,-36.00,27.00,Claude
claude-3-7-sonnet-20250219,veh_app,SEN,27.00,77.00,64.00,50.00,-13.00,37.00,Claude
claude-3-7-sonnet-20250219,vehros,RBT,12.00,54.00,54.00,42.00,0.00,42.00,Claude
claude-3-7-sonnet-20250219,viper,RBT,29.00,77.00,29.00,48.00,-48.00,0.00,Claude
claude-4-sonnet-20250514,art,VEH,27.00,85.00,50.00,58.00,-35.00,23.00,Claude
claude-4-sonnet-20250514,beam,FEA,24.00,72.00,62.00,48.00,-10.00,38.00,Claude
claude-4-sonnet-20250514,buckling,FEA,42.00,69.00,42.00,27.00,-27.00,0.00,Claude
claude-4-sonnet-20250514,cable,FEA,32.00,75.00,37.00,43.00,-38.00,5.00,Claude
claude-4-sonnet-20250514,camera,SEN,50.00,77.00,32.00,27.00,-45.00,-18.00,Claude
claude-4-sonnet-20250514,citybus,VEH,39.00,68.00,85.00,29.00,17.00,46.00,Claude
claude-4-sonnet-20250514,curiosity,RBT,22.00,39.00,64.00,17.00,25.00,42.00,Claude
claude-4-sonnet-20250514,feda,VEH,32.00,75.00,37.00,43.00,-38.00,5.00,Claude
claude-4-sonnet-20250514,gator,VEH,27.00,42.00,67.00,15.00,25.00,40.00,Claude
claude-4-sonnet-20250514,gear,MBS,37.00,85.00,64.00,48.00,-21.00,27.00,Claude
claude-4-sonnet-20250514,gps_imu,SEN,37.00,57.00,54.00,20.00,-3.00,17.00,Claude
claude-4-sonnet-20250514,handler,RBT,32.00,65.00,30.00,33.00,-35.00,-2.00,Claude
claude-4-sonnet-20250514,hmmwv,VEH,39.00,30.00,62.00,-9.00,32.00,23.00,Claude
claude-4-sonnet-20250514,kraz,VEH,37.00,70.00,30.00,33.00,-40.00,-7.00,Claude
claude-4-sonnet-20250514,lidar,SEN,32.00,32.00,32.00,0.00,0.00,0.00,Claude
claude-4-sonnet-20250514,m113,VEH,29.00,49.00,55.00,20.00,6.00,26.00,Claude
claude-4-sonnet-20250514,man,VEH,37.00,89.00,52.00,52.00,-37.00,15.00,Claude
claude-4-sonnet-20250514,mass_spring_damper,MBS,39.00,70.00,52.00,31.00,-18.00,13.00,Claude
claude-4-sonnet-20250514,particles,MBS,12.00,73.00,68.00,61.00,-5.00,56.00,Claude
claude-4-sonnet-20250514,pendulum,MBS,32.00,55.00,54.00,23.00,-1.00,22.00,Claude
claude-4-sonnet-20250514,rigid_highway,VEH,57.00,80.00,82.00,23.00,2.00,25.00,Claude
claude-4-sonnet-20250514,rigid_multipatches,VEH,30.00,41.00,69.00,11.00,28.00,39.00,Claude
claude-4-sonnet-20250514,rotor,FEA,47.00,95.00,62.00,48.00,-33.00,15.00,Claude
claude-4-sonnet-20250514,scm,VEH,72.00,69.00,27.00,-3.00,-42.00,-45.00,Claude
claude-4-sonnet-20250514,scm_hill,VEH,27.00,29.00,58.00,2.00,29.00,31.00,Claude
claude-4-sonnet-20250514,sedan,VEH,49.00,57.00,7.00,8.00,-50.00,-42.00,Claude
claude-4-sonnet-20250514,sensros,RBT,12.00,32.00,74.00,20.00,42.00,62.00,Claude
claude-4-sonnet-20250514,slider_crank,MBS,44.00,69.00,49.00,25.00,-20.00,5.00,Claude
claude-4-sonnet-20250514,tablecloth,FEA,42.00,67.00,43.00,25.00,-24.00,1.00,Claude
claude-4-sonnet-20250514,turtlebot,RBT,32.00,69.00,27.00,37.00,-42.00,-5.00,Claude
claude-4-sonnet-20250514,uazbus,VEH,29.00,75.00,37.00,46.00,-38.00,8.00,Claude
claude-4-sonnet-20250514,veh_app,SEN,15.00,87.00,47.00,72.00,-40.00,32.00,Claude
claude-4-sonnet-20250514,vehros,RBT,12.00,52.00,62.00,40.00,10.00,50.00,Claude
claude-4-sonnet-20250514,viper,RBT,27.00,67.00,24.00,40.00,-43.00,-3.00,Claude
codestral-22b-instruct-v0.1,art,VEH,2.00,90.00,80.00,88.00,-10.00,78.00,Other
codestral-22b-instruct-v0.1,beam,FEA,7.00,42.00,74.00,35.00,32.00,67.00,Other
codestral-22b-instruct-v0.1,buckling,FEA,2.00,72.00,32.00,70.00,-40.00,30.00,Other
codestral-22b-instruct-v0.1,cable,FEA,2.00,78.00,37.00,76.00,-41.00,35.00,Other
codestral-22b-instruct-v0.1,camera,SEN,32.00,62.00,24.00,30.00,-38.00,-8.00,Other
codestral-22b-instruct-v0.1,citybus,VEH,15.00,32.00,70.00,17.00,38.00,55.00,Other
codestral-22b-instruct-v0.1,curiosity,RBT,19.00,63.00,34.00,44.00,-29.00,15.00,Other
codestral-22b-instruct-v0.1,feda,VEH,0.00,44.00,35.00,44.00,-9.00,35.00,Other
codestral-22b-instruct-v0.1,gator,VEH,14.00,24.00,80.00,10.00,56.00,66.00,Other
codestral-22b-instruct-v0.1,gear,MBS,39.00,80.00,42.00,41.00,-38.00,3.00,Other
codestral-22b-instruct-v0.1,gps_imu,SEN,7.00,62.00,80.00,55.00,18.00,73.00,Other
codestral-22b-instruct-v0.1,handler,RBT,22.00,55.00,22.00,33.00,-33.00,0.00,Other
codestral-22b-instruct-v0.1,hmmwv,VEH,17.00,35.00,42.00,18.00,7.00,25.00,Other
codestral-22b-instruct-v0.1,kraz,VEH,10.00,59.00,25.00,49.00,-34.00,15.00,Other
codestral-22b-instruct-v0.1,lidar,SEN,29.00,42.00,27.00,13.00,-15.00,-2.00,Other
codestral-22b-instruct-v0.1,m113,VEH,15.00,37.00,37.00,22.00,0.00,22.00,Other
codestral-22b-instruct-v0.1,man,VEH,29.00,39.00,29.00,10.00,-10.00,0.00,Other
codestral-22b-instruct-v0.1,mass_spring_damper,MBS,30.00,45.00,34.00,15.00,-11.00,4.00,Other
codestral-22b-instruct-v0.1,particles,MBS,7.00,80.00,62.00,73.00,-18.00,55.00,Other
codestral-22b-instruct-v0.1,pendulum,MBS,12.00,12.00,55.00,0.00,43.00,43.00,Other
codestral-22b-instruct-v0.1,rigid_highway,VEH,27.00,59.00,82.00,32.00,23.00,55.00,Other
codestral-22b-instruct-v0.1,rigid_multipatches,VEH,25.00,44.00,64.00,19.00,20.00,39.00,Other
codestral-22b-instruct-v0.1,rotor,FEA,0.00,67.00,64.00,67.00,-3.00,64.00,Other
codestral-22b-instruct-v0.1,scm,VEH,12.00,27.00,37.00,15.00,10.00,25.00,Other
codestral-22b-instruct-v0.1,scm_hill,VEH,0.00,12.00,57.00,12.00,45.00,57.00,Other
codestral-22b-instruct-v0.1,sedan,VEH,2.00,35.00,25.00,33.00,-10.00,23.00,Other
codestral-22b-instruct-v0.1,sensros,RBT,27.00,39.00,73.00,12.00,34.00,46.00,Other
codestral-22b-instruct-v0.1,slider_crank,MBS,27.00,65.00,62.00,38.00,-3.00,35.00,Other
codestral-22b-instruct-v0.1,tablecloth,FEA,34.00,29.00,68.00,-5.00,39.00,34.00,Other
codestral-22b-instruct-v0.1,turtlebot,RBT,7.00,62.00,50.00,55.00,-12.00,43.00,Other
codestral-22b-instruct-v0.1,uazbus,VEH,7.00,59.00,25.00,52.00,-34.00,18.00,Other
codestral-22b-instruct-v0.1,veh_app,SEN,27.00,22.00,29.00,-5.00,7.00,2.00,Other
codestral-22b-instruct-v0.1,vehros,RBT,15.00,42.00,19.00,27.00,-23.00,4.00,Other
codestral-22b-instruct-v0.1,viper,RBT,37.00,85.00,29.00,48.00,-56.00,-8.00,Other
deepseek-r1,art,VEH,22.00,85.00,68.00,63.00,-17.00,46.00,DeepSeek
deepseek-r1,beam,FEA,22.00,78.00,44.00,56.00,-34.00,22.00,DeepSeek
deepseek-r1,buckling,FEA,12.00,69.00,62.00,57.00,-7.00,50.00,DeepSeek
deepseek-r1,cable,FEA,20.00,83.00,7.00,63.00,-76.00,-13.00,DeepSeek
deepseek-r1,camera,SEN,30.00,47.00,34.00,17.00,-13.00,4.00,DeepSeek
deepseek-r1,citybus,VEH,30.00,72.00,65.00,42.00,-7.00,35.00,DeepSeek
deepseek-r1,curiosity,RBT,32.00,57.00,39.00,25.00,-18.00,7.00,DeepSeek
deepseek-r1,feda,VEH,0.00,63.00,57.00,63.00,-6.00,57.00,DeepSeek
deepseek-r1,gator,VEH,12.00,32.00,59.00,20.00,27.00,47.00,DeepSeek
deepseek-r1,gear,MBS,5.00,68.00,27.00,63.00,-41.00,22.00,DeepSeek
deepseek-r1,gps_imu,SEN,32.00,37.00,69.00,5.00,32.00,37.00,DeepSeek
deepseek-r1,handler,RBT,27.00,65.00,37.00,38.00,-28.00,10.00,DeepSeek
deepseek-r1,hmmwv,VEH,42.00,32.00,37.00,-10.00,5.00,-5.00,DeepSeek
deepseek-r1,kraz,VEH,25.00,24.00,4.00,-1.00,-20.00,-21.00,DeepSeek
deepseek-r1,lidar,SEN,27.00,40.00,15.00,13.00,-25.00,-12.00,DeepSeek
deepseek-r1,m113,VEH,24.00,52.00,42.00,28.00,-10.00,18.00,DeepSeek
deepseek-r1,man,VEH,12.00,70.00,32.00,58.00,-38.00,20.00,DeepSeek
deepseek-r1,mass_spring_damper,MBS,32.00,72.00,44.00,40.00,-28.00,12.00,DeepSeek
deepseek-r1,particles,MBS,12.00,75.00,45.00,63.00,-30.00,33.00,DeepSeek
deepseek-r1,pendulum,MBS,17.00,12.00,54.00,-5.00,42.00,37.00,DeepSeek
deepseek-r1,rigid_highway,VEH,27.00,67.00,32.00,40.00,-35.00,5.00,DeepSeek
deepseek-r1,rigid_multipatches,VEH,25.00,59.00,69.00,34.00,10.00,44.00,DeepSeek
deepseek-r1,rotor,FEA,27.00,54.00,47.00,27.00,-7.00,20.00,DeepSeek
deepseek-r1,scm,VEH,32.00,29.00,12.00,-3.00,-17.00,-20.00,DeepSeek
deepseek-r1,scm_hill,VEH,22.00,37.00,39.00,15.00,2.00,17.00,DeepSeek
deepseek-r1,sedan,VEH,32.00,24.00,27.00,-8.00,3.00,-5.00,DeepSeek
deepseek-r1,sensros,RBT,27.00,32.00,67.00,5.00,35.00,40.00,DeepSeek
deepseek-r1,slider_crank,MBS,34.00,17.00,54.00,-17.00,37.00,20.00,DeepSeek
deepseek-r1,tablecloth,FEA,0.00,66.00,59.00,66.00,-7.00,59.00,DeepSeek
deepseek-r1,turtlebot,RBT,22.00,67.00,14.00,45.00,-53.00,-8.00,DeepSeek
deepseek-r1,uazbus,VEH,2.00,34.00,22.00,32.00,-12.00,20.00,DeepSeek
deepseek-r1,veh_app,SEN,24.00,50.00,12.00,26.00,-38.00,-12.00,DeepSeek
deepseek-r1,vehros,RBT,25.00,25.00,47.00,0.00,22.00,22.00,DeepSeek
deepseek-r1,viper,RBT,27.00,67.00,29.00,40.00,-38.00,2.00,DeepSeek
deepseek-r1-32b,art,VEH,25.00,90.00,90.00,65.00,0.00,65.00,DeepSeek
deepseek-r1-32b,beam,FEA,10.00,72.00,30.00,62.00,-42.00,20.00,DeepSeek
deepseek-r1-32b,buckling,FEA,27.00,62.00,32.00,35.00,-30.00,5.00,DeepSeek
deepseek-r1-32b,cable,FEA,20.00,83.00,12.00,63.00,-71.00,-8.00,DeepSeek
deepseek-r1-32b,camera,SEN,20.00,59.00,27.00,39.00,-32.00,7.00,DeepSeek
deepseek-r1-32b,citybus,VEH,2.00,72.00,85.00,70.00,13.00,83.00,DeepSeek
deepseek-r1-32b,curiosity,RBT,10.00,60.00,44.00,50.00,-16.00,34.00,DeepSeek
deepseek-r1-32b,feda,VEH,25.00,27.00,37.00,2.00,10.00,12.00,DeepSeek
deepseek-r1-32b,gator,VEH,7.00,40.00,72.00,33.00,32.00,65.00,DeepSeek
deepseek-r1-32b,gear,MBS,30.00,75.00,44.00,45.00,-31.00,14.00,DeepSeek
deepseek-r1-32b,gps_imu,SEN,17.00,37.00,77.00,20.00,40.00,60.00,DeepSeek
deepseek-r1-32b,handler,RBT,25.00,70.00,30.00,45.00,-40.00,5.00,DeepSeek
deepseek-r1-32b,hmmwv,VEH,10.00,35.00,7.00,25.00,-28.00,-3.00,DeepSeek
deepseek-r1-32b,kraz,VEH,45.00,67.00,12.00,22.00,-55.00,-33.00,DeepSeek
deepseek-r1-32b,lidar,SEN,34.00,17.00,32.00,-17.00,15.00,-2.00,DeepSeek
deepseek-r1-32b,m113,VEH,15.00,29.00,37.00,14.00,8.00,22.00,DeepSeek
deepseek-r1-32b,man,VEH,29.00,64.00,29.00,35.00,-35.00,0.00,DeepSeek
deepseek-r1-32b,mass_spring_damper,MBS,17.00,54.00,22.00,37.00,-32.00,5.00,DeepSeek
deepseek-r1-32b,particles,MBS,27.00,68.00,63.00,41.00,-5.00,36.00,DeepSeek
deepseek-r1-32b,pendulum,MBS,25.00,62.00,37.00,37.00,-25.00,12.00,DeepSeek
deepseek-r1-32b,rigid_highway,VEH,22.00,69.00,72.00,47.00,3.00,50.00,DeepSeek
deepseek-r1-32b,rigid_multipatches,VEH,25.00,22.00,67.00,-3.00,45.00,42.00,DeepSeek
deepseek-r1-32b,rotor,FEA,22.00,85.00,62.00,63.00,-23.00,40.00,DeepSeek
deepseek-r1-32b,scm,VEH,25.00,41.00,30.00,16.00,-11.00,5.00,DeepSeek
deepseek-r1-32b,scm_hill,VEH,2.00,24.00,29.00,22.00,5.00,27.00,DeepSeek
deepseek-r1-32b,sedan,VEH,15.00,22.00,30.00,7.00,8.00,15.00,DeepSeek
deepseek-r1-32b,sensros,RBT,20.00,27.00,73.00,7.00,46.00,53.00,DeepSeek
deepseek-r1-32b,slider_crank,MBS,15.00,77.00,68.00,62.00,-9.00,53.00,DeepSeek
deepseek-r1-32b,tablecloth,FEA,32.00,46.00,46.00,14.00,0.00,14.00,DeepSeek
deepseek-r1-32b,turtlebot,RBT,20.00,62.00,30.00,42.00,-32.00,10.00,DeepSeek
deepseek-r1-32b,uazbus,VEH,17.00,65.00,12.00,48.00,-53.00,-5.00,DeepSeek
deepseek-r1-32b,veh_app,SEN,22.00,30.00,52.00,8.00,22.00,30.00,DeepSeek
deepseek-r1-32b,vehros,RBT,7.00,12.00,34.00,5.00,22.00,27.00,DeepSeek
deepseek-r1-32b,viper,RBT,35.00,70.00,20.00,35.00,-50.00,-15.00,DeepSeek
deepseek-r1-8b,art,VEH,5.00,90.00,69.00,85.00,-21.00,64.00,DeepSeek
deepseek-r1-8b,beam,FEA,25.00,44.00,69.00,19.00,25.00,44.00,DeepSeek
