System,Category,Turn,Total_Lines,Code_Lines,Ref_Chars,Ref_Tokens,Input_Chars,Input_Tokens,Est_Tokens
kraz,Vehicle,3,187,116,4764,1268,450,83,1191
lidar,Sensor,1,201,97,3831,977,406,87,957
lidar,Sensor,2,222,120,4645,1178,661,149,1161
lidar,Sensor,3,269,159,6338,1639,957,196,1584
m113,Vehicle,1,137,86,3361,888,469,80,840
m113,Vehicle,2,144,90,3527,915,277,63,881
m113,Vehicle,3,147,92,3656,987,188,55,914
man,Vehicle,1,141,84,3181,845,442,84,795
man,Vehicle,2,140,83,3241,868,266,78,810
man,Vehicle,3,205,132,4888,1311,240,48,1222
mass_spring_damper,MBS,1,61,44,1490,491,373,79,372
mass_spring_damper,MBS,2,107,74,2620,847,1033,243,655
mass_spring_damper,MBS,3,112,78,2846,975,280,80,711
particles,MBS,1,103,74,3305,894,323,50,826
particles,MBS,2,119,86,3945,1061,1188,261,986
particles,MBS,3,140,97,4549,1277,492,160,1137
pendulum,MBS,1,70,46,1717,587,321,63,429
pendulum,MBS,2,71,47,1819,606,802,183,454
pendulum,MBS,3,97,63,2531,904,396,72,632
rigid_highway,MBS,1,150,88,3426,892,632,120,856
rigid_highway,MBS,2,157,92,3723,987,309,88,930
rigid_highway,MBS,3,152,90,3512,922,427,106,878
rigid_multipatches,MBS,1,112,81,3931,1178,704,129,982
rigid_multipatches,MBS,2,94,68,3027,835,1278,304,756
rigid_multipatches,MBS,3,146,101,4101,1219,922,263,1025
rotor,MBS,1,133,93,3776,1153,406,84,944
rotor,MBS,2,116,87,3686,1150,998,319,921
rotor,MBS,3,160,111,4318,1356,729,169,1079
scm,Vehicle,1,155,87,3295,858,706,128,823
scm,Vehicle,2,209,128,4668,1327,358,69,1167
scm,Vehicle,3,201,119,4734,1291,575,110,1183
scm_hill,Vehicle,1,157,88,3428,901,507,90,857
scm_hill,Vehicle,2,219,135,5114,1361,397,74,1278
scm_hill,Vehicle,3,145,82,3210,858,427,78,802
sedan,Vehicle,1,149,85,3190,846,468,91,797
sedan,Vehicle,2,172,103,4022,1082,375,65,1005
sedan,Vehicle,3,173,103,3944,1057,344,58,986
sensros,Sensor,1,135,90,4669,1338,486,96,1167
sensros,Sensor,2,146,98,5365,1578,251,62,1341
sensros,Sensor,3,146,98,5365,1578,318,79,1341
slider_crank,MBS,1,77,52,2217,741,434,81,554
slider_crank,MBS,2,118,80,2982,914,812,208,745
slider_crank,MBS,3,112,71,2926,962,434,107,731
tablecloth,FEA,1,109,76,3146,1023,332,66,786
tablecloth,FEA,2,174,104,4383,1314,1519,388,1095
tablecloth,FEA,3,175,107,4512,1355,397,111,1128
turtlebot,Robot,1,71,48,1932,597,440,83,483
turtlebot,Robot,2,83,63,2360,691,637,166,590
turtlebot,Robot,3,139,104,3802,1094,696,175,950
uazbus,Vehicle,1,140,84,3177,841,471,81,794
uazbus,Vehicle,2,159,101,3722,1027,395,85,930
uazbus,Vehicle,3,150,90,3469,940,372,104,867
veh_app,Vehicle,1,157,89,3380,981,497,89,845
veh_app,Vehicle,2,200,126,4775,1409,1128,319,1193
veh_app,Vehicle,3,224,146,5674,1647,417,105,1418
vehros,Robot,1,66,46,2020,582,516,94,505
vehros,Robot,2,97,75,3383,981,696,167,845
vehros,Robot,3,120,92,4395,1310,454,118,1098
viper,Robot,1,76,50,1910,590,407,78,477
viper,Robot,2,100,72,2678,828,1804,459,669
viper,Robot,3,80,56,2024,585,431,89,506
