model,system,round,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document,score_reference,score_reference_document
Gemini-1.5-pro,feda,round_3,0.6380,0.6600,0.6673,0.9027,0.3218,0.8362,0.7714,0.7819,0.8362,12,29,35
Gemini-1.5-pro,gator,round_1,0.2718,0.0574,0.0887,0.7080,0.2332,0.4463,0.2357,0.2651,0.4463,90,2,24
Gemini-1.5-pro,gator,round_2,0.7092,0.5525,0.6667,0.9198,0.6978,0.8384,0.7554,0.7540,0.8384,14,0,44
Gemini-1.5-pro,gator,round_3,0.8886,0.9099,0.9116,0.9752,0.7578,0.9934,0.9802,0.9908,0.9934,19,77,69
Gemini-1.5-pro,gear,round_1,0.2704,0.0570,0.0605,0.6262,0.3380,0.4349,0.1977,0.3211,0.4349,85,0,24
Gemini-1.5-pro,gear,round_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,62,88,80
Gemini-1.5-pro,gear,round_3,0.7346,0.6167,0.6208,0.9433,0.7574,0.8902,0.8129,0.8573,0.8902,69,44,52
Gemini-1.5-pro,gps_imu,round_1,0.2837,0.0709,0.0868,0.6888,0.2881,0.4046,0.1746,0.2458,0.4046,38,15,12
Gemini-1.5-pro,gps_imu,round_2,0.8285,0.7849,0.8087,0.9341,0.7864,0.9181,0.8681,0.8843,0.9181,67,34,54
Gemini-1.5-pro,gps_imu,round_3,0.7722,0.8843,0.8821,0.9621,0.3601,0.9626,0.9429,0.9412,0.9626,49,49,57
Gemini-1.5-pro,handler,round_1,0.2527,0.0202,0.0244,0.5970,0.3694,0.4547,0.2199,0.4000,0.4547,12,10,27
Gemini-1.5-pro,handler,round_2,0.9797,0.9734,0.9748,0.9707,0.0000,0.9946,0.9873,0.9946,0.9946,62,65,55
Gemini-1.5-pro,handler,round_3,0.6761,0.6106,0.6210,0.8304,0.6425,0.8549,0.7497,0.7163,0.8549,82,50,12
Gemini-1.5-pro,hmmwv,round_1,0.2445,0.0382,0.0762,0.6887,0.1749,0.3978,0.2454,0.2883,0.3942,75,27,5
Gemini-1.5-pro,hmmwv,round_2,0.5484,0.3961,0.6035,0.8411,0.3528,0.6232,0.5261,0.5530,0.6232,12,12,32
Gemini-1.5-pro,hmmwv,round_3,0.6556,0.6969,0.7010,0.8571,0.3673,0.9485,0.8897,0.8173,0.9485,87,70,64
Gemini-1.5-pro,kraz,round_1,0.2203,0.0309,0.0612,0.6186,0.1704,0.3419,0.1439,0.2022,0.3419,32,7,12
Gemini-1.5-pro,kraz,round_2,0.7572,0.8030,0.7956,0.9459,0.4843,0.9464,0.9120,0.9373,0.9464,12,75,55
Gemini-1.5-pro,kraz,round_3,0.4458,0.2755,0.2860,0.8958,0.3258,0.6648,0.5053,0.5616,0.6628,12,10,15
Gemini-1.5-pro,lidar,round_1,0.2596,0.0522,0.0830,0.6429,0.2605,0.4660,0.2110,0.3204,0.4660,52,17,12
Gemini-1.5-pro,lidar,round_2,0.7887,0.7682,0.8212,0.9655,0.6000,0.9162,0.8620,0.9042,0.9162,7,67,69
Gemini-1.5-pro,lidar,round_3,0.6019,0.5361,0.5980,0.8351,0.4383,0.7312,0.6077,0.5453,0.7296,37,22,27
Gemini-1.5-pro,m113,round_1,0.2383,0.0447,0.0703,0.6292,0.2089,0.3601,0.1860,0.2602,0.3529,2,27,17
Gemini-1.5-pro,m113,round_2,0.8511,0.8182,0.8671,0.9515,0.7678,0.9244,0.8795,0.8996,0.9244,29,34,32
Gemini-1.5-pro,m113,round_3,0.8560,0.8187,0.9088,0.9553,0.7410,0.9314,0.8891,0.8695,0.9314,12,47,57
Gemini-1.5-pro,man,round_1,0.0947,0.0008,0.0008,0.2066,0.1704,0.0151,0.0000,0.0113,0.0151,0,7,0
Gemini-1.5-pro,man,round_2,0.7707,0.7676,0.8489,0.9728,0.4934,0.9058,0.8650,0.8415,0.9058,62,50,74
Gemini-1.5-pro,man,round_3,0.6331,0.6421,0.6520,0.8910,0.3473,0.8266,0.7368,0.6795,0.8266,22,37,22
Gemini-1.5-pro,mass_spring_damper,round_1,0.3537,0.1128,0.1194,0.7361,0.4464,0.5396,0.2935,0.4109,0.5396,59,0,17
Gemini-1.5-pro,mass_spring_damper,round_2,0.8503,0.7682,0.8247,0.9335,0.8750,0.9573,0.9171,0.9467,0.9573,42,55,72
Gemini-1.5-pro,mass_spring_damper,round_3,0.9435,0.8876,0.8890,0.9975,1.0000,0.9825,0.9707,0.9731,0.9825,70,53,68
Gemini-1.5-pro,particles,round_1,0.2994,0.0631,0.0705,0.6959,0.3682,0.2401,0.0646,0.1640,0.2401,32,22,17
Gemini-1.5-pro,particles,round_2,0.8596,0.8225,0.8256,0.9716,0.8189,0.9610,0.9267,0.9122,0.9610,55,57,44
Gemini-1.5-pro,particles,round_3,0.9221,0.8511,0.8526,0.9981,0.9865,0.9500,0.9125,0.9068,0.9500,57,60,47
Gemini-1.5-pro,pendulum,round_1,0.3049,0.0590,0.0668,0.6721,0.4219,0.3170,0.1345,0.2188,0.3170,89,25,27
Gemini-1.5-pro,pendulum,round_2,0.7951,0.7543,0.7581,0.9681,0.7000,0.9255,0.8701,0.9020,0.9255,67,24,37
Gemini-1.5-pro,pendulum,round_3,0.6620,0.5563,0.5742,0.8682,0.6493,0.8792,0.8085,0.8652,0.8792,12,32,33
Gemini-1.5-pro,rigid_highway,round_1,0.2451,0.0327,0.0470,0.6442,0.2563,0.3548,0.1197,0.2097,0.3548,32,0,25
Gemini-1.5-pro,rigid_highway,round_2,0.8969,0.8762,0.9530,0.9784,0.7799,0.9175,0.9047,0.9175,0.9175,12,77,67
Gemini-1.5-pro,rigid_highway,round_3,0.8961,0.9478,0.9496,0.9700,0.7172,0.9842,0.9769,0.9745,0.9842,54,82,78
Gemini-1.5-pro,rigid_multipatches,round_1,0.3439,0.0801,0.0884,0.7604,0.4466,0.4564,0.2442,0.3564,0.4564,45,0,20
Gemini-1.5-pro,rigid_multipatches,round_2,0.7866,0.7689,0.7865,0.9668,0.6243,0.9250,0.8664,0.9005,0.9250,19,12,52
Gemini-1.5-pro,rigid_multipatches,round_3,0.8864,0.7702,0.7753,1.0000,1.0000,0.9869,0.9737,0.9869,0.9869,49,67,70
Gemini-1.5-pro,rotor,round_1,0.2779,0.0615,0.0676,0.6819,0.3008,0.3578,0.1021,0.2335,0.3578,12,0,27
Gemini-1.5-pro,rotor,round_2,0.8169,0.8382,0.8440,0.9913,0.5940,0.9620,0.9524,0.9264,0.9596,82,27,42
Gemini-1.5-pro,rotor,round_3,0.6569,0.5814,0.6407,0.8881,0.5174,0.8885,0.7739,0.7850,0.8885,44,42,44
Gemini-1.5-pro,scm,round_1,0.2916,0.0648,0.0716,0.6792,0.3510,0.4031,0.1575,0.2199,0.4031,63,0,32
Gemini-1.5-pro,scm,round_2,0.5843,0.6121,0.6206,0.8267,0.2776,0.8596,0.7505,0.6798,0.8596,10,82,67
Gemini-1.5-pro,scm,round_3,0.6089,0.6189,0.6230,0.8664,0.3274,0.8378,0.7163,0.6764,0.8323,29,30,27
Gemini-1.5-pro,scm_hill,round_1,0.3030,0.0760,0.0885,0.7047,0.3427,0.4173,0.1883,0.2414,0.4143,26,22,15
Gemini-1.5-pro,scm_hill,round_2,0.7334,0.6576,0.6783,0.9046,0.6930,0.7777,0.6991,0.6279,0.7777,12,12,37
Gemini-1.5-pro,scm_hill,round_3,0.8601,0.8690,0.9019,0.9557,0.7137,0.9495,0.9053,0.9107,0.9495,37,67,47
Gemini-1.5-pro,sedan,round_1,0.0815,0.0008,0.0008,0.2049,0.1195,0.0196,0.0000,0.0157,0.0196,10,5,32
Gemini-1.5-pro,sedan,round_2,0.6134,0.4645,0.5888,0.9427,0.4575,0.7558,0.6185,0.7192,0.7538,52,12,32
Gemini-1.5-pro,sedan,round_3,0.5540,0.5012,0.5109,0.8764,0.3276,0.8213,0.6994,0.7383,0.8191,82,12,35
Gemini-1.5-pro,sensros,round_1,0.2505,0.0228,0.0283,0.6829,0.2679,0.3849,0.1807,0.2850,0.3800,22,0,7
Gemini-1.5-pro,sensros,round_2,0.7616,0.7872,0.7927,0.9591,0.5075,0.9159,0.8780,0.9128,0.9159,72,34,32
Gemini-1.5-pro,sensros,round_3,0.9803,0.9708,0.9713,0.9840,0.9950,0.9946,0.9899,0.9946,0.9946,22,17,32
Gemini-1.5-pro,slider_crank,round_1,0.3362,0.0893,0.0949,0.6920,0.4684,0.5326,0.2724,0.3058,0.5258,60,12,34
Gemini-1.5-pro,slider_crank,round_2,0.7955,0.5965,0.7356,0.9143,0.9355,0.8475,0.7746,0.8068,0.8429,83,67,44
Gemini-1.5-pro,slider_crank,round_3,0.8829,0.8640,0.8707,1.0000,0.7968,0.9707,0.9389,0.9683,0.9707,75,48,45
Gemini-1.5-pro,tablecloth,round_1,0.2452,0.0307,0.0380,0.5812,0.3308,0.3187,0.0974,0.2033,0.3156,12,12,12
Gemini-1.5-pro,tablecloth,round_2,0.6560,0.6616,0.7185,0.8600,0.3839,0.9116,0.8425,0.8193,0.9116,39,51,71
Gemini-1.5-pro,tablecloth,round_3,0.9488,0.9878,0.9881,0.9980,0.8211,0.9960,0.9920,0.9960,0.9960,24,57,65
Gemini-1.5-pro,turtlebot,round_1,0.2505,0.0526,0.0577,0.5739,0.3178,0.4852,0.1780,0.3207,0.4768,55,27,2
Gemini-1.5-pro,turtlebot,round_2,0.8454,0.7513,0.7755,0.9204,0.9342,0.9719,0.9254,0.9355,0.9719,72,60,85
Gemini-1.5-pro,turtlebot,round_3,0.5049,0.4605,0.4774,0.7976,0.2842,0.7675,0.6516,0.5576,0.7607,29,20,47
Gemini-1.5-pro,uazbus,round_1,0.2791,0.0650,0.0887,0.7025,0.2601,0.4762,0.2423,0.2993,0.4694,12,0,20
Gemini-1.5-pro,uazbus,round_2,0.7954,0.7159,0.7130,0.9101,0.8425,0.8720,0.8152,0.8200,0.8720,50,29,63
Gemini-1.5-pro,uazbus,round_3,0.8533,0.8535,0.9140,0.9629,0.6827,0.9525,0.9222,0.8783,0.9525,12,57,37
Gemini-1.5-pro,veh_app,round_1,0.3082,0.0928,0.1153,0.7181,0.3065,0.5393,0.2986,0.3062,0.5393,85,0,32
Gemini-1.5-pro,veh_app,round_2,0.8237,0.7687,0.8232,0.9324,0.7707,0.8723,0.8158,0.8498,0.8723,67,10,27
Gemini-1.5-pro,veh_app,round_3,0.8911,0.8539,0.8577,0.9785,0.8744,0.9653,0.9254,0.8945,0.9653,22,12,34
Gemini-1.5-pro,vehros,round_1,0.3080,0.0424,0.0761,0.7117,0.4018,0.3040,0.1084,0.1880,0.2920,0,7,25
Gemini-1.5-pro,vehros,round_2,0.6082,0.5409,0.5737,0.9086,0.4096,0.8593,0.7964,0.7467,0.8593,74,30,15
Gemini-1.5-pro,vehros,round_3,0.7531,0.7306,0.7497,0.9095,0.6227,0.9002,0.8320,0.7924,0.9002,37,37,44
Gemini-1.5-pro,viper,round_1,0.3191,0.0584,0.0825,0.7101,0.4254,0.4787,0.2232,0.3201,0.4787,59,0,27
Gemini-1.5-pro,viper,round_2,0.8636,0.9015,0.9022,0.9907,0.6599,0.9886,0.9487,0.7642,0.9886,84,47,68
Gemini-1.5-pro,viper,round_3,0.7340,0.7416,0.7553,0.9091,0.5299,0.9114,0.8460,0.8769,0.9114,38,24,37
Gemini-2.5-pro,art,round_1,0.3108,0.0345,0.0616,0.7888,0.3584,0.5063,0.2527,0.3195,0.5005,50,2,34
Gemini-2.5-pro,art,round_2,0.8994,0.9214,0.9276,0.9652,0.7832,0.9847,0.9667,0.9795,0.9847,80,83,77
Gemini-2.5-pro,art,round_3,0.7876,0.7908,0.9200,0.9706,0.4690,0.9234,0.9017,0.9067,0.9234,44,47,62
Gemini-2.5-pro,beam,round_1,0.3469,0.0680,0.0986,0.8229,0.3981,0.3955,0.1322,0.2264,0.3955,62,27,30
Gemini-2.5-pro,beam,round_2,0.7219,0.6893,0.8107,0.9757,0.4120,0.9267,0.8934,0.9102,0.9220,57,70,80
Gemini-2.5-pro,beam,round_3,0.7833,0.6007,0.7302,0.9486,0.8537,0.8814,0.8288,0.8553,0.8770,82,77,67
Gemini-2.5-pro,buckling,round_1,0.3029,0.0415,0.0586,0.7641,0.3474,0.3471,0.1132,0.1928,0.3444,50,0,44
Gemini-2.5-pro,buckling,round_2,0.8070,0.9073,0.9390,0.9871,0.3945,0.9751,0.9675,0.9751,0.9751,67,65,77
Gemini-2.5-pro,buckling,round_3,0.6357,0.4736,0.5221,0.9467,0.6005,0.8367,0.7109,0.8105,0.8353,82,37,42
Gemini-2.5-pro,cable,round_1,0.3483,0.0496,0.1203,0.8495,0.3740,0.3639,0.1365,0.2120,0.3639,64,17,32
Gemini-2.5-pro,cable,round_2,0.9260,0.8703,0.8812,0.9826,0.9699,0.9922,0.9766,0.9805,0.9922,64,63,67
Gemini-2.5-pro,cable,round_3,0.4049,0.2187,0.2320,0.7611,0.4078,0.5709,0.3865,0.4841,0.5709,75,27,52
Gemini-2.5-pro,camera,round_1,0.2976,0.0550,0.0806,0.6457,0.4089,0.4592,0.1938,0.2489,0.4575,57,19,13
Gemini-2.5-pro,camera,round_2,0.6672,0.5309,0.7927,0.8788,0.4664,0.7708,0.7100,0.6630,0.7689,66,12,49
Gemini-2.5-pro,camera,round_3,0.6777,0.6178,0.7945,0.8900,0.4086,0.8409,0.7498,0.7232,0.8390,32,24,37
Gemini-2.5-pro,citybus,round_1,0.3456,0.0915,0.1114,0.7459,0.4336,0.4971,0.2739,0.3486,0.4923,62,12,24
Gemini-2.5-pro,citybus,round_2,0.8697,0.8459,0.8489,0.9565,0.8277,0.9764,0.9489,0.9640,0.9714,24,43,68
Gemini-2.5-pro,citybus,round_3,0.7738,0.9011,0.9123,0.9590,0.3230,0.9734,0.9555,0.9734,0.9734,94,63,100
Gemini-2.5-pro,curiosity,round_1,0.3553,0.0450,0.1004,0.7634,0.5122,0.3427,0.1252,0.1836,0.3378,82,14,54
Gemini-2.5-pro,curiosity,round_2,0.7204,0.5626,0.7155,0.9228,0.6806,0.8295,0.7372,0.7803,0.8295,92,62,63
Gemini-2.5-pro,curiosity,round_3,0.5990,0.5455,0.5552,0.9040,0.3915,0.8390,0.7319,0.7529,0.8390,77,23,42
Gemini-2.5-pro,feda,round_1,0.3392,0.0661,0.0982,0.7576,0.4350,0.4829,0.2527,0.3312,0.4808,64,0,22
Gemini-2.5-pro,feda,round_2,0.6447,0.5713,0.7230,0.9342,0.3504,0.8163,0.7497,0.7459,0.8163,95,95,45
Gemini-2.5-pro,feda,round_3,0.7315,0.6705,0.6786,0.9049,0.6719,0.8644,0.7629,0.7147,0.8625,12,12,52
Gemini-2.5-pro,gator,round_1,0.3743,0.1339,0.1846,0.8154,0.3632,0.5467,0.3278,0.4061,0.5445,74,0,32
Gemini-2.5-pro,gator,round_2,0.5865,0.4061,0.6004,0.8909,0.4486,0.7533,0.6227,0.6359,0.7518,80,12,14
Gemini-2.5-pro,gator,round_3,0.7355,0.7954,0.8649,0.9587,0.3229,0.9437,0.9154,0.9233,0.9437,92,62,72
Gemini-2.5-pro,gear,round_1,0.3192,0.0468,0.0630,0.6650,0.5017,0.3966,0.1837,0.2544,0.3966,64,17,30
Gemini-2.5-pro,gear,round_2,0.0195,0.0000,0.0345,0.0364,0.0070,0.0349,0.0307,0.0349,0.0349,25,0,0
Gemini-2.5-pro,gear,round_3,0.4666,0.3520,0.4089,0.7776,0.3277,0.6222,0.5763,0.5681,0.6222,20,17,27
Gemini-2.5-pro,gps_imu,round_1,0.3599,0.0648,0.0979,0.7854,0.4915,0.5098,0.2480,0.3664,0.5000,88,0,27
Gemini-2.5-pro,gps_imu,round_2,0.7279,0.6463,0.6569,0.9231,0.6855,0.8554,0.7656,0.7905,0.8536,88,12,32
Gemini-2.5-pro,gps_imu,round_3,0.6893,0.6401,0.8057,0.9513,0.3601,0.8686,0.8085,0.8371,0.8686,22,67,70
Gemini-2.5-pro,handler,round_1,0.3279,0.0256,0.0642,0.7186,0.5032,0.3706,0.1709,0.2804,0.3706,74,52,47
Gemini-2.5-pro,handler,round_2,0.9670,0.9432,0.9613,0.9634,0.0000,0.9802,0.9656,0.9766,0.9802,62,75,75
Gemini-2.5-pro,handler,round_3,0.5269,0.3464,0.4788,0.8253,0.4570,0.7112,0.5702,0.5886,0.7090,65,9,31
Gemini-2.5-pro,hmmwv,round_1,0.3776,0.1248,0.2061,0.7713,0.4081,0.6002,0.3935,0.4517,0.6002,100,51,36
Gemini-2.5-pro,hmmwv,round_2,0.4310,0.2167,0.3325,0.8220,0.3528,0.5859,0.4470,0.4724,0.5859,70,27,37
Gemini-2.5-pro,hmmwv,round_3,0.5873,0.5402,0.5838,0.8333,0.3918,0.8805,0.7849,0.8075,0.8783,24,39,42
Gemini-2.5-pro,kraz,round_1,0.2960,0.0537,0.0592,0.7034,0.3677,0.5000,0.2574,0.3342,0.5000,93,44,42
Gemini-2.5-pro,kraz,round_2,0.4271,0.3107,0.3173,0.7812,0.2992,0.5672,0.4833,0.4937,0.5672,20,41,31
Gemini-2.5-pro,kraz,round_3,0.5017,0.3077,0.3607,0.8720,0.4663,0.7486,0.6100,0.6503,0.7486,77,0,15
Gemini-2.5-pro,lidar,round_1,0.3252,0.0553,0.0884,0.6964,0.4605,0.4555,0.1927,0.2505,0.4501,42,0,37
Gemini-2.5-pro,lidar,round_2,0.3305,0.1453,0.2058,0.7188,0.2519,0.5116,0.3731,0.4460,0.5116,25,0,12
Gemini-2.5-pro,lidar,round_3,0.5078,0.3258,0.4357,0.8706,0.3990,0.6950,0.5645,0.5637,0.6913,19,7,12
Gemini-2.5-pro,m113,round_1,0.2999,0.0609,0.0704,0.7572,0.3111,0.4774,0.2018,0.3009,0.4683,90,0,32
Gemini-2.5-pro,m113,round_2,0.6403,0.5264,0.7157,0.9353,0.3839,0.8018,0.7373,0.7665,0.8018,24,27,67
Gemini-2.5-pro,m113,round_3,0.7753,0.7682,0.8397,0.9435,0.5498,0.9181,0.8537,0.8341,0.9137,17,12,35
Gemini-2.5-pro,man,round_1,0.3332,0.0760,0.1433,0.7906,0.3229,0.5028,0.2757,0.3248,0.5009,67,12,62
Gemini-2.5-pro,man,round_2,0.7870,0.8087,0.8358,0.9620,0.5415,0.9438,0.9111,0.9064,0.9438,87,62,57
Gemini-2.5-pro,man,round_3,0.5766,0.4895,0.5926,0.8684,0.3557,0.7957,0.6651,0.6207,0.7941,27,0,32
Gemini-2.5-pro,mass_spring_damper,round_1,0.3695,0.0756,0.1389,0.7546,0.5089,0.3834,0.1742,0.2640,0.3834,85,27,37
Gemini-2.5-pro,mass_spring_damper,round_2,0.6557,0.5536,0.6378,0.9220,0.5096,0.8781,0.7731,0.8408,0.8781,95,67,67
Gemini-2.5-pro,mass_spring_damper,round_3,0.7299,0.5712,0.6348,0.9698,0.7438,0.9288,0.8672,0.7952,0.9288,60,54,62
Gemini-2.5-pro,particles,round_1,0.3339,0.0206,0.0677,0.7448,0.5025,0.1912,0.0517,0.1077,0.1882,57,32,42
Gemini-2.5-pro,particles,round_2,0.5336,0.4531,0.4646,0.8297,0.3868,0.7281,0.6351,0.6950,0.7281,82,25,52
Gemini-2.5-pro,particles,round_3,0.5292,0.3480,0.3900,0.8569,0.5219,0.7322,0.5797,0.5955,0.7322,83,20,53
Gemini-2.5-pro,pendulum,round_1,0.3137,0.0562,0.1100,0.6352,0.4531,0.4112,0.1810,0.3018,0.4083,43,29,47
Gemini-2.5-pro,pendulum,round_2,0.5126,0.2406,0.3574,0.8446,0.6077,0.7196,0.5534,0.6417,0.7196,95,39,77
Gemini-2.5-pro,pendulum,round_3,0.4669,0.2375,0.3280,0.7192,0.5829,0.7336,0.5498,0.6072,0.7314,49,57,59
Gemini-2.5-pro,rigid_highway,round_1,0.4218,0.1793,0.2508,0.8286,0.4286,0.5862,0.3629,0.4138,0.5862,77,12,29
Gemini-2.5-pro,rigid_highway,round_2,0.7937,0.6976,0.8058,0.9376,0.7336,0.8793,0.8286,0.8350,0.8793,12,22,37
Gemini-2.5-pro,rigid_highway,round_3,0.7475,0.8307,0.9221,0.9625,0.2746,0.9339,0.9132,0.8975,0.9339,49,74,67
Gemini-2.5-pro,rigid_multipatches,round_1,0.3178,0.0703,0.1166,0.7166,0.3676,0.5229,0.2619,0.3071,0.5192,72,5,24
Gemini-2.5-pro,rigid_multipatches,round_2,0.6449,0.4595,0.6975,0.9486,0.4740,0.7989,0.7194,0.7254,0.7989,52,44,34
Gemini-2.5-pro,rigid_multipatches,round_3,0.7883,0.8213,0.8243,0.9977,0.5099,0.9967,0.9880,0.9663,0.9967,45,90,72
Gemini-2.5-pro,rotor,round_1,0.3192,0.0440,0.0917,0.6863,0.4549,0.3257,0.1437,0.2208,0.3230,32,2,12
Gemini-2.5-pro,rotor,round_2,0.2230,0.0269,0.1694,0.5904,0.1053,0.2863,0.2524,0.2205,0.2863,17,20,0
Gemini-2.5-pro,rotor,round_3,0.1358,0.0092,0.0134,0.2146,0.3060,0.2495,0.0754,0.1406,0.2495,67,32,44
Gemini-2.5-pro,scm,round_1,0.3069,0.0465,0.0856,0.7399,0.3558,0.3360,0.1299,0.2083,0.3261,76,12,27
Gemini-2.5-pro,scm,round_2,0.5755,0.4815,0.5168,0.9603,0.3433,0.7895,0.6570,0.7227,0.7895,100,44,51
Gemini-2.5-pro,scm,round_3,0.5889,0.4261,0.5958,0.8527,0.4808,0.6875,0.5575,0.5422,0.6860,62,12,27
Gemini-2.5-pro,scm_hill,round_1,0.3401,0.0668,0.0930,0.7688,0.4319,0.5297,0.2582,0.3742,0.5276,74,0,47
Gemini-2.5-pro,scm_hill,round_2,0.6823,0.5659,0.6390,0.9046,0.6199,0.8009,0.6951,0.7033,0.8009,77,12,12
Gemini-2.5-pro,scm_hill,round_3,0.7376,0.7347,0.7765,0.9501,0.4890,0.8825,0.8221,0.8300,0.8800,78,69,57
Gemini-2.5-pro,sedan,round_1,0.3260,0.0641,0.0830,0.7541,0.4027,0.4878,0.2165,0.3020,0.4832,47,37,25
Gemini-2.5-pro,sedan,round_2,0.5235,0.3562,0.4580,0.8875,0.3922,0.7091,0.5486,0.6445,0.7072,64,14,39
Gemini-2.5-pro,sedan,round_3,0.5239,0.4084,0.4819,0.8742,0.3310,0.7441,0.6273,0.6318,0.7422,37,29,29
Gemini-2.5-pro,sensros,round_1,0.3039,0.0269,0.0598,0.7093,0.4196,0.4229,0.2138,0.2722,0.4189,100,19,20
Gemini-2.5-pro,sensros,round_2,0.6764,0.5449,0.6465,0.8843,0.6300,0.8703,0.8153,0.8444,0.8703,93,37,32
Gemini-2.5-pro,sensros,round_3,0.3832,0.2471,0.3381,0.7224,0.2250,0.5184,0.4762,0.4838,0.5184,35,0,19
Gemini-2.5-pro,slider_crank,round_1,0.3187,0.0193,0.0476,0.6920,0.5158,0.3019,0.1220,0.2030,0.3019,90,52,32
Gemini-2.5-pro,slider_crank,round_2,0.7339,0.4647,0.7313,0.8727,0.8669,0.7679,0.6614,0.6621,0.7620,69,54,64
Gemini-2.5-pro,slider_crank,round_3,0.4488,0.3561,0.3770,0.6838,0.3785,0.6784,0.5497,0.5780,0.6784,27,15,27
Gemini-2.5-pro,tablecloth,round_1,0.2856,0.0511,0.0560,0.7005,0.3346,0.4054,0.1534,0.2441,0.3992,12,12,34
Gemini-2.5-pro,tablecloth,round_2,0.5484,0.4689,0.5986,0.8357,0.2903,0.7691,0.6313,0.5816,0.7691,85,67,29
Gemini-2.5-pro,tablecloth,round_3,0.8983,0.8814,0.9099,0.9842,0.8179,0.9556,0.9168,0.9517,0.9556,96,29,59
Gemini-2.5-pro,turtlebot,round_1,0.3090,0.0612,0.1373,0.6652,0.3721,0.4595,0.2562,0.3047,0.4496,100,12,42
Gemini-2.5-pro,turtlebot,round_2,0.6858,0.5140,0.6383,0.8408,0.7500,0.8370,0.7216,0.6197,0.8370,90,75,85
Gemini-2.5-pro,turtlebot,round_3,0.5278,0.4697,0.4795,0.7952,0.3669,0.7354,0.5908,0.5646,0.7312,57,37,49
Gemini-2.5-pro,uazbus,round_1,0.2768,0.0566,0.0654,0.7025,0.2825,0.3678,0.1589,0.2376,0.3678,49,20,12
