Rank,model,ConsensusScore,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
40,nemotron-4-340b-instruct,48.07,40.15,30.50,35.34,0.60,0.49,0.53,0.84,0.52,0.72,0.61,0.64,0.72
41,llama-3.1-8b-instruct,47.86,34.85,31.43,37.75,0.57,0.49,0.52,0.76,0.46,0.66,0.57,0.60,0.66
42,gpt-4o,47.85,49.36,28.28,33.90,0.61,0.49,0.51,0.86,0.55,0.76,0.65,0.68,0.76
43,claude-3-5-sonnet,46.65,52.78,25.85,33.75,0.59,0.48,0.50,0.85,0.53,0.76,0.64,0.67,0.76
44,mistral-nemo-12b-instruct,44.43,31.81,29.75,36.42,0.55,0.44,0.47,0.79,0.45,0.65,0.55,0.58,0.65
45,mixtral-8x7b-instruct-v0.1,44.10,30.35,34.25,37.88,0.51,0.42,0.46,0.73,0.42,0.63,0.54,0.57,0.62
46,pe_deepseek-r1-8b,44.00,34.66,30.62,36.91,,,,,,,,,
47,gemma-2-9b-it,43.50,29.97,29.68,33.67,0.58,0.49,0.51,0.82,0.47,0.69,0.59,0.63,0.69
48,deepseek-r1-8b,42.00,26.68,26.27,34.03,0.57,0.47,0.49,0.79,0.49,0.65,0.56,0.59,0.65
49,gemma-2-2b-it,36.40,24.61,27.60,31.08,0.54,0.46,0.48,0.79,0.43,0.64,0.56,0.60,0.64
50,mamba-codestral-7b-v0.1,31.33,27.94,29.42,31.83,0.47,0.39,0.41,0.72,0.36,0.57,0.49,0.52,0.57
51,gemma-3-1b-it,31.12,28.34,25.67,27.67,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.60,0.64
52,phi-3-mini-128k-instruct,27.16,23.81,24.64,27.76,0.50,0.39,0.45,0.76,0.40,0.58,0.50,0.53,0.58
53,phi-3-medium-128k-instruct,2.84,19.65,19.84,21.96,0.37,0.24,0.26,0.55,0.26,0.39,0.31,0.35,0.39
54,pe_llama4_scout,0.00,48.25,34.07,39.01,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
