Model,System,Round,Avg Score Document,Avg Score Reference,Avg Score Ref+Doc,Num Judges
mistral-medium-3-instruct,slider_crank,second,59.67,56.33,60.0,3
mistral-medium-3-instruct,slider_crank,third,35.67,60.0,65.33,3
mistral-medium-3-instruct,turtlebot,first,8.0,30.0,22.33,3
mistral-medium-3-instruct,turtlebot,second,78.33,69.0,64.33,3
mistral-medium-3-instruct,turtlebot,third,62.33,42.33,36.0,3
mistral-medium-3-instruct,rigid_multipatches,first,11.5,24.67,21.0,2
mistral-medium-3-instruct,rigid_multipatches,second,35.0,50.33,35.67,3
mistral-medium-3-instruct,rigid_multipatches,third,48.33,81.0,70.67,3
mistral-medium-3-instruct,cable,first,7.0,30.0,25.0,2
mistral-medium-3-instruct,cable,second,65.33,88.33,73.67,3
mistral-medium-3-instruct,cable,third,63.0,44.33,39.33,3
mistral-medium-3-instruct,hmmwv,first,30.67,11.67,19.67,3
mistral-medium-3-instruct,hmmwv,second,46.33,46.33,30.67,3
mistral-medium-3-instruct,hmmwv,third,44.0,64.33,56.0,3
mistral-medium-3-instruct,handler,first,40.67,15.67,26.67,3
mistral-medium-3-instruct,handler,second,39.67,87.0,76.0,3
mistral-medium-3-instruct,handler,third,60.0,43.33,43.33,3
mistral-medium-3-instruct,lidar,first,9.33,33.0,29.33,3
mistral-medium-3-instruct,lidar,second,31.33,52.33,55.67,3
mistral-medium-3-instruct,lidar,third,7.33,5.67,21.33,3
llama4_scout,gator,first,9.67,8.33,16.0,3
llama4_scout,gator,second,46.0,66.67,49.0,3
llama4_scout,gator,third,37.0,74.0,74.67,3
llama4_scout,gear,first,11.33,23.0,30.33,3
llama4_scout,gear,second,39.0,89.0,82.0,3
llama4_scout,gear,third,54.33,39.67,45.0,3
llama4_scout,feda,first,15.33,19.33,21.0,3
llama4_scout,feda,second,47.0,52.67,59.67,3
llama4_scout,feda,third,63.33,50.33,47.0,3
llama4_scout,man,first,35.0,22.67,19.67,3
llama4_scout,man,second,34.33,71.67,30.67,3
llama4_scout,man,third,74.33,38.33,28.33,3
llama4_scout,art,first,21.67,10.67,9.33,3
llama4_scout,art,second,45.67,71.67,82.67,3
llama4_scout,art,third,44.67,68.67,83.0,3
llama4_scout,vehros,first,21.0,33.67,9.0,3
llama4_scout,vehros,second,45.0,55.67,24.0,3
llama4_scout,vehros,third,34.67,35.33,37.0,3
llama4_scout,pendulum,first,13.67,13.33,11.0,3
llama4_scout,pendulum,second,25.0,58.0,8.67,3
llama4_scout,pendulum,third,69.0,61.0,55.33,3
llama4_scout,rigid_highway,first,13.5,14.33,27.67,2
llama4_scout,rigid_highway,second,46.67,83.0,74.67,3
llama4_scout,rigid_highway,third,49.0,80.0,70.67,3
llama4_scout,curiosity,first,9.67,37.0,13.0,3
llama4_scout,curiosity,second,53.33,69.0,56.67,3
llama4_scout,curiosity,third,34.33,44.67,59.33,3
llama4_scout,gps_imu,first,34.0,18.67,25.67,3
llama4_scout,gps_imu,second,30.33,73.0,68.33,3
llama4_scout,gps_imu,third,45.33,83.33,76.67,3
llama4_scout,mass_spring_damper,first,20.0,15.33,30.0,3
llama4_scout,mass_spring_damper,second,38.67,39.33,54.0,3
llama4_scout,mass_spring_damper,third,57.67,33.0,35.67,3
llama4_scout,uazbus,first,22.67,24.67,7.67,3
llama4_scout,uazbus,second,52.0,46.33,57.0,3
llama4_scout,uazbus,third,25.67,38.67,51.0,3
llama4_scout,scm,first,11.33,13.33,6.67,3
llama4_scout,scm,second,52.67,44.33,60.33,3
llama4_scout,scm,third,39.0,44.0,34.33,3
llama4_scout,veh_app,first,29.33,10.33,23.33,3
llama4_scout,veh_app,second,37.0,26.0,41.0,3
llama4_scout,veh_app,third,46.0,50.0,64.33,3
llama4_scout,sedan,first,20.33,17.0,18.67,3
llama4_scout,sedan,second,42.33,47.0,45.0,3
llama4_scout,sedan,third,64.67,29.0,29.33,3
llama4_scout,citybus,first,5.67,8.0,19.33,3
llama4_scout,citybus,second,41.67,43.67,68.0,3
llama4_scout,citybus,third,31.0,55.0,71.33,3
llama4_scout,beam,first,12.67,25.67,28.0,3
llama4_scout,beam,second,37.33,30.0,21.33,3
llama4_scout,beam,third,43.0,62.33,75.0,3
llama4_scout,sensros,first,3.0,17.0,7.67,3
llama4_scout,sensros,second,25.67,59.33,67.67,3
llama4_scout,sensros,third,21.5,78.33,72.67,2
llama4_scout,camera,first,9.0,20.67,14.67,3
llama4_scout,camera,second,56.67,66.0,62.33,3
llama4_scout,camera,third,39.0,50.33,55.0,3
llama4_scout,particles,first,10.67,9.0,11.0,3
llama4_scout,particles,second,64.0,80.0,70.0,3
llama4_scout,particles,third,62.33,69.67,69.0,3
llama4_scout,kraz,first,27.0,13.67,4.67,3
llama4_scout,kraz,second,49.67,73.0,60.67,3
llama4_scout,kraz,third,44.5,23.67,22.33,2
llama4_scout,m113,first,31.33,3.67,9.0,3
llama4_scout,m113,second,7.33,39.0,36.33,3
llama4_scout,m113,third,55.33,46.67,47.0,3
llama4_scout,tablecloth,first,13.0,11.33,15.33,2
llama4_scout,tablecloth,second,24.0,68.0,77.33,3
llama4_scout,tablecloth,third,40.67,28.0,40.33,3
llama4_scout,rotor,first,33.0,28.0,24.33,3
llama4_scout,rotor,second,45.0,50.33,26.33,3
llama4_scout,rotor,third,41.0,59.33,49.67,3
llama4_scout,scm_hill,first,16.33,19.67,28.67,3
llama4_scout,scm_hill,second,53.0,41.67,29.0,3
llama4_scout,scm_hill,third,28.33,57.0,61.33,3
llama4_scout,viper,first,13.0,17.67,32.33,3
llama4_scout,viper,second,71.0,57.0,71.33,3
llama4_scout,viper,third,48.67,44.33,37.67,3
llama4_scout,buckling,first,14.0,25.0,19.33,3
llama4_scout,buckling,second,59.67,73.67,60.33,3
llama4_scout,buckling,third,58.33,19.33,25.33,3
llama4_scout,slider_crank,first,33.0,30.67,27.33,3
llama4_scout,slider_crank,second,58.0,55.0,49.67,3
llama4_scout,slider_crank,third,61.67,74.0,67.67,3
llama4_scout,turtlebot,first,28.67,18.0,16.0,3
llama4_scout,turtlebot,second,62.33,64.67,64.0,3
llama4_scout,turtlebot,third,45.67,34.33,18.33,3
llama4_scout,rigid_multipatches,first,12.67,12.67,14.67,3
llama4_scout,rigid_multipatches,second,45.33,32.67,11.67,3
llama4_scout,rigid_multipatches,third,75.0,78.0,69.0,3
llama4_scout,cable,first,40.0,11.67,24.67,3
llama4_scout,cable,second,40.0,69.33,68.33,3
llama4_scout,cable,third,50.0,57.33,24.0,3
llama4_scout,hmmwv,first,28.33,8.67,11.0,3
llama4_scout,hmmwv,second,41.0,35.33,44.67,3
llama4_scout,hmmwv,third,55.0,61.33,70.33,3
llama4_scout,handler,first,19.67,10.33,22.33,3
llama4_scout,handler,second,52.0,77.0,79.33,3
llama4_scout,handler,third,44.67,31.0,33.0,3
llama4_scout,lidar,first,32.33,25.67,19.33,3
llama4_scout,lidar,second,37.33,51.33,38.33,3
llama4_scout,lidar,third,20.0,33.0,9.33,3
mistral-nemo-12b-instruct,gator,first,11.67,10.33,12.33,3
mistral-nemo-12b-instruct,gator,second,54.67,39.0,41.0,3
mistral-nemo-12b-instruct,gator,third,49.67,82.67,79.0,3
mistral-nemo-12b-instruct,gear,first,32.0,20.67,23.33,3
mistral-nemo-12b-instruct,gear,second,52.67,85.67,73.67,3
mistral-nemo-12b-instruct,gear,third,38.67,40.33,35.0,3
mistral-nemo-12b-instruct,feda,first,11.33,8.0,6.33,3
mistral-nemo-12b-instruct,feda,second,46.0,63.67,51.33,3
mistral-nemo-12b-instruct,feda,third,52.67,36.0,29.33,3
mistral-nemo-12b-instruct,man,first,23.0,27.67,5.67,3
mistral-nemo-12b-instruct,man,second,28.67,41.0,29.0,3
mistral-nemo-12b-instruct,man,third,40.0,42.33,26.0,3
mistral-nemo-12b-instruct,art,first,37.67,22.0,18.67,3
mistral-nemo-12b-instruct,art,second,29.5,40.33,47.67,2
mistral-nemo-12b-instruct,art,third,52.67,62.0,75.67,3
mistral-nemo-12b-instruct,vehros,first,25.67,16.0,5.67,3
mistral-nemo-12b-instruct,vehros,second,61.33,49.33,32.33,3
mistral-nemo-12b-instruct,vehros,third,8.33,11.67,16.67,3
mistral-nemo-12b-instruct,pendulum,first,27.67,11.33,29.67,3
mistral-nemo-12b-instruct,pendulum,second,38.33,51.0,47.67,3
mistral-nemo-12b-instruct,pendulum,third,22.0,39.67,48.67,3
mistral-nemo-12b-instruct,rigid_highway,first,12.0,7.33,5.33,3
mistral-nemo-12b-instruct,rigid_highway,second,78.67,70.67,70.67,3
mistral-nemo-12b-instruct,rigid_highway,third,59.0,88.33,71.67,3
mistral-nemo-12b-instruct,curiosity,first,29.67,13.0,18.67,3
mistral-nemo-12b-instruct,curiosity,second,66.67,59.0,55.33,3
mistral-nemo-12b-instruct,curiosity,third,41.67,52.33,49.67,3
mistral-nemo-12b-instruct,gps_imu,first,27.0,18.33,7.0,3
mistral-nemo-12b-instruct,gps_imu,second,39.0,50.67,52.33,3
mistral-nemo-12b-instruct,gps_imu,third,61.0,62.33,60.0,3
mistral-nemo-12b-instruct,mass_spring_damper,first,10.33,15.67,24.33,3
mistral-nemo-12b-instruct,mass_spring_damper,second,28.33,59.67,60.0,3
mistral-nemo-12b-instruct,mass_spring_damper,third,42.33,37.33,42.67,3
mistral-nemo-12b-instruct,uazbus,first,28.0,27.0,15.0,3
mistral-nemo-12b-instruct,uazbus,second,46.33,62.0,55.0,3
mistral-nemo-12b-instruct,uazbus,third,29.0,38.0,34.0,3
mistral-nemo-12b-instruct,scm,first,21.33,11.67,13.67,3
mistral-nemo-12b-instruct,scm,second,38.0,79.0,65.0,3
mistral-nemo-12b-instruct,scm,third,53.67,35.67,22.33,3
mistral-nemo-12b-instruct,veh_app,first,32.0,14.67,12.33,3
mistral-nemo-12b-instruct,veh_app,second,34.0,18.67,17.33,3
mistral-nemo-12b-instruct,veh_app,third,14.0,33.67,37.33,3
mistral-nemo-12b-instruct,sedan,first,20.33,32.0,18.0,3
mistral-nemo-12b-instruct,sedan,second,47.67,46.33,56.33,3
mistral-nemo-12b-instruct,sedan,third,38.0,27.0,25.33,3
mistral-nemo-12b-instruct,citybus,first,12.67,28.67,12.67,3
mistral-nemo-12b-instruct,citybus,second,39.33,38.67,37.0,3
mistral-nemo-12b-instruct,citybus,third,58.33,52.33,69.67,3
mistral-nemo-12b-instruct,beam,first,20.67,10.67,23.0,3
mistral-nemo-12b-instruct,beam,second,43.0,27.67,33.33,3
mistral-nemo-12b-instruct,beam,third,61.33,51.33,58.0,3
mistral-nemo-12b-instruct,sensros,first,9.0,24.0,5.67,3
mistral-nemo-12b-instruct,sensros,second,6.0,12.33,28.0,3
mistral-nemo-12b-instruct,sensros,third,44.67,62.67,80.67,3
mistral-nemo-12b-instruct,camera,first,13.67,21.0,19.33,3
mistral-nemo-12b-instruct,camera,second,28.0,72.0,64.33,3
mistral-nemo-12b-instruct,camera,third,36.67,45.67,39.67,3
mistral-nemo-12b-instruct,particles,first,18.33,27.33,8.33,3
mistral-nemo-12b-instruct,particles,second,56.67,51.0,57.0,3
mistral-nemo-12b-instruct,particles,third,69.33,79.0,65.0,3
mistral-nemo-12b-instruct,kraz,first,6.0,16.0,11.33,3
mistral-nemo-12b-instruct,kraz,second,49.0,38.67,57.67,2
mistral-nemo-12b-instruct,kraz,third,29.67,21.33,26.33,3
mistral-nemo-12b-instruct,m113,first,13.33,11.0,12.33,3
mistral-nemo-12b-instruct,m113,second,28.0,37.33,30.0,3
mistral-nemo-12b-instruct,m113,third,29.0,45.33,58.67,3
mistral-nemo-12b-instruct,tablecloth,first,22.67,16.67,20.33,3
mistral-nemo-12b-instruct,tablecloth,second,33.0,60.67,59.0,3
mistral-nemo-12b-instruct,tablecloth,third,39.33,76.0,50.0,3
mistral-nemo-12b-instruct,rotor,first,25.67,21.67,10.33,3
mistral-nemo-12b-instruct,rotor,second,40.33,67.67,84.33,3
mistral-nemo-12b-instruct,rotor,third,66.33,64.33,71.0,3
mistral-nemo-12b-instruct,scm_hill,first,11.67,24.67,29.33,3
mistral-nemo-12b-instruct,scm_hill,second,40.67,31.67,38.67,3
mistral-nemo-12b-instruct,scm_hill,third,49.33,49.33,65.67,3
mistral-nemo-12b-instruct,viper,first,29.67,15.0,25.33,3
mistral-nemo-12b-instruct,viper,second,68.0,90.67,73.67,3
mistral-nemo-12b-instruct,viper,third,43.67,54.67,44.0,3
mistral-nemo-12b-instruct,buckling,first,22.33,25.67,9.0,3
mistral-nemo-12b-instruct,buckling,second,41.33,84.33,77.67,3
mistral-nemo-12b-instruct,buckling,third,50.0,37.33,30.0,3
mistral-nemo-12b-instruct,slider_crank,first,34.33,23.0,24.67,3
mistral-nemo-12b-instruct,slider_crank,second,59.67,56.0,57.33,3
mistral-nemo-12b-instruct,slider_crank,third,40.67,79.33,73.0,3
mistral-nemo-12b-instruct,turtlebot,first,4.67,27.0,21.0,3
mistral-nemo-12b-instruct,turtlebot,second,60.67,73.0,56.67,3
mistral-nemo-12b-instruct,turtlebot,third,43.67,23.33,21.0,3
mistral-nemo-12b-instruct,rigid_multipatches,first,7.33,23.67,16.0,3
mistral-nemo-12b-instruct,rigid_multipatches,second,57.0,65.33,49.0,3
mistral-nemo-12b-instruct,rigid_multipatches,third,46.33,87.0,62.33,3
mistral-nemo-12b-instruct,cable,first,42.33,29.33,21.0,3
mistral-nemo-12b-instruct,cable,second,40.67,88.0,87.67,3
mistral-nemo-12b-instruct,cable,third,39.33,37.67,38.33,3
mistral-nemo-12b-instruct,hmmwv,first,20.33,5.0,10.67,3
mistral-nemo-12b-instruct,hmmwv,second,45.33,42.0,38.0,3
mistral-nemo-12b-instruct,hmmwv,third,59.0,61.67,56.0,3
mistral-nemo-12b-instruct,handler,first,18.67,31.33,21.33,3
mistral-nemo-12b-instruct,handler,second,13.33,39.5,13.33,3
mistral-nemo-12b-instruct,handler,third,37.33,31.67,36.0,3
mistral-nemo-12b-instruct,lidar,first,20.0,15.0,10.0,3
mistral-nemo-12b-instruct,lidar,second,20.67,35.0,28.67,3
mistral-nemo-12b-instruct,lidar,third,27.67,26.33,19.67,3
mixtral-8x22b-instruct-v0.1,gator,first,6.67,21.67,7.33,3
mixtral-8x22b-instruct-v0.1,gator,second,26.33,66.67,59.0,3
mixtral-8x22b-instruct-v0.1,gator,third,71.0,82.33,77.67,3
mixtral-8x22b-instruct-v0.1,gear,first,53.0,26.67,15.0,3
mixtral-8x22b-instruct-v0.1,gear,second,42.33,69.0,83.0,3
mixtral-8x22b-instruct-v0.1,gear,third,57.0,45.0,41.0,3
mixtral-8x22b-instruct-v0.1,feda,first,25.33,20.33,11.0,3
mixtral-8x22b-instruct-v0.1,feda,second,54.33,41.33,40.67,3
mixtral-8x22b-instruct-v0.1,feda,third,48.33,47.33,38.0,3
mixtral-8x22b-instruct-v0.1,man,first,31.67,9.67,5.67,3
mixtral-8x22b-instruct-v0.1,man,second,45.33,66.0,61.0,3
mixtral-8x22b-instruct-v0.1,man,third,57.0,24.33,34.33,3
mixtral-8x22b-instruct-v0.1,art,first,19.67,20.67,31.0,3
mixtral-8x22b-instruct-v0.1,art,second,51.67,66.33,69.0,3
mixtral-8x22b-instruct-v0.1,art,third,58.0,92.0,74.67,3
mixtral-8x22b-instruct-v0.1,vehros,first,43.67,24.0,12.33,3
mixtral-8x22b-instruct-v0.1,vehros,second,34.67,31.0,45.33,3
mixtral-8x22b-instruct-v0.1,vehros,third,27.67,27.33,19.0,3
mixtral-8x22b-instruct-v0.1,pendulum,first,40.0,31.33,24.33,3
mixtral-8x22b-instruct-v0.1,pendulum,second,22.0,67.67,52.33,3
mixtral-8x22b-instruct-v0.1,pendulum,third,41.33,55.0,40.0,3
mixtral-8x22b-instruct-v0.1,rigid_highway,first,18.33,12.0,6.67,3
mixtral-8x22b-instruct-v0.1,rigid_highway,second,51.33,64.33,61.67,3
mixtral-8x22b-instruct-v0.1,rigid_highway,third,38.67,65.0,87.67,3
mixtral-8x22b-instruct-v0.1,curiosity,first,18.0,12.67,17.0,3
mixtral-8x22b-instruct-v0.1,curiosity,second,58.0,61.0,50.67,3
mixtral-8x22b-instruct-v0.1,curiosity,third,44.0,45.0,45.67,3
mixtral-8x22b-instruct-v0.1,gps_imu,first,45.67,17.33,24.67,3
mixtral-8x22b-instruct-v0.1,gps_imu,second,48.67,24.33,59.33,3
mixtral-8x22b-instruct-v0.1,gps_imu,third,46.33,77.0,72.67,3
mixtral-8x22b-instruct-v0.1,mass_spring_damper,first,34.67,9.67,44.67,3
mixtral-8x22b-instruct-v0.1,mass_spring_damper,second,56.33,48.67,61.0,3
mixtral-8x22b-instruct-v0.1,mass_spring_damper,third,62.0,58.33,47.0,3
mixtral-8x22b-instruct-v0.1,uazbus,first,25.0,16.0,11.67,3
mixtral-8x22b-instruct-v0.1,uazbus,second,50.33,38.33,62.67,3
mixtral-8x22b-instruct-v0.1,uazbus,third,44.33,46.33,35.0,3
mixtral-8x22b-instruct-v0.1,scm,first,29.67,31.33,35.0,3
mixtral-8x22b-instruct-v0.1,scm,second,41.33,62.33,60.0,3
mixtral-8x22b-instruct-v0.1,scm,third,56.5,40.0,32.0,2
mixtral-8x22b-instruct-v0.1,veh_app,first,25.0,21.33,6.33,3
mixtral-8x22b-instruct-v0.1,veh_app,second,44.33,38.33,35.0,3
mixtral-8x22b-instruct-v0.1,veh_app,third,29.0,63.33,41.33,3
mixtral-8x22b-instruct-v0.1,sedan,first,27.67,28.33,8.0,3
mixtral-8x22b-instruct-v0.1,sedan,second,17.33,35.67,40.0,3
mixtral-8x22b-instruct-v0.1,sedan,third,19.67,11.33,10.67,3
mixtral-8x22b-instruct-v0.1,citybus,first,14.67,20.33,28.33,3
mixtral-8x22b-instruct-v0.1,citybus,second,34.33,69.67,57.0,3
mixtral-8x22b-instruct-v0.1,citybus,third,49.33,72.67,69.33,3
mixtral-8x22b-instruct-v0.1,beam,first,15.0,22.0,7.0,3
mixtral-8x22b-instruct-v0.1,beam,second,42.0,24.67,35.67,3
mixtral-8x22b-instruct-v0.1,beam,third,52.0,79.0,69.67,3
mixtral-8x22b-instruct-v0.1,sensros,first,23.0,23.67,12.67,3
mixtral-8x22b-instruct-v0.1,sensros,second,30.0,56.67,65.33,3
mixtral-8x22b-instruct-v0.1,sensros,third,20.33,75.33,74.33,3
mixtral-8x22b-instruct-v0.1,camera,first,40.0,20.33,18.67,3
mixtral-8x22b-instruct-v0.1,camera,second,45.33,68.67,62.0,3
mixtral-8x22b-instruct-v0.1,camera,third,19.67,52.33,43.0,3
mixtral-8x22b-instruct-v0.1,particles,first,36.33,31.33,26.33,3
mixtral-8x22b-instruct-v0.1,particles,second,40.67,66.33,49.33,3
mixtral-8x22b-instruct-v0.1,particles,third,64.33,57.67,70.33,3
mixtral-8x22b-instruct-v0.1,kraz,first,39.0,16.33,11.0,3
mixtral-8x22b-instruct-v0.1,kraz,second,44.67,64.67,61.0,3
mixtral-8x22b-instruct-v0.1,kraz,third,30.33,34.67,25.67,3
mixtral-8x22b-instruct-v0.1,m113,first,5.67,9.0,5.67,3
mixtral-8x22b-instruct-v0.1,m113,second,46.0,42.67,55.33,3
mixtral-8x22b-instruct-v0.1,m113,third,35.33,45.33,33.67,3
mixtral-8x22b-instruct-v0.1,tablecloth,first,34.67,14.0,13.67,3
mixtral-8x22b-instruct-v0.1,tablecloth,second,40.33,54.33,55.33,3
mixtral-8x22b-instruct-v0.1,tablecloth,third,40.67,50.0,71.0,3
mixtral-8x22b-instruct-v0.1,rotor,first,11.0,23.67,26.33,3
mixtral-8x22b-instruct-v0.1,rotor,second,35.67,81.33,82.67,3
mixtral-8x22b-instruct-v0.1,rotor,third,71.67,70.33,63.33,3
mixtral-8x22b-instruct-v0.1,scm_hill,first,11.67,12.33,14.67,3
mixtral-8x22b-instruct-v0.1,scm_hill,second,24.0,17.67,27.67,3
mixtral-8x22b-instruct-v0.1,scm_hill,third,21.67,63.33,59.67,3
mixtral-8x22b-instruct-v0.1,viper,first,30.33,30.33,25.33,3
mixtral-8x22b-instruct-v0.1,viper,second,62.33,89.0,87.67,3
mixtral-8x22b-instruct-v0.1,viper,third,49.33,23.33,42.0,3
mixtral-8x22b-instruct-v0.1,buckling,first,39.67,5.33,29.67,3
mixtral-8x22b-instruct-v0.1,buckling,second,54.0,69.0,79.33,3
mixtral-8x22b-instruct-v0.1,buckling,third,62.0,24.33,26.33,3
mixtral-8x22b-instruct-v0.1,slider_crank,first,49.67,27.33,32.0,3
mixtral-8x22b-instruct-v0.1,slider_crank,second,35.0,63.33,66.0,3
mixtral-8x22b-instruct-v0.1,slider_crank,third,36.0,67.33,62.33,2
mixtral-8x22b-instruct-v0.1,turtlebot,first,22.0,32.0,17.0,3
mixtral-8x22b-instruct-v0.1,turtlebot,second,70.67,72.0,68.0,3
mixtral-8x22b-instruct-v0.1,turtlebot,third,31.0,8.33,34.33,3
mixtral-8x22b-instruct-v0.1,rigid_multipatches,first,15.0,12.67,16.33,3
mixtral-8x22b-instruct-v0.1,rigid_multipatches,second,43.67,56.0,59.67,3
mixtral-8x22b-instruct-v0.1,rigid_multipatches,third,51.33,84.0,69.0,3
mixtral-8x22b-instruct-v0.1,cable,first,51.67,18.0,16.67,3
mixtral-8x22b-instruct-v0.1,cable,second,42.33,88.33,73.0,3
mixtral-8x22b-instruct-v0.1,cable,third,31.0,36.33,24.67,3
mixtral-8x22b-instruct-v0.1,hmmwv,first,32.33,9.67,27.67,3
mixtral-8x22b-instruct-v0.1,hmmwv,second,56.33,28.0,32.33,3
mixtral-8x22b-instruct-v0.1,hmmwv,third,48.33,33.0,54.33,3
mixtral-8x22b-instruct-v0.1,handler,first,22.0,31.0,24.67,3
mixtral-8x22b-instruct-v0.1,handler,second,55.67,60.33,85.0,3
mixtral-8x22b-instruct-v0.1,handler,third,66.33,36.33,37.0,3
mixtral-8x22b-instruct-v0.1,lidar,first,16.67,31.67,9.0,3
mixtral-8x22b-instruct-v0.1,lidar,second,30.0,32.33,32.0,3
mixtral-8x22b-instruct-v0.1,lidar,third,24.67,25.33,16.67,3
llama4_maverick,gator,first,18.33,24.33,9.67,3
llama4_maverick,gator,second,54.33,51.67,52.0,3
