Model,Score Document,Score Reference,Score Reference Document,CodeBLEU,ROUGE-L,ROUGE-1,ROUGE-2
mistral-nemo-12b-instruct,1563.0476653129303,1679.6324082302692,1865.122180219686,1514.86545836266,1524.3929663438123,1532.2547637107423,1518.8423980104174
mamba-codestral-7b-v0.1,1678.23655470303,1185.8433420993815,1647.0063112376902,1505.494118201896,1514.9024157360266,1522.666707009986,1509.2678694350232
gpt-4.1-nano,1638.7849417140326,1371.8827233859065,1632.1043822535776,1514.759452500632,1523.7882340467934,1531.3374993826644,1518.160955177489
gpt-4o,1468.7075842281859,1351.3341076576198,1304.7334842434873,1514.776380816774,1523.8132934131077,1531.8298999926824,1518.2470622037577
gpt-4o-mini,1798.1511470643231,1707.2817369713703,1548.2612269174076,1514.8949463424842,1523.9416957875121,1531.57087808338,1518.439435736047
deepseek-r1-8b,1214.2864036166445,1332.93605194571,1191.6135939497,1514.3244301100196,1523.4473608178516,1530.8693149909222,1517.3055213126866
nemotron-4-340b-instruct,1836.3348539491599,1512.254549260594,1191.0350579042397,1514.4899655458892,1524.5336565880857,1532.3381614614552,1519.1068389050854
llama4_scout,1705.7141947947891,1812.655618068745,1963.025171063098,1515.7387122273142,1525.5911841976063,1533.3702297064056,1519.943368295009
claude-3-5-sonnet,1772.1650430078205,1013.7112923915648,1777.6091080103067,1513.937854413677,1523.0120685314387,1530.0392987106454,1516.5512245171171
gemma-2-2b-it,1465.6151773811816,1358.9598523281797,1248.1324374630815,1514.4471669711018,1523.6789471338998,1531.1209470803933,1517.505439104754
deepseek-r1-32b,1214.497086487236,1455.3586695622575,1726.9667426893582,1514.266178266593,1522.9933193770069,1530.4043406559476,1517.1251784913945
o4-mini,1575.6538989309015,1299.392479517127,1974.6694187363807,1514.511804714723,1524.2117987615304,1532.0888571331684,1519.2120941871378
gemma-2-9b-it,1472.7596339530285,1197.2360233091063,1589.2356582455682,1514.5116683706442,1523.800113789866,1531.2513821628352,1517.6351390566049
mistral-large-latest,2011.5815236311487,1670.7405191334456,1477.627947289815,1514.3972494837988,1523.964287933582,1532.1811087930832,1518.766887928923
llama3.3-70b-lora1,1212.534366541413,1347.2919604516785,1757.7504936803173,1515.354573810332,1524.737036556471,1532.4274907699314,1518.9399387070455
codestral-22b-instruct-v0.1,1529.040773173097,1205.063456522077,1740.1473722842316,1514.1198679465767,1522.8140187400165,1530.5346071663516,1516.8780826698717
claude-4-sonnet-20250514,1849.2950794186568,1275.7825126955584,2084.483153245936,1514.0266279748723,1522.7782409642184,1534.1092193956567,1516.7964262177704
gpt-4.1,2040.5589563623557,1351.219431950959,1275.8161123099967,1514.5889897818508,1523.594688837821,1531.5214081606455,1517.8471961157181
phi-3-medium-128k-instruct,1443.3058380527004,1026.7900061849614,1459.0697473573487,1513.4459140208041,1519.548743573876,1524.5450616885084,1508.3845653882915
phi-3-mini-128k-instruct,1304.2609415215622,1354.8144430164184,1136.5511351390446,1514.472560651444,1523.647589838396,1531.148056758434,1517.9608809204992
llama4_maverick,1661.7658300413086,1569.9408308278423,1445.8095088198595,1515.5933921754008,1525.0290684679587,1532.7954754434309,1519.7280810925474
qwen3-235b-a22b,2038.6536601450982,1745.814709314208,1728.4217552018517,1514.5366804896369,1523.6973173030935,1531.1948447122081,1518.0660745296348
claude-3-7-sonnet-20250219,1908.3652233688988,1780.1031081977894,1728.0955428671377,1513.9845750129573,1522.7230225648368,1530.1590507949848,1516.6451209857412
gpt-4.1-mini,1896.5066777433683,1451.4636798270149,1601.7403553523,1514.636380685223,1523.6618992616116,1531.2042072577808,1517.973836966971
mixtral-8x7b-instruct-v0.1,1534.2066604324305,1754.9883073348442,1456.788028687075,1513.5559423246555,1523.381666230358,1531.0800772138216,1517.9302806797155
