Rank,model,ConsensusScore,System,Round,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
15,llama-3.3-70b-instruct,41.50,,,41.86,33.73,41.08,0.60,0.52,0.54,0.84,0.50,0.74,0.62,0.66,0.73
16,pe_llama-3.1-405b-instruct,41.05,,,41.83,34.97,40.87,0.61,0.52,0.54,0.83,0.52,0.75,0.65,0.67,0.75
17,llama4_scout,40.95,,,37.85,33.77,40.82,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72
18,pe_deepseek-r1-32b,39.68,,,46.31,35.19,40.24,0.60,0.51,0.53,0.85,0.50,0.75,0.64,0.66,0.75
19,pe_llama-3.3-70b-instruct,39.44,,,48.55,35.38,40.13,0.60,0.51,0.54,0.84,0.49,0.75,0.64,0.67,0.74
20,gpt-4.1,39.42,,,55.49,34.37,40.12,0.60,0.49,0.52,0.86,0.53,0.77,0.65,0.67,0.77
21,pe_llama-3.1-70b-instruct,38.94,,,43.69,34.87,39.90,,,,,,,,,
22,llama3.1-8b-f2,38.29,,,33.19,32.02,39.60,,,,,,,,,
23,llama-3.1-70b-instruct,38.28,,,39.71,33.42,39.59,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71
24,gpt-4.1-nano,38.10,,,38.31,31.00,39.51,0.58,0.47,0.51,0.84,0.51,0.71,0.59,0.63,0.71
25,llama4-109b-lora1,37.65,,,34.65,33.01,39.31,0.62,0.53,0.55,0.85,0.53,0.75,0.65,0.66,0.75
26,Gemini,37.43,,,42.71,32.94,39.21,,,,,,,,,
27,deepseek-r1-32b,37.18,,,34.00,33.30,39.09,0.59,0.49,0.51,0.83,0.51,0.70,0.58,0.62,0.70
28,llama3.1-8b-lora1,37.14,,,34.92,32.77,39.07,0.64,0.54,0.58,0.87,0.54,0.76,0.68,0.68,0.76
29,pe_llama-3.1-8b-instruct,37.11,,,37.23,33.19,39.06,0.60,0.52,0.53,0.83,0.51,0.72,0.63,0.65,0.72
30,llama-3.1-405b-instruct,37.07,,,38.03,33.09,39.04,0.62,0.53,0.55,0.83,0.56,0.72,0.62,0.66,0.72
31,pe_llama4_scout,37.01,,,48.25,34.07,39.01,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,mixtral-8x22b-instruct-v0.1,36.73,,,36.86,33.78,38.88,0.59,0.52,0.54,0.80,0.49,0.67,0.60,0.62,0.67
33,llama3.1-8b-f1,36.51,,,34.56,33.09,38.78,0.63,0.53,0.57,0.86,0.54,0.74,0.66,0.66,0.74
34,pe_llama4_maverick,36.20,,,43.54,31.74,38.64,,,,,,,,,
35,codestral-22b-instruct-v0.1,34.79,,,39.22,32.47,37.99,0.61,0.52,0.54,0.84,0.53,0.70,0.61,0.65,0.70
36,deepseek-r1,34.67,,,53.80,32.59,37.93,0.61,0.50,0.51,0.85,0.54,0.77,0.65,0.68,0.77
37,mixtral-8x7b-instruct-v0.1,34.56,,,30.35,34.25,37.88,0.51,0.42,0.46,0.73,0.42,0.63,0.54,0.57,0.62
38,llama-3.1-8b-instruct,34.28,,,34.85,31.43,37.75,0.57,0.49,0.52,0.76,0.46,0.66,0.57,0.60,0.66
39,mistral-large-latest,34.06,,,44.25,33.35,37.65,0.60,0.50,0.52,0.84,0.53,0.74,0.63,0.67,0.74
40,gemma-2-27b-it,33.48,,,36.55,29.26,37.38,0.59,0.50,0.52,0.83,0.50,0.71,0.61,0.64,0.71
41,pe_deepseek-r1-8b,32.45,,,34.66,30.62,36.91,,,,,,,,,
42,mistral-nemo-12b-instruct,31.39,,,31.81,29.75,36.42,0.55,0.44,0.47,0.79,0.46,0.65,0.55,0.58,0.65
43,nemotron-4-340b-instruct,29.04,,,40.15,30.50,35.34,0.60,0.49,0.53,0.84,0.52,0.72,0.61,0.64,0.72
44,llama3.3-70b-lora1,27.58,,,20.33,35.00,34.67,0.64,0.55,0.60,0.88,0.52,0.77,0.68,0.69,0.77
45,deepseek-r1-8b,26.20,,,26.68,26.27,34.03,0.57,0.47,0.49,0.79,0.49,0.65,0.56,0.59,0.65
46,gpt-4o,25.92,,,49.36,28.28,33.90,0.61,0.49,0.51,0.86,0.56,0.76,0.65,0.68,0.76
47,claude-3-5-sonnet,25.58,,,52.78,25.85,33.75,0.59,0.48,0.50,0.85,0.53,0.76,0.64,0.67,0.76
48,gemma-2-9b-it,25.42,,,29.97,29.68,33.67,0.58,0.49,0.51,0.82,0.47,0.69,0.59,0.63,0.69
49,mamba-codestral-7b-v0.1,21.43,,,27.94,29.42,31.83,0.47,0.39,0.41,0.72,0.36,0.57,0.49,0.52,0.57
50,gemma-2-2b-it,19.79,,,24.61,27.60,31.08,0.54,0.46,0.48,0.79,0.43,0.64,0.56,0.60,0.64
51,phi-3-mini-128k-instruct,12.60,,,23.81,24.64,27.76,0.50,0.39,0.45,0.76,0.40,0.58,0.50,0.53,0.58
52,gemma-3-1b-it,12.40,,,28.34,25.67,27.67,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.60,0.64
53,Gemini-1.5-pro,0.00,,,,,,0.61,0.51,0.54,0.84,0.54,0.73,0.62,0.65,0.73
54,phi-3-medium-128k-instruct,0.00,,,19.65,19.84,21.96,0.37,0.24,0.26,0.55,0.26,0.39,0.31,0.35,0.39
