Model,System,Round,Score Document,Score Reference,Score Ref+Doc
deepseek-r1,art,first,0,1,9
deepseek-r1,art,second,0,2,
deepseek-r1,art,third,85,6,
deepseek-r1,slider_crank,gpt-4.1-nano,second,0,4,
deepseek-r1,slider_crank,gpt-4.1-nano,third,0,4,
deepseek-r1,slider_crank,gpt-4o-mini,first,75,4,7
deepseek-r1,slider_crank,gpt-4o-mini,second,0,9,
deepseek-r1,slider_crank,gpt-4o-mini,third,0,4,9
deepseek-r1,tablecloth,first,85,4,5
deepseek-r1,tablecloth,second,0,0,
deepseek-r1,tablecloth,third,0,2,
deepseek-r1,tablecloth,gpt-4.1-mini,first,60,,5
deepseek-r1,tablecloth,gpt-4.1-mini,second,0,,
deepseek-r1,tablecloth,gpt-4.1-mini,third,0,0,
deepseek-r1,tablecloth,gpt-4.1-nano,first,85,4,
deepseek-r1,tablecloth,gpt-4.1-nano,second,85,0,
deepseek-r1,tablecloth,gpt-4.1-nano,third,0,0,
deepseek-r1,tablecloth,gpt-4o-mini,first,75,0,4
deepseek-r1,tablecloth,gpt-4o-mini,second,0,2,10
deepseek-r1,tablecloth,gpt-4o-mini,third,0,2,
deepseek-r1,turtlebot,first,0,2,8
deepseek-r1,turtlebot,second,0,0,
deepseek-r1,turtlebot,third,0,,9
deepseek-r1,turtlebot,gpt-4.1-mini,first,0,,10
deepseek-r1,turtlebot,gpt-4.1-mini,second,0,0,10
deepseek-r1,turtlebot,gpt-4.1-mini,third,0,0,10
deepseek-r1,turtlebot,gpt-4.1-nano,first,40,2,
deepseek-r1,turtlebot,gpt-4.1-nano,second,20,3,
deepseek-r1,turtlebot,gpt-4.1-nano,third,0,,1
deepseek-r1,turtlebot,gpt-4o-mini,first,0,6,8
deepseek-r1,turtlebot,gpt-4o-mini,second,0,2,8
deepseek-r1,turtlebot,gpt-4o-mini,third,0,2,10
deepseek-r1,uazbus,first,90,4,7
deepseek-r1,uazbus,second,85,3,6
deepseek-r1,uazbus,third,80,,4
deepseek-r1,uazbus,gpt-4.1-mini,first,80,4,4
deepseek-r1,uazbus,gpt-4.1-mini,second,65,0,5
deepseek-r1,uazbus,gpt-4.1-mini,third,65,7,
deepseek-r1,uazbus,gpt-4.1-nano,first,90,1,
deepseek-r1,uazbus,gpt-4.1-nano,second,65,2,
deepseek-r1,uazbus,gpt-4.1-nano,third,75,3,
deepseek-r1,uazbus,gpt-4o-mini,first,90,4,6
deepseek-r1,uazbus,gpt-4o-mini,second,85,3,
deepseek-r1,uazbus,gpt-4o-mini,third,75,2,7
deepseek-r1,vehros,first,85,4,
deepseek-r1,vehros,second,85,65,7
deepseek-r1,vehros,third,85,4,7
deepseek-r1,vehros,gpt-4.1-mini,first,20,1,
deepseek-r1,vehros,gpt-4.1-mini,second,92,55,8
deepseek-r1,vehros,gpt-4.1-mini,third,85,8,6
deepseek-r1,vehros,gpt-4.1-nano,first,90,,6
deepseek-r1,vehros,gpt-4.1-nano,second,90,4,88
deepseek-r1,vehros,gpt-4.1-nano,third,75,4,
deepseek-r1,vehros,gpt-4o-mini,first,90,4,5
deepseek-r1,vehros,gpt-4o-mini,second,85,60,
deepseek-r1,vehros,gpt-4o-mini,third,85,4,6
deepseek-r1,veh_app,first,85,4,7
deepseek-r1,veh_app,second,85,65,
deepseek-r1,veh_app,third,85,4,7
deepseek-r1,veh_app,gpt-4.1-mini,first,95,,
deepseek-r1,veh_app,gpt-4.1-mini,second,80,,
deepseek-r1,veh_app,gpt-4.1-mini,third,75,85,
deepseek-r1,veh_app,gpt-4.1-nano,first,95,,
deepseek-r1,veh_app,gpt-4.1-nano,second,90,4,
deepseek-r1,veh_app,gpt-4.1-nano,third,85,,
deepseek-r1,veh_app,gpt-4o-mini,first,90,4,
deepseek-r1,veh_app,gpt-4o-mini,second,85,60,9
deepseek-r1,veh_app,gpt-4o-mini,third,85,4,
deepseek-r1,viper,first,20,15,
deepseek-r1,viper,second,85,5,
deepseek-r1,viper,third,85,1,7
deepseek-r1,viper,gpt-4.1-mini,first,90,0,1
deepseek-r1,viper,gpt-4.1-mini,second,90,6,
deepseek-r1,viper,gpt-4.1-mini,third,85,,
deepseek-r1,viper,gpt-4.1-nano,first,85,,
deepseek-r1,viper,gpt-4.1-nano,second,85,,
deepseek-r1,viper,gpt-4.1-nano,third,85,4,
deepseek-r1,viper,gpt-4o-mini,first,20,2,9
deepseek-r1,viper,gpt-4o-mini,second,85,3,9
deepseek-r1,viper,gpt-4o-mini,third,90,0,7
deepseek-r1-32b,art,first,0,,9
deepseek-r1-32b,art,second,0,3,8
deepseek-r1-32b,art,third,10,2,8
deepseek-r1-32b,art,gpt-4.1-mini,first,0,,0
deepseek-r1-32b,art,gpt-4.1-mini,second,0,,0
deepseek-r1-32b,art,gpt-4.1-mini,third,0,0,
deepseek-r1-32b,art,gpt-4.1-nano,first,10,2,
deepseek-r1-32b,art,gpt-4.1-nano,second,10,5,1
deepseek-r1-32b,art,gpt-4.1-nano,third,10,2,
deepseek-r1-32b,art,gpt-4o-mini,first,0,4,8
deepseek-r1-32b,art,gpt-4o-mini,second,10,2,9
deepseek-r1-32b,art,gpt-4o-mini,third,10,10,10
deepseek-r1-32b,beam,first,0,0,10
deepseek-r1-32b,beam,second,0,,9
deepseek-r1-32b,beam,third,10,0,9
deepseek-r1-32b,beam,gpt-4.1-mini,first,0,0,
deepseek-r1-32b,beam,gpt-4.1-mini,second,0,0,0
deepseek-r1-32b,beam,gpt-4.1-mini,third,0,,0
deepseek-r1-32b,beam,gpt-4.1-nano,first,20,7,
deepseek-r1-32b,beam,gpt-4.1-nano,second,10,,
deepseek-r1-32b,beam,gpt-4.1-nano,third,20,,
deepseek-r1-32b,beam,gpt-4o-mini,first,0,0,
deepseek-r1-32b,beam,gpt-4o-mini,second,0,4,9
deepseek-r1-32b,beam,gpt-4o-mini,third,0,8,10
deepseek-r1-32b,buckling,first,0,2,10
deepseek-r1-32b,buckling,second,0,2,10
deepseek-r1-32b,buckling,third,10,30,9
deepseek-r1-32b,buckling,gpt-4.1-mini,first,0,0,
deepseek-r1-32b,buckling,gpt-4.1-mini,second,0,0,
deepseek-r1-32b,buckling,gpt-4.1-mini,third,0,0,
deepseek-r1-32b,buckling,gpt-4.1-nano,first,15,,
deepseek-r1-32b,buckling,gpt-4.1-nano,second,10,,
deepseek-r1-32b,buckling,gpt-4.1-nano,third,20,,
deepseek-r1-32b,buckling,gpt-4o-mini,first,0,8,
deepseek-r1-32b,buckling,gpt-4o-mini,second,10,6,9
deepseek-r1-32b,buckling,gpt-4o-mini,third,0,1,9
deepseek-r1-32b,cable,first,0,2,10
deepseek-r1-32b,cable,second,10,,10
deepseek-r1-32b,cable,third,5,2,
deepseek-r1-32b,cable,gpt-4.1-mini,first,0,0,0
deepseek-r1-32b,cable,gpt-4.1-mini,second,0,0,10
deepseek-r1-32b,cable,gpt-4.1-mini,third,0,0,
deepseek-r1-32b,cable,gpt-4.1-nano,first,20,,
deepseek-r1-32b,cable,gpt-4.1-nano,second,20,8,
deepseek-r1-32b,cable,gpt-4.1-nano,third,0,,
deepseek-r1-32b,cable,gpt-4o-mini,first,10,0,9
deepseek-r1-32b,cable,gpt-4o-mini,second,10,,9
deepseek-r1-32b,cable,gpt-4o-mini,third,0,2,8
deepseek-r1-32b,camera,first,10,,7
deepseek-r1-32b,camera,second,0,2,8
deepseek-r1-32b,camera,third,10,2,6
deepseek-r1-32b,camera,gpt-4.1-mini,first,0,0,
deepseek-r1-32b,camera,gpt-4.1-mini,second,0,0,
deepseek-r1-32b,camera,gpt-4.1-mini,third,0,0,9
deepseek-r1-32b,camera,gpt-4.1-nano,first,10,0,
deepseek-r1-32b,camera,gpt-4.1-nano,second,30,,
deepseek-r1-32b,camera,gpt-4.1-nano,third,10,91,
deepseek-r1-32b,camera,gpt-4o-mini,first,10,4,
deepseek-r1-32b,camera,gpt-4o-mini,second,0,,5
deepseek-r1-32b,camera,gpt-4o-mini,third,10,3,6
deepseek-r1-32b,citybus,first,10,4,
deepseek-r1-32b,citybus,second,10,2,10
deepseek-r1-32b,citybus,third,10,60,
deepseek-r1-32b,citybus,gpt-4.1-mini,first,0,,0
deepseek-r1-32b,citybus,gpt-4.1-mini,second,0,0,0
deepseek-r1-32b,citybus,gpt-4.1-mini,third,0,0,0
deepseek-r1-32b,citybus,gpt-4.1-nano,first,10,,
deepseek-r1-32b,citybus,gpt-4.1-nano,second,20,81,
deepseek-r1-32b,citybus,gpt-4.1-nano,third,40,8,
deepseek-r1-32b,citybus,gpt-4o-mini,first,0,25,
deepseek-r1-32b,citybus,gpt-4o-mini,second,10,4,
deepseek-r1-32b,citybus,gpt-4o-mini,third,0,3,
deepseek-r1-32b,curiosity,first,10,0,10
deepseek-r1-32b,curiosity,second,0,0,10
deepseek-r1-32b,curiosity,third,0,4,
deepseek-r1-32b,curiosity,gpt-4.1-mini,first,0,0,10
deepseek-r1-32b,curiosity,gpt-4.1-mini,second,0,0,0
deepseek-r1-32b,curiosity,gpt-4.1-mini,third,0,0,10
deepseek-r1-32b,curiosity,gpt-4.1-nano,first,10,,
deepseek-r1-32b,curiosity,gpt-4.1-nano,second,20,78,
deepseek-r1-32b,curiosity,gpt-4.1-nano,third,30,7,
deepseek-r1-32b,curiosity,gpt-4o-mini,first,0,,9
deepseek-r1-32b,curiosity,gpt-4o-mini,second,5,2,10
deepseek-r1-32b,curiosity,gpt-4o-mini,third,0,75,9
deepseek-r1-32b,feda,first,0,30,8
deepseek-r1-32b,feda,second,10,4,
deepseek-r1-32b,feda,third,10,,
deepseek-r1-32b,feda,gpt-4.1-mini,first,0,0,0
