Model,System,Round,Score Document,Score Reference,Score Ref+Doc
gemma-3-1b-it,lidar,second,0,,5
gemma-3-1b-it,lidar,third,10,2,6
gemma-3-1b-it,m113,first,0,,10
gemma-3-1b-it,m113,second,0,8,
gemma-3-1b-it,m113,third,0,1,10
gemma-3-1b-it,man,first,0,0,9
gemma-3-1b-it,man,second,10,5,
gemma-3-1b-it,man,third,10,,
gemma-3-1b-it,mass_spring_damper,first,0,2,10
gemma-3-1b-it,mass_spring_damper,second,10,2,10
gemma-3-1b-it,mass_spring_damper,third,5,4,9
gemma-3-1b-it,particles,first,10,,9
gemma-3-1b-it,particles,second,0,2,9
gemma-3-1b-it,particles,third,0,,
gemma-3-1b-it,pendulum,first,0,10,10
gemma-3-1b-it,pendulum,second,0,22,18
gemma-3-1b-it,pendulum,third,10,0,10
gemma-3-1b-it,rigid_highway,first,0,,7
gemma-3-1b-it,rigid_highway,second,0,2,
gemma-3-1b-it,rigid_highway,third,10,7,
gemma-3-1b-it,rigid_multipatches,first,0,3,8
gemma-3-1b-it,rigid_multipatches,second,10,3,8
gemma-3-1b-it,rigid_multipatches,third,0,4,8
gemma-3-1b-it,rotor,first,0,10,10
gemma-3-1b-it,rotor,second,0,4,
gemma-3-1b-it,rotor,third,20,2,10
gemma-3-1b-it,scm,first,10,30,9
gemma-3-1b-it,scm,second,0,,10
gemma-3-1b-it,scm,third,0,0,
gemma-3-1b-it,scm_hill,first,10,3,9
gemma-3-1b-it,scm_hill,second,10,3,
gemma-3-1b-it,scm_hill,third,10,4,
gemma-3-1b-it,sedan,first,0,6,9
gemma-3-1b-it,sedan,second,10,1,
gemma-3-1b-it,sedan,third,10,60,9
gemma-3-1b-it,sensros,first,0,0,9
gemma-3-1b-it,sensros,second,0,1,8
gemma-3-1b-it,sensros,third,0,2,9
gemma-3-1b-it,slider_crank,first,10,2,8
gemma-3-1b-it,slider_crank,second,10,,10
gemma-3-1b-it,slider_crank,third,0,0,9
gemma-3-1b-it,tablecloth,first,0,,10
gemma-3-1b-it,tablecloth,second,0,0,
gemma-3-1b-it,tablecloth,third,0,2,
gemma-3-1b-it,turtlebot,first,0,0,9
gemma-3-1b-it,turtlebot,second,0,0,
gemma-3-1b-it,turtlebot,third,0,2,9
gemma-3-1b-it,uazbus,first,10,45,9
gemma-3-1b-it,uazbus,second,0,2,9
gemma-3-1b-it,uazbus,third,0,0,
gemma-3-1b-it,vehros,first,0,,10
gemma-3-1b-it,vehros,second,0,0,
gemma-3-1b-it,vehros,third,0,,9
gemma-3-1b-it,veh_app,first,10,3,9
gemma-3-1b-it,veh_app,second,0,1,9
gemma-3-1b-it,veh_app,third,0,,9
gemma-3-1b-it,viper,first,0,0,9
gemma-3-1b-it,viper,second,0,2,9
gemma-3-1b-it,viper,third,10,0,10
gpt-4.1-mini,art,first,70,4,6
gpt-4.1-mini,art,second,85,5,
gpt-4.1-mini,art,third,85,0,8
gpt-4.1-mini,beam,first,90,,7
gpt-4.1-mini,beam,second,85,65,
gpt-4.1-mini,beam,third,85,5,8
gpt-4.1-nano,art,first,75,3,4
gpt-4.1-nano,art,second,85,,9
gpt-4.1-nano,art,third,85,7,9
gpt-4.1-nano,beam,first,75,3,4
gpt-4.1-nano,beam,second,85,2,10
gpt-4.1-nano,beam,third,85,65,9
gpt-4.1-nano,buckling,first,75,,5
gpt-4.1-nano,buckling,second,85,3,8
gpt-4.1-nano,buckling,third,85,4,
gpt-4.1-nano,cable,first,85,3,7
gpt-4.1-nano,cable,second,85,5,9
gpt-4.1-nano,cable,third,85,4,8
gpt-4.1-nano,camera,first,75,3,7
gpt-4.1-nano,camera,second,75,4,5
gpt-4.1-nano,camera,third,85,4,5
gpt-4.1-nano,citybus,first,75,,
gpt-4.1-nano,citybus,second,85,,9
gpt-4.1-nano,citybus,third,85,6,9
gpt-4.1-nano,curiosity,first,75,3,6
gpt-4.1-nano,curiosity,second,85,2,8
gpt-4.1-nano,curiosity,third,85,4,
gpt-4.1-nano,feda,first,75,0,7
gpt-4.1-nano,feda,second,90,65,8
gpt-4.1-nano,feda,third,85,60,
gpt-4.1-nano,gator,first,70,3,5
gpt-4.1-nano,gator,second,90,5,8
gpt-4.1-nano,gator,third,85,5,
gpt-4.1-nano,gear,first,75,8,6
gpt-4.1-nano,gear,second,75,2,
gpt-4.1-nano,gear,third,75,4,
gpt-4.1-nano,gps_imu,first,85,4,6
gpt-4.1-nano,gps_imu,second,90,60,
gpt-4.1-nano,gps_imu,third,85,75,9
gpt-4.1-nano,handler,first,75,3,6
gpt-4.1-nano,handler,second,85,7,9
gpt-4.1-nano,handler,third,75,4,
gpt-4.1-nano,hmmwv,first,70,2,6
gpt-4.1-nano,hmmwv,second,85,4,8
gpt-4.1-nano,hmmwv,third,85,65,8
gpt-4.1-nano,kraz,first,70,2,3
gpt-4.1-nano,kraz,second,85,1,9
gpt-4.1-nano,kraz,third,85,,
gpt-4.1-nano,lidar,first,75,3,
gpt-4.1-nano,lidar,second,70,4,5
gpt-4.1-nano,lidar,third,70,30,7
gpt-4.1-nano,m113,first,70,3,7
gpt-4.1-nano,m113,second,85,3,
gpt-4.1-nano,m113,third,85,4,9
gpt-4.1-nano,man,first,70,2,4
gpt-4.1-nano,man,second,85,4,
gpt-4.1-nano,man,third,85,5,8
gpt-4.1-nano,mass_spring_damper,first,85,4,7
gpt-4.1-nano,mass_spring_damper,second,85,4,9
gpt-4.1-nano,mass_spring_damper,third,85,2,8
gpt-4.1-nano,particles,first,70,2,
gpt-4.1-nano,particles,second,85,70,9
gpt-4.1-nano,particles,third,85,2,
gpt-4.1-nano,pendulum,first,85,1,7
gpt-4.1-nano,pendulum,second,85,2,5
gpt-4.1-nano,pendulum,third,85,65,7
gpt-4.1-nano,rigid_highway,first,80,3,6
gpt-4.1-nano,rigid_highway,second,85,1,9
gpt-4.1-nano,rigid_highway,third,85,60,9
gpt-4.1-nano,rigid_multipatches,first,65,3,
gpt-4.1-nano,rigid_multipatches,second,70,5,
gpt-4.1-nano,rigid_multipatches,third,85,3,7
gpt-4.1-nano,rotor,first,75,3,
gpt-4.1-nano,rotor,second,85,65,8
gpt-4.1-nano,rotor,third,85,65,
gpt-4.1-nano,scm,first,85,3,
gpt-4.1-nano,scm,second,85,65,
gpt-4.1-nano,scm,third,85,4,9
gpt-4.1-nano,scm_hill,first,80,,5
gpt-4.1-nano,scm_hill,second,85,65,
gpt-4.1-nano,scm_hill,third,85,5,
gpt-4.1-nano,sedan,first,60,1,5
gpt-4.1-nano,sedan,second,85,4,7
gpt-4.1-nano,sedan,third,85,4,
gpt-4.1-nano,sensros,first,75,3,
gpt-4.1-nano,sensros,second,85,65,
gpt-4.1-nano,sensros,third,85,65,
gpt-4.1-nano,slider_crank,first,85,4,7
gpt-4.1-nano,slider_crank,second,85,5,8
gpt-4.1-nano,slider_crank,third,85,4,
gpt-4.1-nano,tablecloth,first,85,4,6
gpt-4.1-nano,tablecloth,second,85,,9
gpt-4.1-nano,tablecloth,third,85,65,8
gpt-4.1-nano,turtlebot,first,85,2,
gpt-4.1-nano,turtlebot,second,85,65,
gpt-4.1-nano,turtlebot,third,85,5,
gpt-4.1-nano,uazbus,first,85,4,5
gpt-4.1-nano,uazbus,second,85,5,
gpt-4.1-nano,uazbus,third,85,65,9
gpt-4.1-nano,vehros,first,70,3,4
gpt-4.1-nano,vehros,second,90,5,9
gpt-4.1-nano,vehros,third,85,4,7
gpt-4.1-nano,veh_app,first,85,0,6
gpt-4.1-nano,veh_app,second,85,65,8
gpt-4.1-nano,veh_app,third,85,1,
gpt-4.1-nano,viper,first,75,4,6
gpt-4.1-nano,viper,second,85,6,9
gpt-4.1-nano,viper,third,85,9,7
gpt-4o-mini,art,first,65,3,4
gpt-4o-mini,art,second,90,7,10
gpt-4o-mini,art,third,85,7,10
gpt-4o-mini,beam,first,45,3,5
gpt-4o-mini,beam,second,85,5,9
gpt-4o-mini,beam,third,90,5,
gpt-4o-mini,buckling,first,75,3,7
gpt-4o-mini,buckling,second,85,75,
gpt-4o-mini,buckling,third,85,5,7
gpt-4o-mini,cable,first,75,3,6
gpt-4o-mini,cable,second,85,6,10
gpt-4o-mini,cable,third,85,4,
gpt-4o-mini,camera,first,85,10,
gpt-4o-mini,camera,second,60,2,6
gpt-4o-mini,camera,third,60,10,3
gpt-4o-mini,citybus,first,70,3,4
gpt-4o-mini,citybus,second,85,,10
gpt-4o-mini,citybus,third,85,7,
gpt-4o-mini,curiosity,first,70,3,5
gpt-4o-mini,curiosity,second,85,10,
gpt-4o-mini,curiosity,third,75,4,7
gpt-4o-mini,feda,first,85,6,3
gpt-4o-mini,feda,second,85,5,8
gpt-4o-mini,feda,third,85,65,
gpt-4o-mini,gator,first,70,4,5
gpt-4o-mini,gator,second,85,9,8
gpt-4o-mini,gator,third,85,5,
gpt-4o-mini,gear,first,80,3,8
gpt-4o-mini,gear,second,75,65,9
gpt-4o-mini,gear,third,85,0,
gpt-4o-mini,gps_imu,first,70,2,
gpt-4o-mini,gps_imu,second,85,4,8
gpt-4o-mini,gps_imu,third,85,18,
gpt-4o-mini,handler,first,75,0,7
gpt-4o-mini,handler,second,90,70,
gpt-4o-mini,handler,third,85,4,7
gpt-4o-mini,hmmwv,first,60,3,
gpt-4o-mini,hmmwv,second,85,4,
gpt-4o-mini,hmmwv,third,85,65,8
gpt-4o-mini,kraz,first,65,2,
gpt-4o-mini,kraz,second,85,60,
gpt-4o-mini,kraz,third,85,5,7
gpt-4o-mini,lidar,first,75,3,
gpt-4o-mini,lidar,second,65,60,
gpt-4o-mini,lidar,third,60,4,4
gpt-4o-mini,m113,first,85,2,4
gpt-4o-mini,m113,second,85,4,7
gpt-4o-mini,m113,third,85,3,3
gpt-4o-mini,man,first,75,3,5
gpt-4o-mini,man,second,85,65,9
gpt-4o-mini,man,third,90,5,7
gpt-4o-mini,mass_spring_damper,first,85,3,7
gpt-4o-mini,mass_spring_damper,second,85,12,1
gpt-4o-mini,mass_spring_damper,third,80,0,4
