Model,System,Round,Score Document,Score Reference,Score Ref+Doc
gpt-4.1-nano,uazbus,first,85,4,5
gpt-4.1-nano,uazbus,second,85,5,
gpt-4.1-nano,uazbus,third,85,65,9
gpt-4.1-nano,vehros,first,70,3,4
gpt-4.1-nano,vehros,second,90,5,9
gpt-4.1-nano,vehros,third,85,4,7
gpt-4.1-nano,veh_app,first,85,0,6
gpt-4.1-nano,veh_app,second,85,65,8
gpt-4.1-nano,veh_app,third,85,1,
gpt-4.1-nano,viper,first,75,4,6
gpt-4.1-nano,viper,second,85,6,9
gpt-4.1-nano,viper,third,85,9,7
gpt-4o-mini,art,first,65,3,4
gpt-4o-mini,art,second,90,7,10
gpt-4o-mini,art,third,85,7,10
gpt-4o-mini,beam,first,45,3,5
gpt-4o-mini,beam,second,85,5,9
gpt-4o-mini,beam,third,90,5,
gpt-4o-mini,buckling,first,75,3,7
gpt-4o-mini,buckling,second,85,75,
gpt-4o-mini,buckling,third,85,5,7
gpt-4o-mini,cable,first,75,3,6
gpt-4o-mini,cable,second,85,6,10
gpt-4o-mini,cable,third,85,4,
gpt-4o-mini,camera,first,85,10,
gpt-4o-mini,camera,second,60,2,6
gpt-4o-mini,camera,third,60,10,3
gpt-4o-mini,citybus,first,70,3,4
gpt-4o-mini,citybus,second,85,,10
gpt-4o-mini,citybus,third,85,7,
gpt-4o-mini,curiosity,first,70,3,5
gpt-4o-mini,curiosity,second,85,10,
gpt-4o-mini,curiosity,third,75,4,7
gpt-4o-mini,feda,first,85,6,3
gpt-4o-mini,feda,second,85,5,8
gpt-4o-mini,feda,third,85,65,
gpt-4o-mini,gator,first,70,4,5
gpt-4o-mini,gator,second,85,9,8
gpt-4o-mini,gator,third,85,5,
gpt-4o-mini,gear,first,80,3,8
gpt-4o-mini,gear,second,75,65,9
gpt-4o-mini,gear,third,85,0,
gpt-4o-mini,gps_imu,first,70,2,
gpt-4o-mini,gps_imu,second,85,4,8
gpt-4o-mini,gps_imu,third,85,18,
gpt-4o-mini,handler,first,75,0,7
gpt-4o-mini,handler,second,90,70,
gpt-4o-mini,handler,third,85,4,7
gpt-4o-mini,hmmwv,first,60,3,
gpt-4o-mini,hmmwv,second,85,4,
gpt-4o-mini,hmmwv,third,85,65,8
gpt-4o-mini,kraz,first,65,2,
gpt-4o-mini,kraz,second,85,60,
gpt-4o-mini,kraz,third,85,5,7
gpt-4o-mini,lidar,first,75,3,
gpt-4o-mini,lidar,second,65,60,
gpt-4o-mini,lidar,third,60,4,4
gpt-4o-mini,m113,first,85,2,4
gpt-4o-mini,m113,second,85,4,7
gpt-4o-mini,m113,third,85,3,3
gpt-4o-mini,man,first,75,3,5
gpt-4o-mini,man,second,85,65,9
gpt-4o-mini,man,third,90,5,7
gpt-4o-mini,mass_spring_damper,first,85,3,7
gpt-4o-mini,mass_spring_damper,second,85,12,1
gpt-4o-mini,mass_spring_damper,third,80,0,4
