Model,System,Round,Score Document,Score Reference,Score Ref+Doc
deepseek-r1-8b,viper,first,10,4,10
deepseek-r1-8b,viper,second,0,0,10
deepseek-r1-8b,viper,third,10,0,10
gemma-2-27b-it,art,first,70,,2
gemma-2-27b-it,art,second,85,5,9
gemma-2-27b-it,art,third,85,6,10
gemma-2-27b-it,beam,first,75,3,3
gemma-2-27b-it,beam,second,60,3,5
gemma-2-27b-it,beam,third,85,7,
gemma-2-27b-it,buckling,first,75,3,
gemma-2-27b-it,buckling,second,75,4,
gemma-2-27b-it,buckling,third,65,0,
gemma-2-27b-it,cable,first,80,3,6
gemma-2-27b-it,cable,second,85,5,9
gemma-2-27b-it,cable,third,85,2,8
gemma-2-27b-it,camera,first,70,3,
gemma-2-27b-it,camera,second,70,5,4
gemma-2-27b-it,camera,third,70,4,7
gemma-2-27b-it,citybus,first,70,3,6
gemma-2-27b-it,citybus,second,85,5,
gemma-2-27b-it,citybus,third,85,7,8
gemma-2-27b-it,curiosity,first,70,10,
gemma-2-27b-it,curiosity,second,85,5,
gemma-2-27b-it,curiosity,third,75,4,7
gemma-2-27b-it,feda,first,75,2,5
gemma-2-27b-it,feda,second,85,5,
gemma-2-27b-it,feda,third,90,5,
gemma-2-27b-it,gator,first,65,3,2
gemma-2-27b-it,gator,second,85,5,9
gemma-2-27b-it,gator,third,85,65,
gemma-2-27b-it,gear,first,85,20,8
gemma-2-27b-it,gear,second,75,65,8
gemma-2-27b-it,gear,third,70,4,7
gemma-2-27b-it,gps_imu,first,70,3,4
gemma-2-27b-it,gps_imu,second,85,70,8
gemma-2-27b-it,gps_imu,third,80,3,
gemma-2-27b-it,handler,first,75,2,6
gemma-2-27b-it,handler,second,85,5,9
gemma-2-27b-it,handler,third,85,4,
gemma-2-27b-it,hmmwv,first,75,7,6
gemma-2-27b-it,hmmwv,second,85,8,8
gemma-2-27b-it,hmmwv,third,85,5,8
gemma-2-27b-it,kraz,first,70,19,2
gemma-2-27b-it,kraz,second,85,4,7
gemma-2-27b-it,kraz,third,85,4,7
gemma-2-27b-it,lidar,first,75,,6
gemma-2-27b-it,lidar,second,75,0,6
gemma-2-27b-it,lidar,third,80,4,
gemma-2-27b-it,m113,first,70,3,5
gemma-2-27b-it,m113,second,85,4,7
gemma-2-27b-it,m113,third,75,5,
gemma-2-27b-it,man,first,75,4,7
gemma-2-27b-it,man,second,85,4,
gemma-2-27b-it,man,third,85,60,
gemma-2-27b-it,mass_spring_damper,first,85,4,4
gemma-2-27b-it,mass_spring_damper,second,85,4,6
gemma-2-27b-it,mass_spring_damper,third,75,4,8
gemma-2-27b-it,particles,first,75,,6
gemma-2-27b-it,particles,second,85,0,8
gemma-2-27b-it,particles,third,85,65,
gemma-2-27b-it,pendulum,first,75,1,7
gemma-2-27b-it,pendulum,second,75,7,6
gemma-2-27b-it,pendulum,third,75,4,6
gemma-2-27b-it,rigid_highway,first,60,,4
gemma-2-27b-it,rigid_highway,second,85,6,8
gemma-2-27b-it,rigid_highway,third,90,3,10
gemma-2-27b-it,rigid_multipatches,first,75,6,5
gemma-2-27b-it,rigid_multipatches,second,60,0,
gemma-2-27b-it,rigid_multipatches,third,75,70,6
gemma-2-27b-it,rotor,first,60,8,5
gemma-2-27b-it,rotor,second,85,65,10
gemma-2-27b-it,rotor,third,85,65,7
gemma-2-27b-it,scm,first,70,3,6
gemma-2-27b-it,scm,second,85,3,8
gemma-2-27b-it,scm,third,85,4,7
gemma-2-27b-it,scm_hill,first,75,7,
gemma-2-27b-it,scm_hill,second,85,3,
gemma-2-27b-it,scm_hill,third,85,4,7
gemma-2-27b-it,sedan,first,75,,5
gemma-2-27b-it,sedan,second,85,5,6
gemma-2-27b-it,sedan,third,85,5,8
gemma-2-27b-it,sensros,first,75,3,
gemma-2-27b-it,sensros,second,65,,6
gemma-2-27b-it,sensros,third,60,4,3
gemma-2-27b-it,slider_crank,first,70,4,
gemma-2-27b-it,slider_crank,second,85,3,
gemma-2-27b-it,slider_crank,third,85,88,7
gemma-2-27b-it,tablecloth,first,85,3,6
gemma-2-27b-it,tablecloth,second,85,65,9
gemma-2-27b-it,tablecloth,third,75,4,86
gemma-2-27b-it,turtlebot,first,65,,7
gemma-2-27b-it,turtlebot,second,85,,
gemma-2-27b-it,turtlebot,third,85,5,6
gemma-2-27b-it,uazbus,first,70,3,
gemma-2-27b-it,uazbus,second,85,4,7
gemma-2-27b-it,uazbus,third,85,,8
gemma-2-27b-it,vehros,first,65,2,5
gemma-2-27b-it,vehros,second,85,65,
gemma-2-27b-it,vehros,third,90,5,7
gemma-2-27b-it,veh_app,first,50,8,3
gemma-2-27b-it,veh_app,second,85,80,
gemma-2-27b-it,veh_app,third,70,4,
gemma-2-27b-it,viper,first,75,3,5
gemma-2-27b-it,viper,second,85,,10
gemma-2-27b-it,viper,third,85,3,7
gemma-2-2b-it,art,first,10,1,
gemma-2-2b-it,art,second,10,2,8
gemma-2-2b-it,art,third,0,0,
gemma-2-2b-it,beam,first,10,0,9
gemma-2-2b-it,beam,second,10,3,
gemma-2-2b-it,beam,third,0,,10
gemma-2-2b-it,buckling,first,10,0,9
gemma-2-2b-it,buckling,second,0,0,10
gemma-2-2b-it,buckling,third,0,,
gemma-2-2b-it,cable,first,0,4,10
gemma-2-2b-it,cable,second,10,5,9
gemma-2-2b-it,cable,third,0,3,
gemma-2-2b-it,camera,first,0,,7
gemma-2-2b-it,camera,second,10,1,7
gemma-2-2b-it,camera,third,0,,
gemma-2-2b-it,citybus,first,10,1,10
gemma-2-2b-it,citybus,second,0,2,10
gemma-2-2b-it,citybus,third,10,0,9
gemma-2-2b-it,curiosity,first,10,1,10
gemma-2-2b-it,curiosity,second,10,3,10
gemma-2-2b-it,curiosity,third,0,6,9
gemma-2-2b-it,feda,first,5,2,10
gemma-2-2b-it,feda,second,10,7,10
gemma-2-2b-it,feda,third,0,2,10
gemma-2-2b-it,gator,first,0,2,8
gemma-2-2b-it,gator,second,10,3,
gemma-2-2b-it,gator,third,0,2,9
gemma-2-2b-it,gear,first,10,,8
gemma-2-2b-it,gear,second,0,30,9
gemma-2-2b-it,gear,third,10,,8
gemma-2-2b-it,gps_imu,first,0,3,9
gemma-2-2b-it,gps_imu,second,0,27,
gemma-2-2b-it,gps_imu,third,0,11,10
gemma-2-2b-it,handler,first,10,1,9
gemma-2-2b-it,handler,second,10,6,10
gemma-2-2b-it,handler,third,0,45,
gemma-2-2b-it,hmmwv,first,5,4,9
gemma-2-2b-it,hmmwv,second,0,2,
gemma-2-2b-it,hmmwv,third,0,2,10
gemma-2-2b-it,kraz,first,0,0,9
gemma-2-2b-it,kraz,second,0,1,9
gemma-2-2b-it,kraz,third,10,,
gemma-2-2b-it,lidar,first,0,2,
gemma-2-2b-it,lidar,second,10,2,
gemma-2-2b-it,lidar,third,0,3,4
gemma-2-2b-it,m113,first,0,2,9
gemma-2-2b-it,m113,second,10,20,8
gemma-2-2b-it,m113,third,0,0,9
gemma-2-2b-it,man,first,10,0,9
gemma-2-2b-it,man,second,0,4,
gemma-2-2b-it,man,third,10,0,8
gemma-2-2b-it,mass_spring_damper,first,10,3,10
gemma-2-2b-it,mass_spring_damper,second,10,3,10
gemma-2-2b-it,mass_spring_damper,third,0,3,10
gemma-2-2b-it,particles,first,0,0,9
gemma-2-2b-it,particles,second,0,2,
gemma-2-2b-it,particles,third,10,,
gemma-2-2b-it,pendulum,first,0,0,10
gemma-2-2b-it,pendulum,second,10,0,
gemma-2-2b-it,pendulum,third,0,2,10
gemma-2-2b-it,rigid_highway,first,0,2,9
gemma-2-2b-it,rigid_highway,second,10,2,
gemma-2-2b-it,rigid_highway,third,0,,8
gemma-2-2b-it,rigid_multipatches,first,0,4,8
gemma-2-2b-it,rigid_multipatches,second,0,,
gemma-2-2b-it,rigid_multipatches,third,0,4,
gemma-2-2b-it,rotor,first,0,2,10
gemma-2-2b-it,rotor,second,0,2,9
gemma-2-2b-it,rotor,third,0,0,8
gemma-2-2b-it,scm,first,10,3,9
gemma-2-2b-it,scm,second,10,8,
gemma-2-2b-it,scm,third,10,2,9
gemma-2-2b-it,scm_hill,first,0,30,
gemma-2-2b-it,scm_hill,second,10,0,8
gemma-2-2b-it,scm_hill,third,0,5,9
gemma-2-2b-it,sedan,first,10,0,10
gemma-2-2b-it,sedan,second,10,1,9
gemma-2-2b-it,sedan,third,0,,
gemma-2-2b-it,sensros,first,0,0,10
gemma-2-2b-it,sensros,second,10,1,8
gemma-2-2b-it,sensros,third,10,0,
gemma-2-2b-it,slider_crank,first,0,25,7
gemma-2-2b-it,slider_crank,second,0,0,10
gemma-2-2b-it,slider_crank,third,0,0,9
gemma-2-2b-it,tablecloth,first,0,6,10
gemma-2-2b-it,tablecloth,second,0,,9
gemma-2-2b-it,tablecloth,third,10,4,10
gemma-2-2b-it,turtlebot,first,10,0,
gemma-2-2b-it,turtlebot,second,0,1,9
gemma-2-2b-it,turtlebot,third,0,4,9
gemma-2-2b-it,uazbus,first,10,2,
gemma-2-2b-it,uazbus,second,0,,9
gemma-2-2b-it,uazbus,third,0,0,
gemma-2-2b-it,vehros,first,0,0,10
gemma-2-2b-it,vehros,second,0,8,9
gemma-2-2b-it,vehros,third,0,40,10
gemma-2-2b-it,veh_app,first,5,0,9
gemma-2-2b-it,veh_app,second,0,2,
gemma-2-2b-it,veh_app,third,0,3,10
gemma-2-2b-it,viper,first,0,1,
gemma-2-2b-it,viper,second,0,3,
gemma-2-2b-it,viper,third,0,75,9
gemma-3-1b-it,art,first,0,5,9
gemma-3-1b-it,art,second,0,10,10
gemma-3-1b-it,art,third,0,5,9
gemma-3-1b-it,beam,first,10,,10
gemma-3-1b-it,beam,second,10,1,10
gemma-3-1b-it,beam,third,0,,10
gemma-3-1b-it,buckling,first,0,,9
gemma-3-1b-it,buckling,second,0,0,9
gemma-3-1b-it,buckling,third,10,2,
gemma-3-1b-it,cable,first,0,2,9
gemma-3-1b-it,cable,second,0,10,9
gemma-3-1b-it,cable,third,10,4,
gemma-3-1b-it,camera,first,0,,8
gemma-3-1b-it,camera,second,0,4,
gemma-3-1b-it,camera,third,20,82,7
gemma-3-1b-it,citybus,first,0,1,10
gemma-3-1b-it,citybus,second,10,0,
gemma-3-1b-it,citybus,third,5,2,8
gemma-3-1b-it,curiosity,first,0,,
gemma-3-1b-it,curiosity,second,10,,10
gemma-3-1b-it,curiosity,third,0,15,10
gemma-3-1b-it,feda,first,10,,9
gemma-3-1b-it,feda,second,0,2,
gemma-3-1b-it,feda,third,0,3,10
gemma-3-1b-it,gator,first,0,0,8
gemma-3-1b-it,gator,second,0,40,
gemma-3-1b-it,gator,third,10,6,9
gemma-3-1b-it,gear,first,0,40,
gemma-3-1b-it,gear,second,10,2,
gemma-3-1b-it,gear,third,0,0,8
gemma-3-1b-it,gps_imu,first,10,2,10
gemma-3-1b-it,gps_imu,second,0,4,9
gemma-3-1b-it,gps_imu,third,10,5,
gemma-3-1b-it,handler,first,0,0,9
gemma-3-1b-it,handler,second,10,,10
gemma-3-1b-it,handler,third,10,5,9
gemma-3-1b-it,hmmwv,first,0,3,9
gemma-3-1b-it,hmmwv,second,0,3,3
gemma-3-1b-it,hmmwv,third,0,1,9
gemma-3-1b-it,kraz,first,10,0,10
gemma-3-1b-it,kraz,second,10,4,10
gemma-3-1b-it,kraz,third,10,45,8
gemma-3-1b-it,lidar,first,10,2,6
gemma-3-1b-it,lidar,second,0,,5
gemma-3-1b-it,lidar,third,10,2,6
gemma-3-1b-it,m113,first,0,,10
gemma-3-1b-it,m113,second,0,8,
gemma-3-1b-it,m113,third,0,1,10
gemma-3-1b-it,man,first,0,0,9
gemma-3-1b-it,man,second,10,5,
gemma-3-1b-it,man,third,10,,
gemma-3-1b-it,mass_spring_damper,first,0,2,10
gemma-3-1b-it,mass_spring_damper,second,10,2,10
gemma-3-1b-it,mass_spring_damper,third,5,4,9
gemma-3-1b-it,particles,first,10,,9
gemma-3-1b-it,particles,second,0,2,9
gemma-3-1b-it,particles,third,0,,
gemma-3-1b-it,pendulum,first,0,10,10
gemma-3-1b-it,pendulum,second,0,22,18
gemma-3-1b-it,pendulum,third,10,0,10
gemma-3-1b-it,rigid_highway,first,0,,7
gemma-3-1b-it,rigid_highway,second,0,2,
gemma-3-1b-it,rigid_highway,third,10,7,
gemma-3-1b-it,rigid_multipatches,first,0,3,8
gemma-3-1b-it,rigid_multipatches,second,10,3,8
gemma-3-1b-it,rigid_multipatches,third,0,4,8
gemma-3-1b-it,rotor,first,0,10,10
gemma-3-1b-it,rotor,second,0,4,
gemma-3-1b-it,rotor,third,20,2,10
gemma-3-1b-it,scm,first,10,30,9
gemma-3-1b-it,scm,second,0,,10
gemma-3-1b-it,scm,third,0,0,
gemma-3-1b-it,scm_hill,first,10,3,9
gemma-3-1b-it,scm_hill,second,10,3,
gemma-3-1b-it,scm_hill,third,10,4,
gemma-3-1b-it,sedan,first,0,6,9
gemma-3-1b-it,sedan,second,10,1,
gemma-3-1b-it,sedan,third,10,60,9
gemma-3-1b-it,sensros,first,0,0,9
gemma-3-1b-it,sensros,second,0,1,8
gemma-3-1b-it,sensros,third,0,2,9
gemma-3-1b-it,slider_crank,first,10,2,8
gemma-3-1b-it,slider_crank,second,10,,10
gemma-3-1b-it,slider_crank,third,0,0,9
gemma-3-1b-it,tablecloth,first,0,,10
gemma-3-1b-it,tablecloth,second,0,0,
gemma-3-1b-it,tablecloth,third,0,2,
gemma-3-1b-it,turtlebot,first,0,0,9
gemma-3-1b-it,turtlebot,second,0,0,
gemma-3-1b-it,turtlebot,third,0,2,9
gemma-3-1b-it,uazbus,first,10,45,9
gemma-3-1b-it,uazbus,second,0,2,9
gemma-3-1b-it,uazbus,third,0,0,
gemma-3-1b-it,vehros,first,0,,10
gemma-3-1b-it,vehros,second,0,0,
gemma-3-1b-it,vehros,third,0,,9
gemma-3-1b-it,veh_app,first,10,3,9
gemma-3-1b-it,veh_app,second,0,1,9
gemma-3-1b-it,veh_app,third,0,,9
gemma-3-1b-it,viper,first,0,0,9
gemma-3-1b-it,viper,second,0,2,9
gemma-3-1b-it,viper,third,10,0,10
gpt-4.1-mini,art,first,70,4,6
gpt-4.1-mini,art,second,85,5,
gpt-4.1-mini,art,third,85,0,8
gpt-4.1-mini,beam,first,90,,7
gpt-4.1-mini,beam,second,85,65,
gpt-4.1-mini,beam,third,85,5,8
gpt-4.1-nano,art,first,75,3,4
gpt-4.1-nano,art,second,85,,9
