Model,System,Round,Status
gpt-4.1-mini,m113,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\m113\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\m113\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,m113,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\m113\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\m113\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,m113,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\m113\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\m113\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,kraz,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\kraz\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\kraz\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,kraz,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\kraz\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\kraz\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,kraz,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\kraz\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\kraz\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,lidar,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\lidar\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\lidar\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,lidar,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\lidar\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\lidar\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,lidar,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\lidar\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\lidar\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,handler,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\handler\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\handler\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,handler,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\handler\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\handler\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,handler,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\handler\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\handler\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,gear,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gear\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gear\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,gear,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gear\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gear\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,gear,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gear\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gear\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,mass_spring_damper,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\mass_spring_damper\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\mass_spring_damper\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,mass_spring_damper,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\mass_spring_damper\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\mass_spring_damper\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,mass_spring_damper,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\mass_spring_damper\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\mass_spring_damper\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,pendulum,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\pendulum\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\pendulum\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,pendulum,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\pendulum\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\pendulum\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,pendulum,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\pendulum\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\pendulum\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,rigid_multipatches,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_multipatches\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_multipatches\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,rigid_multipatches,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_multipatches\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_multipatches\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,rigid_multipatches,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_multipatches\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_multipatches\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,particles,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\particles\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\particles\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,particles,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\particles\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\particles\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,particles,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\particles\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\particles\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,scm,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,scm,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,scm,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\scm\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,man,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\man\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\man\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,man,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\man\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\man\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,man,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\man\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\man\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,rotor,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rotor\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rotor\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,rotor,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rotor\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rotor\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,rotor,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rotor\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rotor\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,rigid_highway,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_highway\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_highway\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,rigid_highway,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_highway\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_highway\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,rigid_highway,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_highway\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\rigid_highway\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,sensros,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sensros\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sensros\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,sensros,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sensros\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sensros\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,sensros,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sensros\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\sensros\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
