model,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document_norm,score_reference_norm,score_reference_document_norm,avg_rank
pe_llama-3.1-8b-instruct,0.6003,0.5165,0.5336,0.8279,0.5136,0.7183,0.6260,0.6483,0.7177,0.3723,0.3319,0.3906,26.3333
codestral-22b-instruct-v0.1,0.6080,0.5187,0.5388,0.8364,0.5283,0.6996,0.6093,0.6454,0.6990,0.3970,0.3243,0.3786,26.8333
nemotron-4-340b-instruct,0.5979,0.4913,0.5250,0.8412,0.5244,0.7194,0.6129,0.6448,0.7187,0.3987,0.3040,0.3509,29.2500
mixtral-8x22b-instruct-v0.1,0.5887,0.5195,0.5424,0.7953,0.4877,0.6677,0.6008,0.6245,0.6673,0.3686,0.3378,0.3888,30.8333
llama-3.1-70b-instruct,0.5400,0.5138,0.5320,0.6735,0.3327,0.7101,0.6085,0.6445,0.7096,0.3944,0.3333,0.3969,31.9167
o3,0.4837,0.3271,0.3561,0.8225,0.4194,0.7100,0.5455,0.5873,0.7085,0.6661,0.3684,0.4632,32.8333
gpt-4.1-nano,0.5828,0.4721,0.5055,0.8360,0.5079,0.7095,0.5933,0.6295,0.7084,0.3875,0.3070,0.3937,33.0833
o4-mini,0.4854,0.3234,0.3442,0.8152,0.4492,0.7136,0.5514,0.6047,0.7114,0.5426,0.3461,0.4205,33.1667
gemma-2-27b-it,0.5902,0.5003,0.5193,0.8337,0.4978,0.7106,0.6080,0.6379,0.7097,0.3655,0.2926,0.3738,33.3333
deepseek-r1-32b,0.5861,0.4857,0.5071,0.8308,0.5110,0.6964,0.5840,0.6224,0.6956,0.3357,0.3301,0.3861,34.5833
pe_deepseek-r1-8b,0.5816,0.4781,0.5060,0.8331,0.4896,0.7125,0.6010,0.6246,0.7112,0.3466,0.3062,0.3691,35.4167
Gemini-2.5-pro,0.5281,0.3738,0.4434,0.8235,0.4619,0.6697,0.5373,0.5677,0.6681,0.6199,0.3084,0.4146,36.1667
llama-3.1-8b-instruct,0.5710,0.4903,0.5244,0.7619,0.4584,0.6567,0.5720,0.5988,0.6559,0.3451,0.3112,0.3763,38.1667
gemma-2-9b-it,0.5755,0.4895,0.5109,0.8198,0.4719,0.6889,0.5911,0.6267,0.6884,0.3044,0.2939,0.3346,38.5000
deepseek-r1-8b,0.5675,0.4661,0.4876,0.7932,0.4935,0.6514,0.5595,0.5880,0.6503,0.2668,0.2627,0.3403,41.6667
mixtral-8x7b-instruct-v0.1,0.5075,0.4157,0.4591,0.7312,0.4142,0.6254,0.5362,0.5720,0.6245,0.3074,0.3443,0.3772,42.0833
mistral-nemo-12b-instruct,0.5515,0.4437,0.4694,0.7888,0.4552,0.6489,0.5525,0.5842,0.6483,0.3181,0.2975,0.3642,42.5000
pe_llama4_scout,0.2500,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0001,0.4825,0.3407,0.3901,43.0000
gemma-2-2b-it,0.5421,0.4593,0.4846,0.7860,0.4285,0.6416,0.5563,0.5955,0.6407,0.2437,0.2745,0.3107,44.0833
gemma-3-1b-it,0.5399,0.4643,0.4896,0.7790,0.3875,0.6439,0.5638,0.6029,0.6432,0.2825,0.2562,0.2755,44.0833
mamba-codestral-7b-v0.1,0.4735,0.3863,0.4125,0.7229,0.3623,0.5680,0.4921,0.5196,0.5674,0.2794,0.2942,0.3183,47.4167
phi-3-mini-128k-instruct,0.5017,0.3858,0.4482,0.7607,0.4022,0.5829,0.5006,0.5342,0.5822,0.2381,0.2464,0.2776,47.5000
phi-3-medium-128k-instruct,0.3757,0.2407,0.2640,0.5523,0.2593,0.3973,0.3123,0.3505,0.3965,0.1971,0.1999,0.2201,50.2500
