Test Model,System,Round,Score Document,Score Reference,Score Reference Document,Document Judge Count,Reference Judge Count,Reference Document Judge Count
sft-task-32b-3156659,pendulum,first,60.0,27.0,12.0,1,1,1
sft-task-32b-3156659,pendulum,second,14.0,42.0,27.0,1,1,1
sft-task-32b-3156659,pendulum,third,49.0,45.0,45.0,1,1,1
sft-task-32b-3156659,rigid_highway,first,39.0,0.0,27.0,1,1,1
sft-task-32b-3156659,rigid_highway,second,34.0,74.0,62.0,1,1,1
sft-task-32b-3156659,rigid_highway,third,82.0,82.0,78.0,1,1,1
sft-task-32b-3156659,rigid_multipatches,first,84.0,17.0,7.0,1,1,1
sft-task-32b-3156659,rigid_multipatches,second,69.0,32.0,37.0,1,1,1
sft-task-32b-3156659,rigid_multipatches,third,67.0,63.0,77.0,1,1,1
sft-task-32b-3156659,rotor,first,39.0,27.0,27.0,1,1,1
sft-task-32b-3156659,rotor,second,59.0,68.0,68.0,1,1,1
sft-task-32b-3156659,rotor,third,59.0,44.0,59.0,1,1,1
sft-task-32b-3156659,scm,first,35.0,7.0,27.0,1,1,1
sft-task-32b-3156659,scm,second,54.0,12.0,24.0,1,1,1
sft-task-32b-3156659,scm,third,86.0,7.0,37.0,1,1,1
sft-task-32b-3156659,scm_hill,first,88.0,0.0,32.0,1,1,1
sft-task-32b-3156659,scm_hill,second,12.0,24.0,7.0,1,1,1
sft-task-32b-3156659,scm_hill,third,49.0,0.0,37.0,1,1,1
sft-task-32b-3156659,sedan,first,62.0,27.0,7.0,1,1,1
sft-task-32b-3156659,sedan,second,14.0,12.0,32.0,1,1,1
sft-task-32b-3156659,sedan,third,7.0,12.0,12.0,1,1,1
sft-task-32b-3156659,sensros,first,35.0,12.0,25.0,1,1,1
sft-task-32b-3156659,sensros,second,27.0,62.0,24.0,1,1,1
sft-task-32b-3156659,sensros,third,92.0,42.0,24.0,1,1,1
sft-task-32b-3156659,slider_crank,first,64.0,39.0,47.0,1,1,1
sft-task-32b-3156659,slider_crank,second,55.0,64.0,62.0,1,1,1
sft-task-32b-3156659,slider_crank,third,22.0,39.0,57.0,1,1,1
sft-task-32b-3156659,tablecloth,first,84.0,40.0,20.0,1,1,1
sft-task-32b-3156659,tablecloth,second,9.0,54.0,64.0,1,1,1
sft-task-32b-3156659,tablecloth,third,52.0,62.0,59.0,1,1,1
sft-task-32b-3156659,turtlebot,first,42.0,0.0,22.0,1,1,1
sft-task-32b-3156659,turtlebot,second,79.0,66.0,70.0,1,1,1
sft-task-32b-3156659,turtlebot,third,79.0,14.0,39.0,1,1,1
sft-task-32b-3156659,uazbus,first,84.0,25.0,15.0,1,1,1
sft-task-32b-3156659,uazbus,second,27.0,37.0,32.0,1,1,1
sft-task-32b-3156659,uazbus,third,42.0,40.0,47.0,1,1,1
sft-task-32b-3156659,veh_app,first,64.0,0.0,27.0,1,1,1
sft-task-32b-3156659,veh_app,second,12.0,40.0,64.0,1,1,1
sft-task-32b-3156659,veh_app,third,32.0,37.0,49.0,1,1,1
sft-task-32b-3156659,vehros,first,32.0,27.0,15.0,1,1,1
sft-task-32b-3156659,vehros,second,91.0,42.0,57.0,1,1,1
sft-task-32b-3156659,vehros,third,47.0,30.0,30.0,1,1,1
sft-task-32b-3156659,viper,first,69.0,0.0,32.0,1,1,1
sft-task-32b-3156659,viper,second,84.0,77.0,87.0,1,1,1
sft-task-32b-3156659,viper,third,72.0,9.0,55.0,1,1,1
