Test Model,System,Round,Score Document,Score Reference,Score Reference Document,Document Judge Count,Reference Judge Count,Reference Document Judge Count
qwen3-32b-baseline,gear,first,14.0,2.0,37.0,1,1,1
qwen3-32b-baseline,gear,second,64.0,82.0,77.0,1,1,1
qwen3-32b-baseline,gear,third,47.0,35.0,62.0,1,1,1
qwen3-32b-baseline,gps_imu,first,55.0,2.0,32.0,1,1,1
qwen3-32b-baseline,gps_imu,second,12.0,37.0,32.0,1,1,1
qwen3-32b-baseline,gps_imu,third,12.0,80.0,74.0,1,1,1
qwen3-32b-baseline,handler,first,25.0,0.0,25.0,1,1,1
qwen3-32b-baseline,handler,second,57.0,70.0,55.0,1,1,1
qwen3-32b-baseline,handler,third,74.0,12.0,15.0,1,1,1
qwen3-32b-baseline,hmmwv,first,85.0,22.0,25.0,1,1,1
qwen3-32b-baseline,hmmwv,second,82.0,25.0,17.0,1,1,1
qwen3-32b-baseline,hmmwv,third,75.0,55.0,74.0,1,1,1
qwen3-32b-baseline,kraz,first,82.0,25.0,17.0,1,1,1
qwen3-32b-baseline,kraz,second,32.0,32.0,12.0,1,1,1
qwen3-32b-baseline,kraz,third,19.0,12.0,25.0,1,1,1
qwen3-32b-baseline,lidar,first,52.0,0.0,17.0,1,1,1
qwen3-32b-baseline,lidar,second,0.0,49.0,34.0,1,1,1
qwen3-32b-baseline,lidar,third,12.0,27.0,27.0,1,1,1
qwen3-32b-baseline,m113,first,27.0,0.0,15.0,1,1,1
qwen3-32b-baseline,m113,second,35.0,14.0,59.0,1,1,1
qwen3-32b-baseline,m113,third,57.0,12.0,34.0,1,1,1
qwen3-32b-baseline,man,first,82.0,0.0,27.0,1,1,1
qwen3-32b-baseline,man,second,22.0,52.0,47.0,1,1,1
qwen3-32b-baseline,man,third,29.0,29.0,32.0,1,1,1
qwen3-32b-baseline,mass_spring_damper,first,37.0,0.0,22.0,1,1,1
qwen3-32b-baseline,mass_spring_damper,second,69.0,63.0,64.0,1,1,1
qwen3-32b-baseline,mass_spring_damper,third,45.0,72.0,63.0,1,1,1
qwen3-32b-baseline,particles,first,62.0,32.0,32.0,1,1,1
qwen3-32b-baseline,particles,second,29.0,37.0,45.0,1,1,1
qwen3-32b-baseline,particles,third,70.0,52.0,63.0,1,1,1
qwen3-32b-baseline,pendulum,first,57.0,25.0,20.0,1,1,1
qwen3-32b-baseline,pendulum,second,12.0,39.0,68.0,1,1,1
qwen3-32b-baseline,pendulum,third,77.0,22.0,42.0,1,1,1
qwen3-32b-baseline,rigid_highway,first,85.0,27.0,32.0,1,1,1
qwen3-32b-baseline,rigid_highway,second,54.0,67.0,67.0,1,1,1
qwen3-32b-baseline,rigid_highway,third,34.0,85.0,82.0,1,1,1
qwen3-32b-baseline,rigid_multipatches,first,77.0,0.0,25.0,1,1,1
qwen3-32b-baseline,rigid_multipatches,second,32.0,12.0,34.0,1,1,1
qwen3-32b-baseline,rigid_multipatches,third,12.0,67.0,75.0,1,1,1
qwen3-32b-baseline,rotor,first,79.0,10.0,12.0,1,1,1
qwen3-32b-baseline,rotor,second,27.0,54.0,62.0,1,1,1
qwen3-32b-baseline,rotor,third,73.0,44.0,49.0,1,1,1
qwen3-32b-baseline,scm,first,64.0,22.0,27.0,1,1,1
qwen3-32b-baseline,scm,second,17.0,34.0,54.0,1,1,1
qwen3-32b-baseline,scm,third,59.0,12.0,35.0,1,1,1
qwen3-32b-baseline,scm_hill,first,80.0,25.0,27.0,1,1,1
qwen3-32b-baseline,scm_hill,second,52.0,35.0,37.0,1,1,1
qwen3-32b-baseline,scm_hill,third,12.0,12.0,54.0,1,1,1
qwen3-32b-baseline,sedan,first,59.0,27.0,25.0,1,1,1
qwen3-32b-baseline,sedan,second,88.0,14.0,37.0,1,1,1
qwen3-32b-baseline,sedan,third,12.0,12.0,52.0,1,1,1
qwen3-32b-baseline,sensros,first,42.0,5.0,25.0,1,1,1
qwen3-32b-baseline,sensros,second,27.0,27.0,32.0,1,1,1
qwen3-32b-baseline,sensros,third,22.0,78.0,75.0,1,1,1
qwen3-32b-baseline,slider_crank,first,39.0,37.0,22.0,1,1,1
qwen3-32b-baseline,slider_crank,second,82.0,62.0,64.0,1,1,1
qwen3-32b-baseline,slider_crank,third,69.0,68.0,62.0,1,1,1
qwen3-32b-baseline,tablecloth,first,24.0,20.0,32.0,1,1,1
qwen3-32b-baseline,tablecloth,second,90.0,54.0,42.0,1,1,1
qwen3-32b-baseline,tablecloth,third,69.0,39.0,17.0,1,1,1
qwen3-32b-baseline,turtlebot,first,72.0,7.0,15.0,1,1,1
qwen3-32b-baseline,turtlebot,second,50.0,67.0,77.0,1,1,1
qwen3-32b-baseline,turtlebot,third,24.0,32.0,37.0,1,1,1
qwen3-32b-baseline,uazbus,first,14.0,27.0,25.0,1,1,1
qwen3-32b-baseline,uazbus,second,67.0,12.0,32.0,1,1,1
qwen3-32b-baseline,uazbus,third,60.0,42.0,43.0,1,1,1
qwen3-32b-baseline,veh_app,first,34.0,22.0,0.0,1,1,1
qwen3-32b-baseline,veh_app,second,55.0,12.0,32.0,1,1,1
qwen3-32b-baseline,veh_app,third,35.0,25.0,39.0,1,1,1
qwen3-32b-baseline,vehros,first,2.0,0.0,10.0,1,1,1
qwen3-32b-baseline,vehros,second,17.0,40.0,35.0,1,1,1
qwen3-32b-baseline,vehros,third,74.0,37.0,44.0,1,1,1
qwen3-32b-baseline,viper,first,54.0,7.0,29.0,1,1,1
qwen3-32b-baseline,viper,second,50.0,69.0,75.0,1,1,1
qwen3-32b-baseline,viper,third,63.0,29.0,39.0,1,1,1
