Rank,model,ConsensusScore,System,Round,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
25,pe_llama4_scout,57.34,,,48.25,34.07,39.01,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,llama3.1-8b-f1,57.01,,,34.56,33.09,38.78,0.63,0.53,0.57,0.86,0.54,0.74,0.66,0.66,0.74
27,pe_llama4_maverick,56.79,,,43.54,31.74,38.64,,,,,,,,,
28,pe_deepseek-r1-8b,54.26,,,34.66,30.62,36.91,,,,,,,,,
29,phi-3-mini-128k-instruct,52.10,,,29.21,42.59,35.44,0.50,0.39,0.45,0.76,0.40,0.58,0.50,0.53,0.58
30,gemma-2-27b-it,51.98,,,43.17,31.75,35.36,0.59,0.50,0.52,0.83,0.50,0.71,0.61,0.64,0.71
31,gemma-2-9b-it,51.91,,,31.27,30.39,35.31,0.58,0.49,0.51,0.82,0.47,0.69,0.59,0.63,0.69
32,deepseek-r1-8b,49.96,,,37.51,50.38,33.99,0.57,0.47,0.49,0.79,0.49,0.65,0.56,0.59,0.65
33,mistral-nemo-12b-instruct,47.74,,,31.21,36.09,32.48,0.55,0.44,0.47,0.79,0.46,0.65,0.55,0.58,0.65
34,phi-3-medium-128k-instruct,40.21,,,23.86,31.20,27.35,0.37,0.24,0.26,0.55,0.26,0.39,0.31,0.35,0.39
35,gemma-2-2b-it,29.41,,,19.76,16.74,20.01,0.54,0.46,0.48,0.79,0.43,0.64,0.56,0.60,0.64
36,o4-mini,0.00,,,0.00,0.00,0.00,0.49,0.32,0.34,0.82,0.45,0.71,0.55,0.60,0.71
37,gemma-3-1b-it,0.00,,,0.00,0.00,0.00,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.60,0.64
38,gpt-4.1,0.00,,,0.00,0.00,0.00,0.60,0.49,0.52,0.86,0.53,0.77,0.65,0.67,0.77
39,claude-3-7-sonnet-20250219,0.00,,,0.00,0.00,0.00,0.63,0.50,0.53,0.87,0.59,0.76,0.64,0.67,0.76
40,mixtral-8x7b-instruct-v0.1,0.00,,,0.00,0.00,0.00,0.51,0.42,0.46,0.73,0.42,0.63,0.54,0.57,0.62
41,o3,0.00,,,0.00,0.00,0.00,0.48,0.33,0.36,0.82,0.42,0.71,0.55,0.59,0.71
42,claude-4-sonnet-20250514,0.00,,,0.00,0.00,0.00,0.66,0.54,0.59,0.89,0.60,0.78,0.68,0.69,0.78
43,mixtral-8x22b-instruct-v0.1,0.00,,,0.00,0.00,0.00,0.59,0.52,0.54,0.80,0.49,0.67,0.60,0.62,0.67
44,mistral-large-latest,0.00,,,0.00,0.00,0.00,0.60,0.50,0.52,0.84,0.53,0.74,0.63,0.67,0.74
45,mamba-codestral-7b-v0.1,0.00,,,0.00,0.00,0.00,0.47,0.39,0.41,0.72,0.36,0.57,0.49,0.52,0.57
46,gpt-4.1-mini,0.00,,,0.00,0.00,0.00,0.58,0.46,0.50,0.85,0.52,0.74,0.61,0.65,0.74
47,gpt-4.1-nano,0.00,,,0.00,0.00,0.00,0.58,0.47,0.51,0.84,0.51,0.71,0.59,0.63,0.71
48,claude-3-5-sonnet,0.00,,,0.00,0.00,0.00,0.59,0.48,0.50,0.85,0.53,0.76,0.64,0.67,0.76
49,gpt-4o,0.00,,,0.00,0.00,0.00,0.61,0.49,0.51,0.86,0.56,0.76,0.65,0.68,0.76
50,gpt-4o-mini,0.00,,,0.00,0.00,0.00,0.61,0.52,0.53,0.84,0.55,0.72,0.62,0.66,0.72
51,Gemini-2.5-pro,0.00,,,0.00,0.00,0.00,0.53,0.37,0.44,0.82,0.46,0.67,0.54,0.57,0.67
52,codestral-22b-instruct-v0.1,0.00,,,0.00,0.00,0.00,0.61,0.52,0.54,0.84,0.53,0.70,0.61,0.65,0.70
53,Gemini-1.5-pro,0.00,,,0.00,0.00,0.00,0.61,0.51,0.54,0.84,0.54,0.73,0.62,0.65,0.73
