model,system,round,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
qwen3-32b-baseline,gear,third,0.7685405176553558,0.7652752601707409,0.8017734411270876,0.9432835820895522,0.5638297872340425
qwen3-32b-baseline,gps_imu,first,0.24636779719279528,0.01625355372139131,0.022189192480501958,0.6995708154506438,0.24745762711864408
qwen3-32b-baseline,gps_imu,second,0.6939234357238608,0.7386750680902242,0.7420707938039256,0.9358974358974359,0.3590504451038576
qwen3-32b-baseline,gps_imu,third,0.7914495025900093,0.9140565959739264,0.9114779624349336,0.98014440433213,0.3601190476190476
qwen3-32b-baseline,handler,first,0.2793095829640726,0.07254674580426196,0.07726527039001971,0.6425855513307985,0.3248407643312102
qwen3-32b-baseline,handler,second,0.9797226194959814,0.9733831041780684,0.9748114031098863,0.9706959706959707,0
qwen3-32b-baseline,handler,third,0.6910941292426807,0.6123050174549217,0.6225451807117458,0.8734177215189873,0.6561085972850679
qwen3-32b-baseline,hmmwv,first,0.2625851370608683,0.024220195501827774,0.03523720409249597,0.6859504132231405,0.30493273542600896
qwen3-32b-baseline,hmmwv,second,0.5867182959215518,0.5795276627623526,0.5910249680194611,0.8559322033898306,0.32038834951456313
qwen3-32b-baseline,hmmwv,third,0.6534793385124835,0.657644115399906,0.7021916059969666,0.8785714285714286,0.37551020408163266
qwen3-32b-baseline,kraz,first,0.24254599463163068,0.023370244431497635,0.04180752700627638,0.6807909604519774,0.2242152466367713
qwen3-32b-baseline,kraz,second,0.7030807960980604,0.6100207861322795,0.6137336164165161,0.9035294117647059,0.6850393700787402
qwen3-32b-baseline,kraz,third,0.5528645151744425,0.47168347874284683,0.48005866469427766,0.9085923217550275,0.351123595505618
qwen3-32b-baseline,lidar,first,0.24711430586871502,0.02375443600635908,0.035522278055433475,0.6547619047619048,0.2744186046511628
qwen3-32b-baseline,lidar,second,0.7929558310096569,0.750286225795281,0.8967605976047768,0.9655172413793104,0.5592592592592592
qwen3-32b-baseline,lidar,third,0.6342835858833501,0.6394253425531685,0.6574817155611217,0.8386524822695035,0.4015748031496063
qwen3-32b-baseline,m113,first,0.2311722168438058,0.011124747114702866,0.015658695253267647,0.7023498694516971,0.19555555555555557
qwen3-32b-baseline,m113,second,0.7260292655165425,0.7706824434941117,0.7764131191021997,0.954177897574124,0.4028436018957346
qwen3-32b-baseline,m113,third,0.7446783455566218,0.8314206544069479,0.8455725497084543,0.9670588235294117,0.3346613545816733
qwen3-32b-baseline,man,first,0.21872180770776203,0.004583499443490678,0.006265880394957129,0.6308539944903582,0.23318385650224216
qwen3-32b-baseline,man,second,0.9055987979788845,0.848046062492384,0.8516939177276918,0.9619565217391305,0.9606986899563319
qwen3-32b-baseline,man,third,0.5882576852902397,0.5671689894080099,0.5820433822999045,0.8984962406015038,0.30532212885154064
qwen3-32b-baseline,mass_spring_damper,first,0.2851616044183267,0.026526168481353782,0.029133476705180704,0.7546296296296297,0.33035714285714285
qwen3-32b-baseline,mass_spring_damper,second,0.7647173545850675,0.7481086150072688,0.7570702742089462,0.9190751445086706,0.6346153846153846
qwen3-32b-baseline,mass_spring_damper,third,0.908349121255826,0.8836425677824556,0.8844978850135964,0.9974874371859297,0.8677685950413223
qwen3-32b-baseline,particles,first,0.3066027176269991,0.031832329444073576,0.06017324794190403,0.7164948453608248,0.417910447761194
qwen3-32b-baseline,particles,second,0.7617884708104299,0.8074107947456692,0.8130983457426229,0.9410480349344978,0.48559670781893005
qwen3-32b-baseline,particles,third,0.9110393964500837,0.8685805942611398,0.8697466935155884,0.983271375464684,0.9225589225589226
qwen3-32b-baseline,pendulum,first,0.2730476826225011,0.038424845889492416,0.04390420427264324,0.6270491803278688,0.3828125
qwen3-32b-baseline,pendulum,second,0.7617983625172929,0.6964333127050286,0.7319430978299719,0.9880478087649402,0.6307692307692307
qwen3-32b-baseline,pendulum,third,0.768253609859169,0.6506542472556437,0.6570048777416732,0.9312320916905444,0.8341232227488151
qwen3-32b-baseline,rigid_highway,first,0.2699274120736047,0.0371217780507398,0.04457411928875154,0.7038961038961039,0.29411764705882354
qwen3-32b-baseline,rigid_highway,second,0.8975429066728886,0.8782144292975294,0.9550800736104263,0.9808153477218226,0.7760617760617761
qwen3-32b-baseline,rigid_highway,third,0.9606968259781633,0.947814142558987,0.949563325288093,0.97,0.9754098360655737
qwen3-32b-baseline,rigid_multipatches,first,0.3315449867923046,0.07336223028614502,0.08003397888194415,0.7142857142857143,0.45849802371541504
qwen3-32b-baseline,rigid_multipatches,second,0.7914749846428926,0.7749191143743435,0.7825949554861921,0.9667673716012085,0.6416184971098265
qwen3-32b-baseline,rigid_multipatches,third,0.9259430344401678,0.850105714556195,0.853666423204476,1.0,1.0
qwen3-32b-baseline,rotor,first,0.2592075586940926,0.062676180877787,0.06731178482721216,0.6361655773420479,0.2706766917293233
qwen3-32b-baseline,rotor,second,0.8999464287788234,0.9153418820759037,0.9321791844899117,0.9891067538126361,0.7631578947368421
qwen3-32b-baseline,rotor,third,0.7839505207309692,0.6993178517991789,0.704864333766065,0.8861940298507462,0.8454258675078864
qwen3-32b-baseline,scm,first,0.22356464896586373,0.009736951423934723,0.01405143545775059,0.6445086705202312,0.22596153846153846
qwen3-32b-baseline,scm,second,0.6030070014451546,0.5870609711957075,0.590591937211652,0.9478079331941545,0.2865671641791045
qwen3-32b-baseline,scm,third,0.7296451912579145,0.6702523987274458,0.67594107211293,0.8821218074656189,0.6902654867256637
qwen3-32b-baseline,scm_hill,first,0.25780456933071805,0.04194377212027746,0.049954275561049984,0.7186629526462396,0.22065727699530516
qwen3-32b-baseline,scm_hill,second,0.7084615491716906,0.6560455312939968,0.6749436500809494,0.9122137404580153,0.5906432748538012
qwen3-32b-baseline,scm_hill,third,0.8213740918370014,0.8396803921022389,0.8448299720973904,0.9445983379501385,0.6563876651982379
qwen3-32b-baseline,sedan,first,0.24889474237458192,0.024076022150573556,0.03531164215891529,0.6530054644808743,0.2831858407079646
qwen3-32b-baseline,sedan,second,0.607811248575051,0.5445034784899754,0.5594237521867322,0.9384288747346072,0.3888888888888889
qwen3-32b-baseline,sedan,third,0.6144054075019507,0.560918904856473,0.5954241509552816,0.8943820224719101,0.4068965517241379
qwen3-32b-baseline,sensros,first,0.24993107851579935,0.051991095220073086,0.060465506880290384,0.6402439024390244,0.24702380952380953
qwen3-32b-baseline,sensros,second,0.7917147640562676,0.8462632407082625,0.8497417229901176,0.9608540925266904,0.51
qwen3-32b-baseline,sensros,third,0.9862286050756672,0.9828462679687724,0.983082387209341,0.9839857651245552,0.995
qwen3-32b-baseline,slider_crank,first,0.35400702941136164,0.04109905617559146,0.049681159105248084,0.6884057971014492,0.6368421052631579
qwen3-32b-baseline,slider_crank,second,0.6889591348736834,0.5916562210947187,0.8133214997992612,0.8831168831168831,0.46774193548387094
qwen3-32b-baseline,slider_crank,third,0.9001962276582041,0.8949953907463527,0.9010086433924396,1.0,0.8047808764940239
qwen3-32b-baseline,tablecloth,first,0.28586735677213804,0.05521938748955439,0.06429455346077051,0.7893401015228426,0.23461538461538461
qwen3-32b-baseline,tablecloth,second,0.6834111456298965,0.6543779001665472,0.726044147510403,0.8661257606490872,0.4870967741935484
qwen3-32b-baseline,tablecloth,third,0.9457409436836414,0.9816727868410342,0.9821849239325025,0.998019801980198,0.8210862619808307
qwen3-32b-baseline,turtlebot,first,0.3305094446635498,0.12371881638039547,0.12659668387811795,0.6608695652173913,0.4108527131782946
qwen3-32b-baseline,turtlebot,second,0.8133174823960876,0.6567058026319362,0.7755160482782195,0.9065743944636678,0.9144736842105263
qwen3-32b-baseline,turtlebot,third,0.5145731078874036,0.47114236392619757,0.4838043104941807,0.7975903614457831,0.3057553956834532
qwen3-32b-baseline,uazbus,first,0.25771176251235683,0.03193424454564496,0.037369117502695365,0.696969696969697,0.2645739910313901
qwen3-32b-baseline,uazbus,second,0.7647246277296097,0.7095485088388588,0.7068375741975812,0.9377880184331797,0.7047244094488189
qwen3-32b-baseline,uazbus,third,0.7866831802647853,0.9148531558220202,0.9162010094297335,0.9702970297029703,0.3453815261044177
qwen3-32b-baseline,veh_app,first,0.2100422453676784,0.004476652339428688,0.006074998327995872,0.6078431372549019,0.2217741935483871
qwen3-32b-baseline,veh_app,second,0.8350073719957053,0.7963034973689673,0.8287774052537547,0.9359430604982206,0.7790055248618785
qwen3-32b-baseline,veh_app,third,0.8540780251879279,0.8377515317665681,0.8410511916408074,0.967741935483871,0.7697674418604651
qwen3-32b-baseline,vehros,first,0.29805837603060714,0.03765762724236135,0.041319763623953946,0.6846846846846847,0.42857142857142855
qwen3-32b-baseline,vehros,second,0.6285940131682033,0.5701544054852326,0.5861800091184887,0.9059139784946236,0.4521276595744681
qwen3-32b-baseline,vehros,third,0.7381986799747144,0.7223067590561777,0.7432052904614185,0.9195171026156942,0.5677655677655677
qwen3-32b-baseline,viper,first,0.30360558905404567,0.10512386543759017,0.1226560726172981,0.680672268907563,0.30597014925373134
qwen3-32b-baseline,viper,second,0.9517577537993187,0.9487686075027723,0.9487686075027723,0.9907120743034056,0.9187817258883249
qwen3-32b-baseline,viper,third,0.7532313186844907,0.7399002173024941,0.7560087404191516,0.9272727272727272,0.5897435897435898
sft-task-32b-3156659,art,first,0.2690202214093892,0.06134265375314946,0.08245864265531272,0.6844919786096256,0.24778761061946902
sft-task-32b-3156659,art,second,1.0,1.0,1.0,1.0,1.0
sft-task-32b-3156659,art,third,0.932449122006377,0.912961185855352,0.9142750825875521,0.9866310160427807,0.915929203539823
sft-task-32b-3156659,beam,first,0.3164416655216799,0.06815719476557677,0.07495492233618731,0.7956403269754768,0.32701421800947866
sft-task-32b-3156659,beam,second,0.5721290177125894,0.4805999576279485,0.5094083388210224,0.8564476885644768,0.44206008583690987
sft-task-32b-3156659,beam,third,0.9245281619016226,0.8418563455282454,0.8656020964707681,0.9906542056074766,1.0
sft-task-32b-3156659,buckling,first,0.24866423344683183,0.03836764025951076,0.053985489665828446,0.6591276252019386,0.24317617866004962
sft-task-32b-3156659,buckling,second,0.9832885128783665,0.9662169187689421,0.9669371327445238,1.0,1.0
sft-task-32b-3156659,buckling,third,0.6198842947057417,0.39162007216505496,0.3987762928102349,0.9596122778675282,0.7295285359801489
sft-task-32b-3156659,cable,first,0.34346879292285243,0.059417482225766635,0.0872284903083473,0.7921146953405018,0.4351145038167939
sft-task-32b-3156659,cable,second,0.9626979741708437,0.923728110110296,0.9270637865730789,1.0,1.0
sft-task-32b-3156659,cable,third,0.4812431485099435,0.3524005787160816,0.37461686453754245,0.7610619469026548,0.4368932038834951
sft-task-32b-3156659,camera,first,0.22788168555231175,0.032574095581068295,0.054185096953565805,0.5571095571095571,0.26765799256505574
sft-task-32b-3156659,camera,second,0.8422748429650129,0.9674084634878554,0.9680901953597182,0.9924242424242424,0.4411764705882353
sft-task-32b-3156659,camera,third,0.8200706886893571,0.9444854742244251,0.9455638174979839,0.97,0.42023346303501946
sft-task-32b-3156659,citybus,first,0.2514551503555938,0.03793654887395849,0.05889425613659802,0.6612021857923497,0.24778761061946902
sft-task-32b-3156659,citybus,second,0.8928981996060231,0.8490388547775441,0.856002975433176,0.967391304347826,0.8991596638655462
sft-task-32b-3156659,citybus,third,0.9589655300538604,0.9240118696309082,0.9255114527703261,0.9863387978142076,1.0
sft-task-32b-3156659,curiosity,first,0.37357768946309483,0.09296965941134129,0.1370771611588081,0.7276785714285714,0.5365853658536586
sft-task-32b-3156659,curiosity,second,0.8932318655320508,0.8653524511841426,0.883049265686608,0.9634146341463414,0.8611111111111112
sft-task-32b-3156659,curiosity,third,0.6104675824959831,0.6019407804923372,0.6296278305349902,0.9124293785310734,0.2978723404255319
sft-task-32b-3156659,feda,first,0.2643141859359677,0.07047134700044123,0.09487814649944887,0.6721763085399449,0.21973094170403587
sft-task-32b-3156659,feda,second,0.81774285093087,0.7291882655143788,0.7656922700129696,0.9342105263157895,0.8418803418803419
sft-task-32b-3156659,feda,third,0.6131452317268904,0.6280167521398865,0.6410253161499521,0.9090909090909091,0.2744479495268139
sft-task-32b-3156659,gator,first,0.24220370327657223,0.02814024198320393,0.04466597311693297,0.6942148760330579,0.20179372197309417
sft-task-32b-3156659,gator,second,0.690873537993639,0.4130693910301432,0.6872387296379247,0.9279835390946503,0.735202492211838
sft-task-32b-3156659,gator,third,0.945920271808341,0.9159935099495171,0.9173361214289262,0.9862258953168044,0.9641255605381166
sft-task-32b-3156659,gear,first,0.22620205897352738,0.022997825294277557,0.027001709946944855,0.6213592233009708,0.23344947735191637
sft-task-32b-3156659,gear,second,0.9914302784520397,0.9779485965801173,0.9877725172280413,1.0,1.0
sft-task-32b-3156659,gear,third,0.7735259668339961,0.7129543074002289,0.788929807633437,0.9432835820895522,0.648936170212766
sft-task-32b-3156659,gps_imu,first,0.28682047929468235,0.05183477677855784,0.06684453619561773,0.7167381974248928,0.31186440677966104
sft-task-32b-3156659,gps_imu,second,0.8091033882619584,0.8350672574562171,0.8299231588865806,0.9542124542124543,0.6172106824925816
sft-task-32b-3156659,gps_imu,third,0.7841175100763407,0.8867142070278311,0.9076873271747293,0.9819494584837545,0.3601190476190476
sft-task-32b-3156659,handler,first,0.26686891758086084,0.028212615298887574,0.02962415066283059,0.6083650190114068,0.4012738853503185
sft-task-32b-3156659,handler,second,0.9612517820643818,0.9467503063204262,0.9495388732191519,0.9487179487179487,0
sft-task-32b-3156659,handler,third,0.6802536084264433,0.6111804811615364,0.6208139628541058,0.8329113924050633,0.6561085972850679
sft-task-32b-3156659,hmmwv,first,0.22522783859027062,0.012215475183524296,0.01774009220057255,0.6198347107438017,0.25112107623318386
sft-task-32b-3156659,hmmwv,second,0.5617910233172807,0.5475910080711085,0.5608533221570403,0.847457627118644,0.2912621359223301
sft-task-32b-3156659,hmmwv,third,0.6498073615156335,0.6355662124536005,0.6915543900715186,0.8476190476190476,0.42448979591836733
sft-task-32b-3156659,kraz,first,0.26679606009056445,0.07023029379060201,0.09011094791441375,0.7005649717514124,0.2062780269058296
sft-task-32b-3156659,kraz,second,0.7066729275604937,0.5977403430806283,0.6042732754522221,0.9317647058823529,0.6929133858267716
sft-task-32b-3156659,kraz,third,0.5250890360961258,0.4300317100732039,0.44025952458921963,0.8957952468007313,0.3342696629213483
sft-task-32b-3156659,lidar,first,0.2831616372167433,0.053285474854323604,0.074460741786736,0.6607142857142857,0.34418604651162793
sft-task-32b-3156659,lidar,second,0.7852784725401023,0.7137378416772536,0.874021102024761,0.9681697612732095,0.5851851851851851
sft-task-32b-3156659,lidar,third,0.6895214033446638,0.6386899241377717,0.6809079470171724,0.8794326241134752,0.5590551181102362
sft-task-32b-3156659,m113,first,0.28148247931404025,0.07506473070152526,0.09546048681573217,0.7154046997389034,0.24
sft-task-32b-3156659,m113,second,0.7460217555638575,0.6658186781716664,0.6767972335971835,0.9353099730458221,0.7061611374407583
sft-task-32b-3156659,m113,third,0.7428561793172294,0.831576802154097,0.8459083791410681,0.9552941176470588,0.3386454183266932
sft-task-32b-3156659,man,first,0.2990886642600652,0.08269842879321726,0.10009213233480245,0.7355371900826446,0.27802690582959644
sft-task-32b-3156659,man,second,0.7355363522566116,0.8204309210439852,0.8273937171451724,0.9755434782608695,0.31877729257641924
sft-task-32b-3156659,man,third,0.5890450349346954,0.5779747155729773,0.594916319050074,0.900375939849624,0.28291316526610644
sft-task-32b-3156659,mass_spring_damper,first,0.38996326993420527,0.126835703881616,0.14399621183404115,0.8425925925925926,0.44642857142857145
sft-task-32b-3156659,mass_spring_damper,second,0.7871399365638199,0.7720862426854173,0.8064145884964962,0.930635838150289,0.6394230769230769
sft-task-32b-3156659,mass_spring_damper,third,0.9434978079388407,0.8875532116050896,0.8889505829643435,0.9974874371859297,1.0
sft-task-32b-3156659,particles,first,0.3298027738448805,0.07433330470372078,0.09644469840519544,0.6907216494845361,0.4577114427860697
sft-task-32b-3156659,particles,second,0.8376757628741855,0.8449552611584519,0.8481472009084918,0.9497816593886463,0.7078189300411523
sft-task-32b-3156659,particles,third,0.9136625530276102,0.8740811078814085,0.8747388062054258,0.983271375464684,0.9225589225589226
sft-task-32b-3156659,pendulum,first,0.3267529690259691,0.06151651841923918,0.06580785768463732,0.75,0.4296875
sft-task-32b-3156659,pendulum,second,0.742878967060599,0.6344741630361039,0.7230361888103375,0.9601593625498008,0.6538461538461539
sft-task-32b-3156659,pendulum,third,0.83660643117751,0.8253136941357179,0.8511002161824915,0.9828080229226361,0.6872037914691943
sft-task-32b-3156659,rigid_highway,first,0.24597820253547395,0.024067874676782255,0.03906571468589278,0.7064935064935065,0.21428571428571427
sft-task-32b-3156659,rigid_highway,second,0.8428993227820953,0.8401353485231108,0.8768412376248531,0.9712230215827338,0.6833976833976834
sft-task-32b-3156659,rigid_highway,third,0.9594468259781633,0.947814142558987,0.949563325288093,0.965,0.9754098360655737
sft-task-32b-3156659,rigid_multipatches,first,0.3544538638680763,0.08480597616668646,0.09145650212851818,0.8225806451612904,0.4189723320158103
sft-task-32b-3156659,rigid_multipatches,second,0.7211386094933111,0.7444392656029736,0.7513824828499871,0.9667673716012085,0.42196531791907516
sft-task-32b-3156659,rigid_multipatches,third,0.788192600249659,0.8208747775923557,0.8243130510560917,0.9977011494252873,0.5098814229249012
sft-task-32b-3156659,rotor,first,0.2595010261576734,0.07233733105496266,0.08971054313033641,0.616557734204793,0.2593984962406015
sft-task-32b-3156659,rotor,second,0.9566476131197545,0.9383788310992505,0.9430218495646092,0.9978213507625272,0.9473684210526315
sft-task-32b-3156659,rotor,third,0.748732474816519,0.6463089031942232,0.652854952472813,0.878731343283582,0.8170347003154574
sft-task-32b-3156659,scm,first,0.30146278928310954,0.045889200086152965,0.05666604775326605,0.7138728323699421,0.3894230769230769
sft-task-32b-3156659,scm,second,0.5337968996208776,0.5377850402643943,0.5602231109876329,0.8162839248434238,0.2208955223880597
sft-task-32b-3156659,scm,third,0.5782344650336196,0.5467843776225436,0.5565922513397017,0.8762278978388998,0.3333333333333333
sft-task-32b-3156659,scm_hill,first,0.2780890504287664,0.0385885277518665,0.04787415126713435,0.7019498607242339,0.323943661971831
sft-task-32b-3156659,scm_hill,second,0.6793528737990373,0.5764346941239269,0.591458922406091,0.9179389312977099,0.631578947368421
sft-task-32b-3156659,scm_hill,third,0.8563006134790481,0.8816189385642257,0.88532878973663,0.9445983379501385,0.7136563876651982
sft-task-32b-3156659,sedan,first,0.3359131897693318,0.09564896945144287,0.10633833191516345,0.7213114754098361,0.42035398230088494
sft-task-32b-3156659,sedan,second,0.6644108469340761,0.5680289591189562,0.6740613708762054,0.9384288747346072,0.477124183006536
sft-task-32b-3156659,sedan,third,0.5910768416223044,0.5525168652945798,0.5623910436200544,0.9011235955056179,0.3482758620689655
sft-task-32b-3156659,sensros,first,0.284982316377297,0.038633927723416374,0.042642608401334776,0.7134146341463414,0.34523809523809523
sft-task-32b-3156659,sensros,second,0.9124067212315449,0.857241399938663,0.8601345953078012,0.9697508896797153,0.9625
sft-task-32b-3156659,sensros,third,0.8524576125356658,0.9467379001120847,0.9476655037672331,0.9804270462633452,0.535
sft-task-32b-3156659,slider_crank,first,0.3726556813073701,0.09501621775666964,0.09995433355976731,0.6956521739130435,0.6
sft-task-32b-3156659,slider_crank,second,0.8412950544949014,0.7042891743894316,0.8324452957895873,0.9090909090909091,0.9193548387096774
sft-task-32b-3156659,slider_crank,third,0.9051031786160835,0.904776434455481,0.9108554035148292,1.0,0.8047808764940239
sft-task-32b-3156659,tablecloth,first,0.25176900276020614,0.03758497001411739,0.04951837409972553,0.6776649746192893,0.2423076923076923
sft-task-32b-3156659,tablecloth,second,0.6474468342834079,0.5905946386039338,0.7174024740973222,0.8559837728194726,0.4258064516129032
sft-task-32b-3156659,tablecloth,third,0.9457409436836414,0.9816727868410342,0.9821849239325025,0.998019801980198,0.8210862619808307
sft-task-32b-3156659,turtlebot,first,0.2636397787132146,0.07415187660367309,0.07902537104325331,0.591304347826087,0.31007751937984496
sft-task-32b-3156659,turtlebot,second,0.8152582091058999,0.7510183145352222,0.7616763321233071,0.8996539792387543,0.8486842105263158
sft-task-32b-3156659,turtlebot,third,0.5045475545569549,0.4491824371435302,0.4715647716364261,0.8168674698795181,0.2805755395683453
sft-task-32b-3156659,uazbus,first,0.22559786421635492,0.011942206543819256,0.021284714626286092,0.6584022038567493,0.21076233183856502
sft-task-32b-3156659,uazbus,second,0.7458429131561425,0.6567494622693564,0.6611590022859803,0.9331797235023042,0.7322834645669292
sft-task-32b-3156659,uazbus,third,0.9003994930638866,0.8575621195864208,0.8636330533530493,0.9727722772277227,0.9076305220883534
sft-task-32b-3156659,veh_app,first,0.2652916139290583,0.02039837295066849,0.024164667205792544,0.6617647058823529,0.3548387096774194
sft-task-32b-3156659,veh_app,second,0.8890860194197865,0.8365457617976452,0.8609673845195537,0.9555160142348754,0.9033149171270718
sft-task-32b-3156659,veh_app,third,0.8758873190188126,0.8324893460897969,0.8359618697561102,0.9769585253456221,0.858139534883721
sft-task-32b-3156659,vehros,first,0.3991751556697962,0.12606937116496636,0.14204373542670226,0.8018018018018018,0.5267857142857143
sft-task-32b-3156659,vehros,second,0.7042161571278932,0.5726519599374261,0.5881842997798206,0.9166666666666666,0.7393617021276596
sft-task-32b-3156659,vehros,third,0.7653031607955767,0.7023789031089275,0.7676971771058302,0.9134808853118712,0.6776556776556777
sft-task-32b-3156659,viper,first,0.32373043372336424,0.1144903176391045,0.12800447632872855,0.7016806722689075,0.35074626865671643
sft-task-32b-3156659,viper,second,0.9760569085476247,0.969448135273496,0.969448135273496,0.9907120743034056,0.9746192893401016
sft-task-32b-3156659,viper,third,0.7561908229096359,0.7482577987887535,0.7605769769212741,0.9090909090909091,0.6068376068376068
sft-task-32b-lr2x-3156662,art,first,0.3147852806548722,0.10793840435958839,0.12387320238275314,0.7352941176470589,0.2920353982300885
sft-task-32b-lr2x-3156662,art,second,1.0,1.0,1.0,1.0,1.0
sft-task-32b-lr2x-3156662,art,third,0.9671412151927429,0.9776547270112962,0.9776547270112962,0.9973262032085561,0.915929203539823
sft-task-32b-lr2x-3156662,beam,first,0.32819628677388313,0.0818523667730644,0.0940602258588397,0.7956403269754768,0.3412322274881517
sft-task-32b-lr2x-3156662,beam,second,0.48481734881361205,0.3350058175118652,0.38115026675608527,0.8540145985401459,0.36909871244635195
sft-task-32b-lr2x-3156662,beam,third,0.8887538547302233,0.8217717747905434,0.8575313122406759,0.9976635514018691,0.8780487804878049
sft-task-32b-lr2x-3156662,buckling,first,0.22327136674907705,0.012217255269506072,0.023061054581482446,0.6865912762520194,0.17121588089330025
sft-task-32b-lr2x-3156662,buckling,second,0.9902852642656943,0.9803321445043109,0.9808089125584663,1.0,1.0
sft-task-32b-lr2x-3156662,buckling,third,0.7009046664362111,0.5846724094444801,0.5965183428723989,0.9822294022617124,0.6401985111662531
sft-task-32b-lr2x-3156662,cable,first,0.389110287137356,0.13244594027569803,0.14831051101798706,0.8100358422939068,0.46564885496183206
sft-task-32b-lr2x-3156662,cable,second,0.9626979741708437,0.923728110110296,0.9270637865730789,1.0,1.0
sft-task-32b-lr2x-3156662,cable,third,0.40331449362432575,0.2208690612681513,0.24004478286285447,0.7575221238938054,0.3948220064724919
sft-task-32b-lr2x-3156662,camera,first,0.18011580271155792,0.008702133428381885,0.04935780534915023,0.4988344988344988,0.16356877323420074
sft-task-32b-lr2x-3156662,camera,second,0.8373729459063046,0.9575013759974299,0.9583896946153103,0.9924242424242424,0.4411764705882353
sft-task-32b-lr2x-3156662,camera,third,0.7997992741468163,0.8507744715644682,0.8525665938943924,0.955,0.5408560311284046
sft-task-32b-lr2x-3156662,citybus,first,0.2786526989304017,0.06262466142843526,0.07950197161605942,0.7158469945355191,0.25663716814159293
sft-task-32b-lr2x-3156662,citybus,second,0.8842039276062876,0.8742343146738603,0.8773466496789482,0.970108695652174,0.8151260504201681
sft-task-32b-lr2x-3156662,citybus,third,0.9589655300538604,0.9240118696309082,0.9255114527703261,0.9863387978142076,1.0
sft-task-32b-lr2x-3156662,curiosity,first,0.3130332143454271,0.062414625917697523,0.07419122797969029,0.7008928571428571,0.4146341463414634
sft-task-32b-lr2x-3156662,curiosity,second,0.8565605963649385,0.8278652354290674,0.8641291825510118,0.9634146341463414,0.7708333333333334
