model,system,round,missing_file,file_path
llama4-maverick,camera,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/camera/first_cleaned_response.py
llama4-maverick,camera,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/camera/second_cleaned_response.py
llama4-maverick,camera,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/camera/third_cleaned_response.py
llama4-maverick,particles,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/particles/first_cleaned_response.py
llama4-maverick,particles,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/particles/second_cleaned_response.py
llama4-maverick,particles,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/particles/third_cleaned_response.py
llama4-maverick,kraz,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/kraz/first_cleaned_response.py
llama4-maverick,kraz,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/kraz/second_cleaned_response.py
llama4-maverick,kraz,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/kraz/third_cleaned_response.py
llama4-maverick,m113,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/m113/first_cleaned_response.py
llama4-maverick,m113,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/m113/second_cleaned_response.py
llama4-maverick,m113,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/m113/third_cleaned_response.py
llama4-maverick,rotor,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/rotor/first_cleaned_response.py
llama4-maverick,rotor,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/rotor/second_cleaned_response.py
llama4-maverick,rotor,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/rotor/third_cleaned_response.py
llama4-maverick,tablecloth,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/tablecloth/first_cleaned_response.py
llama4-maverick,tablecloth,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/tablecloth/second_cleaned_response.py
llama4-maverick,tablecloth,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/tablecloth/third_cleaned_response.py
llama4-maverick,scm_hill,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/scm_hill/first_cleaned_response.py
llama4-maverick,scm_hill,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/scm_hill/second_cleaned_response.py
llama4-maverick,scm_hill,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/scm_hill/third_cleaned_response.py
llama4-maverick,viper,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/viper/first_cleaned_response.py
llama4-maverick,viper,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/viper/second_cleaned_response.py
llama4-maverick,viper,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/viper/third_cleaned_response.py
llama4-maverick,buckling,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/buckling/first_cleaned_response.py
llama4-maverick,buckling,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/buckling/second_cleaned_response.py
llama4-maverick,buckling,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/buckling/third_cleaned_response.py
llama4-maverick,slider_crank,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/slider_crank/first_cleaned_response.py
llama4-maverick,slider_crank,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/slider_crank/second_cleaned_response.py
llama4-maverick,slider_crank,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/slider_crank/third_cleaned_response.py
llama4-maverick,turtlebot,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/turtlebot/first_cleaned_response.py
llama4-maverick,turtlebot,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/turtlebot/second_cleaned_response.py
llama4-maverick,turtlebot,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/turtlebot/third_cleaned_response.py
llama4-maverick,rigid_multipatches,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/rigid_multipatches/first_cleaned_response.py
llama4-maverick,rigid_multipatches,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/rigid_multipatches/second_cleaned_response.py
llama4-maverick,rigid_multipatches,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/rigid_multipatches/third_cleaned_response.py
llama4-maverick,cable,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/cable/first_cleaned_response.py
llama4-maverick,cable,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/cable/second_cleaned_response.py
llama4-maverick,cable,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/cable/third_cleaned_response.py
llama4-maverick,hmmwv,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/hmmwv/first_cleaned_response.py
llama4-maverick,hmmwv,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/hmmwv/second_cleaned_response.py
llama4-maverick,hmmwv,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/hmmwv/third_cleaned_response.py
llama4-maverick,handler,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/handler/first_cleaned_response.py
llama4-maverick,handler,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/handler/second_cleaned_response.py
llama4-maverick,handler,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/handler/third_cleaned_response.py
llama4-maverick,lidar,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/lidar/first_cleaned_response.py
llama4-maverick,lidar,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/lidar/second_cleaned_response.py
llama4-maverick,lidar,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/lidar/third_cleaned_response.py
llama4-scout,gear,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/gear/first_cleaned_response.py
llama4-scout,gear,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/gear/second_cleaned_response.py
llama4-scout,gear,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/gear/third_cleaned_response.py
llama4-scout,gator,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/gator/first_cleaned_response.py
llama4-scout,gator,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/gator/second_cleaned_response.py
llama4-scout,gator,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/gator/third_cleaned_response.py
llama4-scout,feda,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/feda/first_cleaned_response.py
llama4-scout,feda,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/feda/second_cleaned_response.py
llama4-scout,feda,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/feda/third_cleaned_response.py
llama4-scout,art,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/art/first_cleaned_response.py
llama4-scout,art,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/art/second_cleaned_response.py
llama4-scout,art,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/art/third_cleaned_response.py
llama4-scout,vehros,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/vehros/first_cleaned_response.py
llama4-scout,vehros,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/vehros/second_cleaned_response.py
llama4-scout,vehros,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/vehros/third_cleaned_response.py
llama4-scout,man,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/man/first_cleaned_response.py
llama4-scout,man,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/man/second_cleaned_response.py
llama4-scout,man,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/man/third_cleaned_response.py
llama4-scout,pendulum,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/pendulum/first_cleaned_response.py
llama4-scout,pendulum,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/pendulum/second_cleaned_response.py
llama4-scout,pendulum,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/pendulum/third_cleaned_response.py
llama4-scout,rigid_highway,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/rigid_highway/first_cleaned_response.py
llama4-scout,rigid_highway,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/rigid_highway/second_cleaned_response.py
llama4-scout,rigid_highway,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/rigid_highway/third_cleaned_response.py
llama4-scout,curiosity,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/curiosity/first_cleaned_response.py
llama4-scout,curiosity,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/curiosity/second_cleaned_response.py
llama4-scout,curiosity,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/curiosity/third_cleaned_response.py
llama4-scout,mass_spring_damper,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/mass_spring_damper/first_cleaned_response.py
llama4-scout,mass_spring_damper,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/mass_spring_damper/second_cleaned_response.py
llama4-scout,mass_spring_damper,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/mass_spring_damper/third_cleaned_response.py
llama4-scout,gps_imu,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/gps_imu/first_cleaned_response.py
llama4-scout,gps_imu,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/gps_imu/second_cleaned_response.py
llama4-scout,gps_imu,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/gps_imu/third_cleaned_response.py
llama4-scout,uazbus,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/uazbus/first_cleaned_response.py
llama4-scout,uazbus,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/uazbus/second_cleaned_response.py
llama4-scout,uazbus,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/uazbus/third_cleaned_response.py
llama4-scout,scm,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/scm/first_cleaned_response.py
llama4-scout,scm,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/scm/second_cleaned_response.py
llama4-scout,scm,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/scm/third_cleaned_response.py
llama4-scout,sedan,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/sedan/first_cleaned_response.py
llama4-scout,sedan,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/sedan/second_cleaned_response.py
llama4-scout,sedan,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/sedan/third_cleaned_response.py
llama4-scout,veh_app,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/veh_app/first_cleaned_response.py
llama4-scout,veh_app,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/veh_app/second_cleaned_response.py
llama4-scout,veh_app,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/veh_app/third_cleaned_response.py
llama4-scout,citybus,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/citybus/first_cleaned_response.py
llama4-scout,citybus,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/citybus/second_cleaned_response.py
llama4-scout,citybus,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/citybus/third_cleaned_response.py
llama4-scout,sensros,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/sensros/first_cleaned_response.py
llama4-scout,sensros,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/sensros/second_cleaned_response.py
llama4-scout,sensros,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/sensros/third_cleaned_response.py
llama4-scout,beam,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/beam/first_cleaned_response.py
llama4-scout,beam,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/beam/second_cleaned_response.py
llama4-scout,beam,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/beam/third_cleaned_response.py
llama4-scout,camera,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/camera/first_cleaned_response.py
llama4-scout,camera,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/camera/second_cleaned_response.py
llama4-scout,camera,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/camera/third_cleaned_response.py
llama4-scout,particles,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/particles/first_cleaned_response.py
llama4-scout,particles,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/particles/second_cleaned_response.py
llama4-scout,particles,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/particles/third_cleaned_response.py
llama4-scout,kraz,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/kraz/first_cleaned_response.py
llama4-scout,kraz,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/kraz/second_cleaned_response.py
llama4-scout,kraz,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/kraz/third_cleaned_response.py
llama4-scout,m113,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/m113/first_cleaned_response.py
llama4-scout,m113,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/m113/second_cleaned_response.py
llama4-scout,m113,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/m113/third_cleaned_response.py
llama4-scout,tablecloth,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/tablecloth/first_cleaned_response.py
llama4-scout,tablecloth,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/tablecloth/second_cleaned_response.py
llama4-scout,tablecloth,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/tablecloth/third_cleaned_response.py
llama4-scout,rotor,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/rotor/first_cleaned_response.py
llama4-scout,rotor,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/rotor/second_cleaned_response.py
llama4-scout,rotor,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/rotor/third_cleaned_response.py
llama4-scout,scm_hill,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/scm_hill/first_cleaned_response.py
llama4-scout,scm_hill,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/scm_hill/second_cleaned_response.py
llama4-scout,scm_hill,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-scout/scm_hill/third_cleaned_response.py
