--- Andy ---
rank            , model                              , consensus_score, score_document, score_reference, score_ref_doc, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
8               , llama-3.1-70b-instruct             , 90.63          , 41.24         , 43.58          , 42.54        , 0.6     , 0.51             , 0.53                      , 0.84              , 0.52                , 0.73  , 0.61  , 0.65  , 0.72
9               , gemma-3-27b-it                     , 89.46          , 42.28         , 41.4           , 41.15        , 0.61    , 0.51             , 0.53                      , 0.85              , 0.52                , 0.74  , 0.62  , 0.66  , 0.74
10              , llama-3.3-70b-instruct             , 88.65          , 41.97         , 42.82          , 39.62        , 0.59    , 0.5              , 0.52                      , 0.83              , 0.5                 , 0.73  , 0.62  , 0.65  , 0.73
11              , mixtral-8x22b-instruct-v0.1        , 88.23          , 39.27         , 42.14          , 41.11        , 0.62    , 0.54             , 0.55                      , 0.85              , 0.54                , 0.72  , 0.62  , 0.65  , 0.72
12              , deepseek-r1-32b                    , 87.09          , 37.07         , 43.04          , 41.72        , 0.6     , 0.5              , 0.51                      , 0.84              , 0.51                , 0.72  , 0.6   , 0.64  , 0.72
13              , llama4_scout                       , 86.51          , 38.71         , 42.29          , 40.68        , 0.59    , 0.49             , 0.52                      , 0.83              , 0.51                , 0.71  , 0.6   , 0.63  , 0.71
14              , qwq-32b                            , 83.55          , 44.9          , 39.6           , 36.81        , 0.54    , 0.39             , 0.45                      , 0.83              , 0.48                , 0.67  , 0.55  , 0.59  , 0.67
15              , gemma-2-27b-it                     , 83.54          , 38.45         , 39.73          , 38.62        , 0.58    , 0.5              , 0.52                      , 0.83              , 0.49                , 0.71  , 0.6   , 0.64  , 0.71
16              , llama-3.1-8b-instruct              , 79.68          , 35.45         , 38.84          , 36.88        , 0.59    , 0.5              , 0.52                      , 0.82              , 0.52                , 0.68  , 0.58  , 0.61  , 0.68
17              , mixtral-8x7b-instruct-v0.1         , 78.19          , 34.6          , 39.39          , 36.45        , 0.56    , 0.48             , 0.5                       , 0.79              , 0.48                , 0.66  , 0.56  , 0.6   , 0.66
18              , mistral-nemo-12b-instruct          , 77.55          , 34.04         , 38.49          , 36.38        , 0.56    , 0.47             , 0.49                      , 0.8               , 0.47                , 0.68  , 0.57  , 0.61  , 0.68
19              , gemma-2-9b-it                      , 77.28          , 34.71         , 36.81          , 35.89        , 0.57    , 0.49             , 0.51                      , 0.81              , 0.47                , 0.69  , 0.59  , 0.63  , 0.69
20              , deepseek-r1-8b                     , 74.05          , 30.42         , 36.76          , 35.26        , 0.58    , 0.48             , 0.5                       , 0.81              , 0.48                , 0.67  , 0.57  , 0.61  , 0.67
21              , qwen2-7b-instruct                  , 72.97          , 32.8          , 36.46          , 33.73        , 0.55    , 0.45             , 0.47                      , 0.81              , 0.48                , 0.64  , 0.55  , 0.58  , 0.64
22              , mamba-codestral-7b-v0.1            , 72.23          , 36.04         , 34.73          , 33.35        , 0.52    , 0.44             , 0.46                      , 0.79              , 0.38                , 0.63  , 0.55  , 0.57  , 0.63
23              , gemma-2-2b-it                      , 70.86          , 30.62         , 34.84          , 33.02        , 0.55    , 0.47             , 0.49                      , 0.79              , 0.44                , 0.65  , 0.57  , 0.61  , 0.65
24              , gemma-3-1b-it                      , 66.88          , 31.22         , 31.78          , 30.22        , 0.54    , 0.45             , 0.48                      , 0.77              , 0.39                , 0.64  , 0.55  , 0.59  , 0.64
25              , phi-3-medium-128k-instruct         , 61.04          , 26.16         , 29.9           , 28.83        , 0.53    , 0.45             , 0.48                      , 0.75              , 0.41                , 0.62  , 0.53  , 0.56  , 0.62
26              , phi-3-mini-128k-instruct           , 55.87          , 26.11         , 28.24          , 26.13        , 0.47    , 0.37             , 0.41                      , 0.73              , 0.36                , 0.57  , 0.48  , 0.52  , 0.57
27              , phi-4-mini-instruct                , 0.0            , 9.36          , 9.06           , 6.72         , 0.13    , 0.01             , 0.02                      , 0.17              , 0.18                , 0.04  , 0.02  , 0.04  , 0.04


--- Jingquan ---

rank            , model                              , consensus_score, score_document, score_reference, score_ref_doc, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
1               , qwen3-235b-a22b                    , 100.0          , 54.63         , 31.5           , 42.12        , 0.61    , 0.51             , 0.53                      , 0.85              , 0.55                , 0.75  , 0.64  , 0.67  , 0.75
2               , deepseek-r1                        , 98.45          , 53.88         , 32.59          , 38.17        , 0.61    , 0.5              , 0.51                      , 0.85              , 0.54                , 0.77  , 0.65  , 0.68  , 0.77
3               , llama4_maverick                    , 94.67          , 43.57         , 32.88          , 41.06        , 0.6     , 0.51             , 0.56                      , 0.85              , 0.47                , 0.77  , 0.66  , 0.68  , 0.76
4               , llama-3.3-70b-instruct             , 93.73          , 41.86         , 33.73          , 41.08        , 0.6     , 0.52             , 0.54                      , 0.84              , 0.5                 , 0.74  , 0.62  , 0.66  , 0.73
5               , llama4_scout                       , 91.24          , 37.85         , 33.77          , 40.82        , 0.61    , 0.51             , 0.53                      , 0.84              , 0.53                , 0.72  , 0.61  , 0.64  , 0.72
6               , llama-3.1-405b-instruct            , 90.24          , 38.03         , 33.09          , 39.04        , 0.62    , 0.53             , 0.55                      , 0.83              , 0.56                , 0.72  , 0.62  , 0.66  , 0.72
7               , llama-3.1-70b-instruct             , 89.93          , 39.44         , 33.33          , 39.59        , 0.54    , 0.51             , 0.53                      , 0.67              , 0.33                , 0.71  , 0.61  , 0.64  , 0.71
8               , codestral-22b-instruct-v0.1        , 89.21          , 39.22         , 32.43          , 37.86        , 0.61    , 0.52             , 0.54                      , 0.84              , 0.53                , 0.7   , 0.61  , 0.65  , 0.7
9               , mixtral-8x22b-instruct-v0.1        , 88.43          , 36.86         , 33.78          , 38.88        , 0.59    , 0.52             , 0.54                      , 0.8               , 0.49                , 0.67  , 0.6   , 0.62  , 0.67
10              , deepseek-r1-32b                    , 86.6           , 34.0          , 33.01          , 38.61        , 0.59    , 0.49             , 0.51                      , 0.83              , 0.51                , 0.7   , 0.58  , 0.62  , 0.7
11              , gemma-2-27b-it                     , 85.26          , 36.55         , 29.26          , 37.38        , 0.59    , 0.5              , 0.52                      , 0.83              , 0.5                 , 0.71  , 0.61  , 0.64  , 0.71
12              , llama-3.1-8b-instruct              , 84.21          , 34.85         , 31.12          , 37.63        , 0.57    , 0.49             , 0.52                      , 0.76              , 0.46                , 0.66  , 0.57  , 0.6   , 0.66
13              , mixtral-8x7b-instruct-v0.1         , 82.35          , 30.35         , 34.43          , 37.72        , 0.51    , 0.42             , 0.46                      , 0.73              , 0.41                , 0.63  , 0.54  , 0.57  , 0.62
14              , mistral-nemo-12b-instruct          , 80.49          , 31.81         , 29.75          , 36.42        , 0.55    , 0.44             , 0.47                      , 0.79              , 0.46                , 0.65  , 0.55  , 0.58  , 0.65
15              , gemma-2-9b-it                      , 79.16          , 29.97         , 29.39          , 33.46        , 0.58    , 0.49             , 0.51                      , 0.82              , 0.47                , 0.69  , 0.59  , 0.63  , 0.69
16              , deepseek-r1-8b                     , 74.6           , 26.68         , 26.27          , 34.03        , 0.57    , 0.47             , 0.49                      , 0.79              , 0.49                , 0.65  , 0.56  , 0.59  , 0.65
17              , mamba-codestral-7b-v0.1            , 72.65          , 27.94         , 29.42          , 31.83        , 0.47    , 0.39             , 0.41                      , 0.72              , 0.36                , 0.57  , 0.49  , 0.52  , 0.57
18              , gemma-2-2b-it                      , 72.28          , 24.61         , 27.45          , 31.07        , 0.54    , 0.46             , 0.48                      , 0.79              , 0.43                , 0.64  , 0.56  , 0.6   , 0.64
19              , gemma-3-1b-it                      , 71.19          , 28.34         , 25.62          , 27.55        , 0.54    , 0.46             , 0.49                      , 0.78              , 0.39                , 0.64  , 0.56  , 0.6   , 0.64
20              , phi-3-mini-128k-instruct           , 66.01          , 23.81         , 24.64          , 27.76        , 0.5     , 0.39             , 0.45                      , 0.76              , 0.4                 , 0.58  , 0.5   , 0.53  , 0.58
21              , phi-3-medium-128k-instruct         , 50.6           , 19.71         , 19.84          , 22.01        , 0.37    , 0.24             , 0.26                      , 0.55              , 0.26                , 0.39  , 0.31  , 0.35  , 0.39
22              , phi-4-mini-instruct                , 0.0            , 0.0           , 0.0            , 0.0          , 0.0     , 0.0              , 0.0                       , 0.0               , 0.0                 , 0.0   , 0.0   , 0.0   , 0.0
23              , qwen2-7b-instruct                  , 0.0            , 0.0           , 0.0            , 0.0          , 0.0     , 0.0              , 0.0                       , 0.0               , 0.0                 , 0.0   , 0.0   , 0.0   , 0.0
24              , gemma-3-27b-it                     , 0.0            , 0.0           , 0.0            , 0.0          , 0.0     , 0.0              , 0.0                       , 0.0               , 0.0                 , 0.0   , 0.0   , 0.0   , 0.0
25              , mistral-small-3.1-24b-instruct-2503, 0.0            , 0.0           , 0.0            , 0.0          , 0.0     , 0.0              , 0.0                       , 0.0               , 0.0                 , 0.0   , 0.0   , 0.0   , 0.0
26              , mistral-medium-3-instruct          , 0.0            , 0.0           , 0.0            , 0.0          , 0.0     , 0.0              , 0.0                       , 0.0               , 0.0                 , 0.0   , 0.0   , 0.0   , 0.0
27              , qwq-32b                            , 0.0            , 0.0           , 0.0            , 0.0          , 0.0     , 0.0              , 0.0                       , 0.0               , 0.0                 , 0.0   , 0.0   , 0.0   , 0.0




--- Andy ---

rank            , model                              , consensus_score, score_document, score_reference, score_ref_doc, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
1               , deepseek-r1                        , 100.0          , 48.55         , 45.28          , 43.72        , 0.63    , 0.53             , 0.55                      , 0.86              , 0.54                , 0.79  , 0.67  , 0.7   , 0.79
2               , qwen3-235b-a22b                    , 95.18          , 49.11         , 44.96          , 44.38        , 0.6     , 0.51             , 0.53                      , 0.84              , 0.52                , 0.75  , 0.64  , 0.67  , 0.75
3               , llama4_maverick                    , 84.36          , 45.55         , 41.52          , 41.36        , 0.59    , 0.51             , 0.54                      , 0.85              , 0.47                , 0.77  , 0.66  , 0.68  , 0.77
4               , llama-3.1-405b-instruct            , 81.8           , 40.17         , 44.31          , 42.3         , 0.62    , 0.53             , 0.55                      , 0.84              , 0.55                , 0.73  , 0.63  , 0.66  , 0.72
5               , codestral-22b-instruct-v0.1        , 80.37          , 43.23         , 43.76          , 41.71        , 0.6     , 0.51             , 0.55                      , 0.84              , 0.51                , 0.71  , 0.61  , 0.64  , 0.71
6               , llama-3.3-70b-instruct             , 76.97          , 39.19         , 42.51          , 41.8         , 0.6     , 0.51             , 0.53                      , 0.83              , 0.53                , 0.73  , 0.62  , 0.66  , 0.73
7               , mixtral-8x22b-instruct-v0.1        , 74.99          , 38.82         , 41.98          , 41.5         , 0.61    , 0.53             , 0.54                      , 0.84              , 0.54                , 0.72  , 0.62  , 0.65  , 0.72
8               , llama-3.1-70b-instruct             , 73.96          , 41.94         , 42.09          , 39.92        , 0.59    , 0.5              , 0.52                      , 0.83              , 0.51                , 0.72  , 0.6   , 0.64  , 0.72
9               , llama4_scout                       , 71.08          , 37.74         , 43.15          , 40.45        , 0.59    , 0.5              , 0.52                      , 0.83              , 0.51                , 0.71  , 0.61  , 0.64  , 0.71
10              , gemma-2-27b-it                     , 69.82          , 40.03         , 41.56          , 38.99        , 0.59    , 0.51             , 0.53                      , 0.83              , 0.5                 , 0.71  , 0.61  , 0.64  , 0.71
11              , deepseek-r1-32b                    , 68.14          , 37.96         , 42.49          , 39.39        , 0.59    , 0.5              , 0.52                      , 0.83              , 0.49                , 0.71  , 0.6   , 0.63  , 0.71
12              , mixtral-8x7b-instruct-v0.1         , 59.26          , 36.47         , 39.9           , 39.17        , 0.58    , 0.49             , 0.51                      , 0.79              , 0.48                , 0.68  , 0.57  , 0.61  , 0.68
13              , mistral-nemo-12b-instruct          , 53.77          , 35.39         , 40.16          , 36.21        , 0.56    , 0.47             , 0.49                      , 0.81              , 0.47                , 0.68  , 0.57  , 0.61  , 0.68
14              , gemma-2-9b-it                      , 53.38          , 36.08         , 39.38          , 35.41        , 0.57    , 0.48             , 0.51                      , 0.81              , 0.46                , 0.68  , 0.59  , 0.62  , 0.68
15              , llama-3.1-8b-instruct              , 52.77          , 34.32         , 38.48          , 37.24        , 0.59    , 0.5              , 0.52                      , 0.81              , 0.5                 , 0.67  , 0.58  , 0.61  , 0.67
16              , deepseek-r1-8b                     , 46.4           , 31.94         , 37.95          , 36.17        , 0.58    , 0.47             , 0.5                       , 0.81              , 0.49                , 0.66  , 0.57  , 0.6   , 0.66
17              , mamba-codestral-7b-v0.1            , 36.49          , 35.16         , 35.84          , 34.59        , 0.52    , 0.44             , 0.46                      , 0.79              , 0.38                , 0.63  , 0.55  , 0.57  , 0.63
18              , gemma-2-2b-it                      , 35.72          , 30.3          , 34.8           , 33.95        , 0.55    , 0.47             , 0.5                       , 0.8               , 0.43                , 0.66  , 0.57  , 0.61  , 0.65
19              , gemma-3-1b-it                      , 21.58          , 30.93         , 30.97          , 28.98        , 0.53    , 0.45             , 0.48                      , 0.77              , 0.4                 , 0.64  , 0.56  , 0.6   , 0.64
20              , phi-3-medium-128k-instruct         , 17.42          , 26.26         , 31.71          , 29.64        , 0.54    , 0.47             , 0.49                      , 0.76              , 0.44                , 0.63  , 0.55  , 0.57  , 0.63
21              , phi-3-mini-128k-instruct           , 0.0            , 26.78         , 28.14          , 26.9         , 0.49    , 0.37             , 0.42                      , 0.74              , 0.4                 , 0.58  , 0.49  , 0.53  , 0.58


--- Justin ---
rank            , model                              , consensus_score, score_document, score_reference, score_ref_doc, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
1               , deepseek-r1                        , 100.0          , 52.6          , 44.73          , 43.37        , 0.63    , 0.53             , 0.55                      , 0.86              , 0.54                , 0.79  , 0.67  , 0.7   , 0.79
2               , qwen3-235b-a22b                    , 92.54          , 49.6          , 44.74          , 44.23        , 0.6     , 0.51             , 0.53                      , 0.84              , 0.52                , 0.75  , 0.64  , 0.67  , 0.75
3               , llama4_maverick                    , 82.32          , 45.98         , 42.62          , 39.86        , 0.59    , 0.51             , 0.54                      , 0.85              , 0.47                , 0.77  , 0.66  , 0.68  , 0.77
4               , llama-3.1-405b-instruct            , 82.26          , 41.98         , 44.64          , 42.29        , 0.62    , 0.53             , 0.55                      , 0.84              , 0.55                , 0.73  , 0.63  , 0.66  , 0.72
5               , codestral-22b-instruct-v0.1        , 79.49          , 43.17         , 44.49          , 41.78        , 0.6     , 0.51             , 0.55                      , 0.84              , 0.51                , 0.71  , 0.61  , 0.64  , 0.71
6               , llama-3.1-70b-instruct             , 76.96          , 41.24         , 43.58          , 42.54        , 0.59    , 0.5              , 0.52                      , 0.83              , 0.51                , 0.72  , 0.6   , 0.64  , 0.72
7               , llama-3.3-70b-instruct             , 75.8           , 41.97         , 42.82          , 39.62        , 0.6     , 0.51             , 0.53                      , 0.83              , 0.53                , 0.73  , 0.62  , 0.66  , 0.73
8               , mixtral-8x22b-instruct-v0.1        , 73.84          , 39.27         , 42.14          , 41.11        , 0.61    , 0.53             , 0.54                      , 0.84              , 0.54                , 0.72  , 0.62  , 0.65  , 0.72
9               , llama4_scout                       , 69.98          , 38.71         , 42.29          , 40.68        , 0.59    , 0.5              , 0.52                      , 0.83              , 0.51                , 0.71  , 0.61  , 0.64  , 0.71
10              , deepseek-r1-32b                    , 69.83          , 37.07         , 43.04          , 41.72        , 0.59    , 0.5              , 0.52                      , 0.83              , 0.49                , 0.71  , 0.6   , 0.63  , 0.71
11              , gemma-2-27b-it                     , 64.35          , 38.45         , 39.73          , 38.62        , 0.59    , 0.51             , 0.53                      , 0.83              , 0.5                 , 0.71  , 0.61  , 0.64  , 0.71
12              , llama-3.1-8b-instruct              , 53.39          , 35.45         , 38.84          , 36.88        , 0.59    , 0.5              , 0.52                      , 0.81              , 0.5                 , 0.67  , 0.58  , 0.61  , 0.67
13              , mixtral-8x7b-instruct-v0.1         , 52.68          , 34.6          , 39.39          , 36.45        , 0.58    , 0.49             , 0.51                      , 0.79              , 0.48                , 0.68  , 0.57  , 0.61  , 0.68
14              , mistral-nemo-12b-instruct          , 50.07          , 34.04         , 38.49          , 36.38        , 0.56    , 0.47             , 0.49                      , 0.81              , 0.47                , 0.68  , 0.57  , 0.61  , 0.68
15              , gemma-2-9b-it                      , 48.94          , 34.71         , 36.81          , 35.89        , 0.57    , 0.48             , 0.51                      , 0.81              , 0.46                , 0.68  , 0.59  , 0.62  , 0.68
16              , deepseek-r1-8b                     , 42.27          , 30.42         , 36.76          , 35.26        , 0.58    , 0.47             , 0.5                       , 0.81              , 0.49                , 0.66  , 0.57  , 0.6   , 0.66
17              , gemma-2-2b-it                      , 35.25          , 30.62         , 34.84          , 33.02        , 0.55    , 0.47             , 0.5                       , 0.8               , 0.43                , 0.66  , 0.57  , 0.61  , 0.65
18              , mamba-codestral-7b-v0.1            , 34.12          , 36.04         , 34.73          , 33.35        , 0.52    , 0.44             , 0.46                      , 0.79              , 0.38                , 0.63  , 0.55  , 0.57  , 0.63
19              , gemma-3-1b-it                      , 25.18          , 31.22         , 31.78          , 30.22        , 0.53    , 0.45             , 0.48                      , 0.77              , 0.4                 , 0.64  , 0.56  , 0.6   , 0.64
20              , phi-3-medium-128k-instruct         , 15.18          , 26.16         , 29.9           , 28.83        , 0.54    , 0.47             , 0.49                      , 0.76              , 0.44                , 0.63  , 0.55  , 0.57  , 0.63
21              , phi-3-mini-128k-instruct           , 0.0            , 26.11         , 28.24          , 26.13        , 0.49    , 0.37             , 0.42                      , 0.74              , 0.4                 , 0.58  , 0.49  , 0.53  , 0.58


--- Jingquan ---
rank            , model                              , consensus_score, score_document, score_reference, score_ref_doc, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
1               , qwen3-235b-a22b                    , 100.0          , 54.63         , 31.5           , 42.12        , 0.61    , 0.51             , 0.53                      , 0.85              , 0.55                , 0.75  , 0.64  , 0.67  , 0.75
2               , deepseek-r1                        , 98.45          , 53.88         , 32.59          , 38.17        , 0.61    , 0.5              , 0.51                      , 0.85              , 0.54                , 0.77  , 0.65  , 0.68  , 0.77
3               , llama4_maverick                    , 94.67          , 43.57         , 32.88          , 41.06        , 0.6     , 0.51             , 0.56                      , 0.85              , 0.47                , 0.77  , 0.66  , 0.68  , 0.76
4               , llama-3.3-70b-instruct             , 93.73          , 41.86         , 33.73          , 41.08        , 0.6     , 0.52             , 0.54                      , 0.84              , 0.5                 , 0.74  , 0.62  , 0.66  , 0.73
5               , llama4_scout                       , 91.24          , 37.85         , 33.77          , 40.82        , 0.61    , 0.51             , 0.53                      , 0.84              , 0.53                , 0.72  , 0.61  , 0.64  , 0.72
6               , llama-3.1-405b-instruct            , 90.24          , 38.03         , 33.09          , 39.04        , 0.62    , 0.53             , 0.55                      , 0.83              , 0.56                , 0.72  , 0.62  , 0.66  , 0.72
7               , llama-3.1-70b-instruct             , 89.93          , 39.44         , 33.33          , 39.59        , 0.54    , 0.51             , 0.53                      , 0.67              , 0.33                , 0.71  , 0.61  , 0.64  , 0.71
8               , codestral-22b-instruct-v0.1        , 89.21          , 39.22         , 32.43          , 37.86        , 0.61    , 0.52             , 0.54                      , 0.84              , 0.53                , 0.7   , 0.61  , 0.65  , 0.7
9               , mixtral-8x22b-instruct-v0.1        , 88.43          , 36.86         , 33.78          , 38.88        , 0.59    , 0.52             , 0.54                      , 0.8               , 0.49                , 0.67  , 0.6   , 0.62  , 0.67
10              , deepseek-r1-32b                    , 86.6           , 34.0          , 33.01          , 38.61        , 0.59    , 0.49             , 0.51                      , 0.83              , 0.51                , 0.7   , 0.58  , 0.62  , 0.7
11              , gemma-2-27b-it                     , 85.26          , 36.55         , 29.26          , 37.38        , 0.59    , 0.5              , 0.52                      , 0.83              , 0.5                 , 0.71  , 0.61  , 0.64  , 0.71
12              , llama-3.1-8b-instruct              , 84.21          , 34.85         , 31.12          , 37.63        , 0.57    , 0.49             , 0.52                      , 0.76              , 0.46                , 0.66  , 0.57  , 0.6   , 0.66
13              , mixtral-8x7b-instruct-v0.1         , 82.35          , 30.35         , 34.43          , 37.72        , 0.51    , 0.42             , 0.46                      , 0.73              , 0.41                , 0.63  , 0.54  , 0.57  , 0.62
14              , mistral-nemo-12b-instruct          , 80.49          , 31.81         , 29.75          , 36.42        , 0.55    , 0.44             , 0.47                      , 0.79              , 0.46                , 0.65  , 0.55  , 0.58  , 0.65
15              , gemma-2-9b-it                      , 79.16          , 29.97         , 29.39          , 33.46        , 0.58    , 0.49             , 0.51                      , 0.82              , 0.47                , 0.69  , 0.59  , 0.63  , 0.69
