Rank,model,ConsensusScore,System,Round,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
18,pe_deepseek-r1-32b,31.14,,,46.31,35.19,40.24,0.60,0.51,0.53,0.85,0.50,0.75,0.64,0.66,0.75
19,pe_llama-3.3-70b-instruct,30.86,,,48.55,35.38,40.13,0.60,0.51,0.54,0.84,0.49,0.75,0.64,0.67,0.74
20,gpt-4.1,30.84,,,55.49,34.37,40.12,0.60,0.49,0.52,0.86,0.53,0.77,0.65,0.67,0.77
21,pe_llama-3.1-70b-instruct,30.30,,,43.69,34.87,39.90,,,,,,,,,
22,llama3.1-8b-f2,29.55,,,33.19,32.02,39.60,,,,,,,,,
23,gpt-4.1-nano,29.34,,,38.31,31.00,39.51,0.58,0.47,0.51,0.84,0.51,0.71,0.59,0.63,0.71
24,llama4-109b-lora1,28.83,,,34.65,33.01,39.31,0.62,0.53,0.55,0.85,0.53,0.75,0.65,0.66,0.75
25,Gemini,28.58,,,42.71,32.94,39.21,,,,,,,,,
26,deepseek-r1-32b,28.29,,,34.00,33.30,39.09,0.59,0.49,0.51,0.83,0.51,0.70,0.58,0.62,0.70
27,llama3.1-8b-lora1,28.24,,,34.92,32.77,39.07,0.64,0.54,0.58,0.87,0.54,0.76,0.68,0.68,0.76
28,pe_llama-3.1-8b-instruct,28.21,,,37.23,33.19,39.06,0.60,0.52,0.53,0.83,0.51,0.72,0.63,0.65,0.72
29,pe_llama4_scout,28.09,,,48.25,34.07,39.01,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,llama3.1-8b-f1,27.53,,,34.56,33.09,38.78,0.63,0.53,0.57,0.86,0.54,0.74,0.66,0.66,0.74
31,pe_llama4_maverick,27.17,,,43.54,31.74,38.64,,,,,,,,,
32,deepseek-r1,25.42,,,53.80,32.59,37.93,0.61,0.50,0.51,0.85,0.54,0.77,0.65,0.68,0.77
33,pe_deepseek-r1-8b,22.89,,,34.66,30.62,36.91,,,,,,,,,
34,deepseek-r1-8b,15.75,,,26.68,26.27,34.03,0.57,0.47,0.49,0.79,0.49,0.65,0.56,0.59,0.65
35,gpt-4o,15.43,,,49.36,28.28,33.90,0.61,0.49,0.51,0.86,0.56,0.76,0.65,0.68,0.76
36,claude-3-5-sonnet,15.05,,,52.78,25.85,33.75,0.59,0.48,0.50,0.85,0.53,0.76,0.64,0.67,0.76
37,mamba-codestral-7b-v0.1,1.79,,,28.42,24.55,28.39,0.47,0.39,0.41,0.72,0.36,0.57,0.49,0.52,0.57
38,phi-3-medium-128k-instruct,0.00,,,,,,0.37,0.24,0.26,0.55,0.26,0.39,0.31,0.35,0.39
39,phi-3-mini-128k-instruct,0.00,,,,,,0.50,0.39,0.45,0.76,0.40,0.58,0.50,0.53,0.58
40,gemma-2-27b-it,0.00,,,,,,0.59,0.50,0.52,0.83,0.50,0.71,0.61,0.64,0.71
41,codestral-22b-instruct-v0.1,0.00,,,,,,0.61,0.52,0.54,0.84,0.53,0.70,0.61,0.65,0.70
42,llama-3.1-405b-instruct,0.00,,,,,,0.62,0.53,0.55,0.83,0.56,0.72,0.62,0.66,0.72
43,gemma-2-2b-it,0.00,,,,,,0.54,0.46,0.48,0.79,0.43,0.64,0.56,0.60,0.64
44,nemotron-4-340b-instruct,0.00,,,,,,0.60,0.49,0.53,0.84,0.52,0.72,0.61,0.64,0.72
45,llama-3.1-70b-instruct,0.00,,,,,,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71
46,mixtral-8x22b-instruct-v0.1,0.00,,,,,,0.59,0.52,0.54,0.80,0.49,0.67,0.60,0.62,0.67
47,mistral-nemo-12b-instruct,0.00,,,,,,0.55,0.44,0.47,0.79,0.46,0.65,0.55,0.58,0.65
48,mistral-large-latest,0.00,,,,,,0.60,0.50,0.52,0.84,0.53,0.74,0.63,0.67,0.74
49,gemma-2-9b-it,0.00,,,,,,0.58,0.49,0.51,0.82,0.47,0.69,0.59,0.63,0.69
50,gemma-3-1b-it,0.00,,,28.34,25.67,27.67,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.60,0.64
51,llama3.3-70b-lora1,0.00,,,,,,0.64,0.55,0.60,0.88,0.52,0.77,0.68,0.69,0.77
52,Gemini-1.5-pro,0.00,,,,,,0.61,0.51,0.54,0.84,0.54,0.73,0.62,0.65,0.73
53,llama-3.1-8b-instruct,0.00,,,,,,0.57,0.49,0.52,0.76,0.46,0.66,0.57,0.60,0.66
54,mixtral-8x7b-instruct-v0.1,0.00,,,,,,0.51,0.42,0.46,0.73,0.42,0.63,0.54,0.57,0.62
