Rank,model,Avg_Score_reference_document,Score_document__gpt-4.1-mini,Score_document__gpt-4.1-nano,Score_document__gpt-4o-mini,Score_reference__gpt-4.1-mini,Score_reference__gpt-4.1-nano,Score_reference__gpt-4o-mini,Score_reference_document__gpt-4.1-mini,Score_reference_document__gpt-4.1-nano,Score_reference_document__gpt-4o-mini,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,Avg_Score_document,Avg_Score_reference
38,nemotron-4-340b-instruct,,,,,,,,,,,0.60,0.49,0.53,0.84,0.52,0.72,0.61,0.64,0.72,,
39,o3,,,,,,,,,,,0.48,0.33,0.36,0.82,0.42,0.71,0.55,0.59,0.71,,
40,o4-mini,,,,,,,,,,,0.49,0.32,0.34,0.82,0.45,0.71,0.55,0.60,0.71,,
41,pe_deepseek-r1-32b,,,,,,,,,,,0.60,0.51,0.53,0.85,0.50,0.75,0.64,0.66,0.75,,
42,pe_gpt-4o-mini,,,,,,,,,,,0.61,0.52,0.54,0.84,0.51,0.76,0.66,0.67,0.76,,
43,pe_llama-3.1-405b-instruct,,,,,,,,,,,0.61,0.52,0.54,0.83,0.52,0.75,0.65,0.67,0.75,,
44,pe_llama-3.1-8b-instruct,,,,,,,,,,,0.60,0.52,0.53,0.83,0.51,0.72,0.63,0.65,0.72,,
45,pe_llama-3.3-70b-instruct,,,,,,,,,,,0.60,0.51,0.54,0.84,0.49,0.75,0.64,0.67,0.74,,
46,pe_llama4_scout,,,,,,,,,,,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
47,phi-3-medium-128k-instruct,,,,,,,,,,,0.37,0.24,0.26,0.55,0.26,0.39,0.31,0.35,0.39,,
48,phi-3-mini-128k-instruct,,,,,,,,,,,0.50,0.39,0.45,0.76,0.40,0.58,0.50,0.53,0.58,,
49,qwen3-235b-a22b,,,,,,,,,,,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75,,
