Rank,model,ConsensusScore,Score Document,Score Reference,Score Reference Document,system,round,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1.0,gpt-4o-mini,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,codestral-22b-instruct-v0.1,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,pe_deepseek-r1-32b,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,claude-4-sonnet-20250514,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,claude-3-5-sonnet,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,pe_llama-3.1-405b-instruct,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,pe_llama-3.1-405b-instruct,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,pe_llama-3.1-8b-instruct,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,pe_llama-3.1-8b-instruct,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,pe_llama-3.3-70b-instruct,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,pe_llama-3.3-70b-instruct,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mixtral-8x7b-instruct-v0.1,100.0,,,,art,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,rotor,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gemma-2-27b-it,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,sensros,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,camera,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,pendulum,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,pendulum,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,gator,round_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,gator,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,turtlebot,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gemma-2-9b-it,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,buckling,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,rigid_multipatches,round_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,rigid_multipatches,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,cable,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,rotor,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,rotor,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,handler,round_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,handler,round_2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,handler,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,turtlebot,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,rigid_highway,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,llama3.1-8b-f1,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,llama3.1-8b-f1,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,viper,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,llama3.1-8b-f1,100.0,,,,citybus,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gemma-2-2b-it,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,Gemini-1.5-pro,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,handler,round_2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,lidar,round_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,tablecloth,round_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,buckling,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,particles,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,viper,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,viper,round_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f3,100.0,,,,scm_hill,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,Gemini-1.5-pro,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,camera,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,Gemini-1.5-pro,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,Gemini-1.5-pro,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72.0,codestral-22b-instruct-v0.1,99.75583996960167,,,,rotor,round_2,0.99267519908805,0.9851841973025944,0.9855165990496052,1.0,1.0,1.0,1.0,1.0,1.0
72.0,mamba-codestral-7b-v0.1,99.75583996960167,,,,rotor,round_2,0.99267519908805,0.9851841973025944,0.9855165990496052,1.0,1.0,1.0,1.0,1.0,1.0
74.0,pe_llama-3.1-405b-instruct,99.74937402422147,,,,tablecloth,round_3,0.9964972849836718,0.993898625321452,0.9940707126330371,0.998019801980198,1.0,0.997991967871486,0.9959758551307848,0.997991967871486,0.997991967871486
74.0,pe_llama-3.3-70b-instruct,99.74937402422147,,,,tablecloth,round_3,0.9964972849836718,0.993898625321452,0.9940707126330371,0.998019801980198,1.0,0.997991967871486,0.9959758551307848,0.997991967871486,0.997991967871486
74.0,gpt-4o-mini-f1,99.74937402422147,,,,tablecloth,round_3,0.9964972849836718,0.993898625321452,0.9940707126330371,0.998019801980198,1.0,0.997991967871486,0.9959758551307848,0.997991967871486,0.997991967871486
74.0,codestral-22b-instruct-v0.1,99.74937402422147,,,,tablecloth,round_3,0.9964972849836718,0.993898625321452,0.9940707126330371,0.998019801980198,1.0,0.997991967871486,0.9959758551307848,0.997991967871486,0.997991967871486
74.0,claude-3-5-sonnet,99.74937402422147,,,,tablecloth,round_3,0.9964972849836718,0.993898625321452,0.9940707126330371,0.998019801980198,1.0,0.997991967871486,0.9959758551307848,0.997991967871486,0.997991967871486
74.0,mixtral-8x22b-instruct-v0.1,99.74937402422147,,,,tablecloth,round_3,0.9964972849836718,0.993898625321452,0.9940707126330371,0.998019801980198,1.0,0.997991967871486,0.9959758551307848,0.997991967871486,0.997991967871486
80.0,pe_gpt-4o-mini,99.71434261506799,,,,gear,round_2,0.9914302784520396,0.9779485965801172,0.9877725172280412,1.0,1.0,1.0,1.0,1.0,1.0
81.0,gpt-4o-mini-f3,99.71196989098576,,,,tablecloth,round_2,0.9954490762796748,0.993853623006498,0.9940278748099703,0.9939148073022313,1.0,0.9979550102249488,0.9959016393442623,0.9979550102249488,0.9979550102249488
82.0,pe_llama-3.3-70b-instruct,99.67617547552315,,,,buckling,round_2,0.9902852642656944,0.9803321445043108,0.9808089125584664,1.0,1.0,1.0,1.0,1.0,1.0
83.0,mamba-codestral-7b-v0.1,99.62672497451088,,,,citybus,round_3,0.9939431374101336,0.987789236754722,0.9879833128858132,1.0,1.0,0.9974293059125964,0.9948453608247424,0.9974293059125964,0.9974293059125964
83.0,Gemini-1.5-pro,99.62672497451088,,,,citybus,round_3,0.9939431374101336,0.987789236754722,0.9879833128858132,1.0,1.0,0.9974293059125964,0.9948453608247424,0.9974293059125964,0.9974293059125964
83.0,Gemini-1.5-pro,99.62672497451088,,,,citybus,round_3,0.9939431374101336,0.987789236754722,0.9879833128858132,1.0,1.0,0.9974293059125964,0.9948453608247424,0.9974293059125964,0.9974293059125964
83.0,pe_llama-3.1-405b-instruct,99.62672497451088,,,,citybus,round_3,0.9939431374101336,0.987789236754722,0.9879833128858132,1.0,1.0,0.9974293059125964,0.9948453608247424,0.9974293059125964,0.9974293059125964
83.0,mixtral-8x22b-instruct-v0.1,99.62672497451088,,,,citybus,round_3,0.9939431374101336,0.987789236754722,0.9879833128858132,1.0,1.0,0.9974293059125964,0.9948453608247424,0.9974293059125964,0.9974293059125964
83.0,gemma-2-27b-it,99.62672497451088,,,,citybus,round_3,0.9939431374101336,0.987789236754722,0.9879833128858132,1.0,1.0,0.9974293059125964,0.9948453608247424,0.9974293059125964,0.9974293059125964
89.0,gemma-2-9b-it,99.54136517083843,,,,citybus,round_3,0.9939431374101336,0.987789236754722,0.9879833128858132,1.0,1.0,0.9961489088575096,0.9935649935649936,0.9961489088575096,0.9961489088575096
89.0,pe_llama-3.1-8b-instruct,99.54136517083843,,,,citybus,round_3,0.9939431374101336,0.987789236754722,0.9879833128858132,1.0,1.0,0.9961489088575096,0.9935649935649936,0.9961489088575096,0.9961489088575096
89.0,codestral-22b-instruct-v0.1,99.54136517083843,,,,citybus,round_3,0.9939431374101336,0.987789236754722,0.9879833128858132,1.0,1.0,0.9961489088575096,0.9935649935649936,0.9961489088575096,0.9961489088575096
92.0,gpt-4o-mini-f1,99.52641632525864,,,,cable,round_2,0.9857924897577588,0.9711266347072592,0.972043324323776,1.0,1.0,1.0,1.0,1.0,1.0
93.0,gpt-4o-mini-f1,99.52411535142141,,,,hmmwv,round_1,0.9857234605426424,0.966399264826644,0.976494577343926,1.0,1.0,1.0,1.0,1.0,1.0
93.0,gpt-4o-mini-f3,99.52411535142141,,,,hmmwv,round_1,0.9857234605426424,0.966399264826644,0.976494577343926,1.0,1.0,1.0,1.0,1.0,1.0
95.0,mixtral-8x7b-instruct-v0.1,99.4715112007819,,,,sensros,round_3,0.9888145967238472,0.9880234313329322,0.988249190437901,0.9839857651245552,0.995,0.9976653696498052,0.9961028838659391,0.9976653696498052,0.9976653696498052
95.0,pe_llama-3.1-405b-instruct,99.4715112007819,,,,sensros,round_3,0.9888145967238472,0.9880234313329322,0.988249190437901,0.9839857651245552,0.995,0.9976653696498052,0.9961028838659391,0.9976653696498052,0.9976653696498052
95.0,codestral-22b-instruct-v0.1,99.4715112007819,,,,sensros,round_3,0.9888145967238472,0.9880234313329322,0.988249190437901,0.9839857651245552,0.995,0.9976653696498052,0.9961028838659391,0.9976653696498052,0.9976653696498052
98.0,mistral-large-latest,99.46899657650438,,,,viper,round_2,0.99261690584214,0.989877774532577,0.989877774532577,0.9907120743034056,1.0,1.0,0.9942857142857144,0.9914529914529916,1.0
98.0,pe_llama-3.1-405b-instruct,99.46899657650438,,,,viper,round_2,0.99261690584214,0.989877774532577,0.989877774532577,0.9907120743034056,1.0,1.0,0.9942857142857144,0.9914529914529916,1.0
98.0,gemma-2-27b-it,99.46899657650438,,,,viper,round_2,0.99261690584214,0.989877774532577,0.989877774532577,0.9907120743034056,1.0,1.0,0.9942857142857144,0.9914529914529916,1.0
101.0,pe_gpt-4o-mini,99.44295042927888,,,,buckling,round_2,0.9832885128783664,0.966216918768942,0.9669371327445238,1.0,1.0,1.0,1.0,1.0,1.0
101.0,pe_llama-3.1-8b-instruct,99.44295042927888,,,,buckling,round_2,0.9832885128783664,0.966216918768942,0.9669371327445238,1.0,1.0,1.0,1.0,1.0,1.0
101.0,pe_llama-3.1-405b-instruct,99.44295042927888,,,,buckling,round_2,0.9832885128783664,0.966216918768942,0.9669371327445238,1.0,1.0,1.0,1.0,1.0,1.0
101.0,mixtral-8x22b-instruct-v0.1,99.44295042927888,,,,buckling,round_2,0.9832885128783664,0.966216918768942,0.9669371327445238,1.0,1.0,1.0,1.0,1.0,1.0
105.0,gpt-4o-mini-f3,99.41390174156489,,,,viper,round_3,0.9907852530837666,0.9813057074915894,0.9818353048434773,1.0,1.0,0.99581589958159,0.9915966386554622,0.99581589958159,0.99581589958159
106.0,pe_deepseek-r1-32b,99.39317719157138,,,,tablecloth,round_3,0.9918354763897116,0.986555841831781,0.9867266577864712,0.994059405940594,1.0,0.997991967871486,0.9919517102615694,0.9919678714859438,0.997991967871486
106.0,gpt-4o-mini-f3,99.39317719157138,,,,tablecloth,round_3,0.9918354763897116,0.986555841831781,0.9867266577864712,0.994059405940594,1.0,0.997991967871486,0.9919517102615694,0.9919678714859438,0.997991967871486
106.0,gpt-4o-mini,99.39317719157138,,,,tablecloth,round_3,0.9918354763897116,0.986555841831781,0.9867266577864712,0.994059405940594,1.0,0.997991967871486,0.9919517102615694,0.9919678714859438,0.997991967871486
106.0,pe_gpt-4o-mini,99.39317719157138,,,,tablecloth,round_3,0.9918354763897116,0.986555841831781,0.9867266577864712,0.994059405940594,1.0,0.997991967871486,0.9919517102615694,0.9919678714859438,0.997991967871486
106.0,mixtral-8x7b-instruct-v0.1,99.39317719157138,,,,tablecloth,round_3,0.9918354763897116,0.986555841831781,0.9867266577864712,0.994059405940594,1.0,0.997991967871486,0.9919517102615694,0.9919678714859438,0.997991967871486
106.0,pe_llama-3.1-8b-instruct,99.39317719157138,,,,tablecloth,round_3,0.9918354763897116,0.986555841831781,0.9867266577864712,0.994059405940594,1.0,0.997991967871486,0.9919517102615694,0.9919678714859438,0.997991967871486
112.0,claude-4-sonnet-20250514,99.22304501860725,,,,buckling,round_2,0.9797825406664094,0.9591469218406914,0.9599832408249462,1.0,1.0,0.9984544049459042,0.9969040247678018,0.9984544049459042,0.9984544049459042
112.0,mixtral-8x7b-instruct-v0.1,99.22304501860725,,,,buckling,round_2,0.9797825406664094,0.9591469218406914,0.9599832408249462,1.0,1.0,0.9984544049459042,0.9969040247678018,0.9984544049459042,0.9984544049459042
112.0,mistral-nemo-12b-instruct,99.22304501860725,,,,buckling,round_2,0.9797825406664094,0.9591469218406914,0.9599832408249462,1.0,1.0,0.9984544049459042,0.9969040247678018,0.9984544049459042,0.9984544049459042
112.0,gpt-4.1-nano,99.22304501860725,,,,buckling,round_2,0.9797825406664094,0.9591469218406914,0.9599832408249462,1.0,1.0,0.9984544049459042,0.9969040247678018,0.9984544049459042,0.9984544049459042
116.0,claude-4-sonnet-20250514,99.20507423321347,,,,sensros,round_3,0.9884979060087498,0.9715974497570768,0.9948496902921572,0.9875444839857652,1.0,0.9938271604938272,0.9922720247295208,0.9938271604938272,0.9938271604938272
117.0,llama3.1-8b-f1,99.15869663088925,,,,tablecloth,round_3,0.9888171238262762,0.980434418954938,0.980774670409573,0.994059405940594,1.0,0.9959839357429718,0.9879275653923542,0.9899598393574296,0.9959839357429718
118.0,claude-4-sonnet-20250514,99.15403458615096,,,,citybus,round_3,0.974621037584529,0.948670197849005,0.9498139524891108,1.0,1.0,1.0,1.0,1.0,1.0
119.0,gpt-4o-mini-f3,99.1462636720949,,,,lidar,round_2,0.9828267287282478,0.9782272243507888,0.9790547372269042,0.9814323607427056,0.9925925925925926,0.9957805907172996,0.9936575052854124,0.9957805907172996,0.9957805907172996
120.0,claude-3-5-sonnet,99.1457544150802,,,,art,round_2,0.9743726324524064,0.9481632591279004,0.949327270681725,1.0,1.0,1.0,1.0,1.0,1.0
120.0,mistral-large-latest,99.1457544150802,,,,art,round_2,0.9743726324524064,0.9481632591279004,0.949327270681725,1.0,1.0,1.0,1.0,1.0,1.0
120.0,gpt-4o-mini,99.1457544150802,,,,art,round_2,0.9743726324524064,0.9481632591279004,0.949327270681725,1.0,1.0,1.0,1.0,1.0,1.0
120.0,pe_gpt-4o-mini,99.1457544150802,,,,art,round_2,0.9743726324524064,0.9481632591279004,0.949327270681725,1.0,1.0,1.0,1.0,1.0,1.0
120.0,claude-3-7-sonnet-20250219,99.1457544150802,,,,art,round_2,0.9743726324524064,0.9481632591279004,0.949327270681725,1.0,1.0,1.0,1.0,1.0,1.0
125.0,mixtral-8x22b-instruct-v0.1,99.12054890670451,,,,sensros,round_3,0.9845114088353768,0.9794180387035952,0.9796418315133568,0.9839857651245552,0.995,0.9976653696498052,0.9929851909586904,0.9914396887159532,0.9976653696498052
126.0,gpt-4o-mini-f1,99.09382291251201,,,,sensros,round_3,0.9837351241928334,0.9803059826103618,0.9806487490364164,0.9839857651245552,0.99,0.9953198127925116,0.990625,0.9937597503900156,0.9953198127925116
127.0,mistral-nemo-12b-instruct,99.0438112968119,,,,rotor,round_2,0.9758909979432586,0.9454424164737334,0.9581215752993008,1.0,1.0,0.9977116704805492,0.9954128440366972,0.9977116704805492,0.9954233409610984
127.0,gpt-4o-mini,99.0438112968119,,,,rotor,round_2,0.9758909979432586,0.9454424164737334,0.9581215752993008,1.0,1.0,0.9977116704805492,0.9954128440366972,0.9977116704805492,0.9954233409610984
129.0,pe_deepseek-r1-32b,99.01683780281498,,,,citybus,round_3,0.9883850829988812,0.9756660193257468,0.9806065531069366,0.9972677595628416,1.0,0.991060025542784,0.9884763124199744,0.991060025542784,0.991060025542784
130.0,gemma-2-9b-it,99.00876473674619,,,,handler,round_2,0.9774831587088838,0.96345962200223,0.9757770421373344,0.9706959706959708,0.0,0.996389891696751,0.9927536231884057,0.996389891696751,0.996389891696751
130.0,gemma-2-27b-it,99.00876473674619,,,,handler,round_2,0.9774831587088838,0.96345962200223,0.9757770421373344,0.9706959706959708,0.0,0.996389891696751,0.9927536231884057,0.996389891696751,0.996389891696751
130.0,mixtral-8x7b-instruct-v0.1,99.00876473674619,,,,handler,round_2,0.9774831587088838,0.96345962200223,0.9757770421373344,0.9706959706959708,0.0,0.996389891696751,0.9927536231884057,0.996389891696751,0.996389891696751
133.0,codestral-22b-instruct-v0.1,99.00408145364054,,,,beam,round_3,0.9773775826660482,0.9567093704705673,0.9621467545861492,0.9906542056074766,1.0,0.996372430471584,0.993939393939394,0.996372430471584,0.996372430471584
134.0,gpt-4o-mini,99.00294350862164,,,,buckling,round_2,0.9762706854750328,0.952065738020304,0.9530170038798272,1.0,1.0,0.9969088098918084,0.9938080495356038,0.9969088098918084,0.9969088098918084
135.0,gpt-4o-mini-f1,99.00246014762547,,,,rigid_highway,round_2,0.9835267192269704,0.9667987629631056,0.9673081139447768,1.0,1.0,0.9932735426008968,0.9865168539325844,0.9932735426008968,0.9932735426008968
136.0,llama3.1-8b-f1,98.98711382780466,,,,buckling,round_2,0.9773473668836375,0.9542180255978474,0.9551714419367028,1.0,1.0,0.9961330239752512,0.994577846630519,0.9961330239752512,0.9961330239752512
137.0,Gemini-1.5-pro,98.97950531728169,,,,sensros,round_3,0.980280101152692,0.9708382649277024,0.9712963745585104,0.9839857651245552,0.995,0.9945525291828794,0.989867498051442,0.9945525291828794,0.9945525291828794
137.0,Gemini-1.5-pro,98.97950531728169,,,,sensros,round_3,0.980280101152692,0.9708382649277024,0.9712963745585104,0.9839857651245552,0.995,0.9945525291828794,0.989867498051442,0.9945525291828794,0.9945525291828794
139.0,Gemini-1.5-pro,98.96242366372981,,,,handler,round_2,0.9797226194959814,0.9733831041780684,0.9748114031098865,0.9706959706959708,0.0,0.9945750452079566,0.9872958257713248,0.9945750452079566,0.9945750452079566
139.0,mixtral-8x22b-instruct-v0.1,98.96242366372981,,,,handler,round_2,0.9797226194959814,0.9733831041780684,0.9748114031098865,0.9706959706959708,0.0,0.9945750452079566,0.9872958257713248,0.9945750452079566,0.9945750452079566
139.0,Gemini-1.5-pro,98.96242366372981,,,,handler,round_2,0.9797226194959814,0.9733831041780684,0.9748114031098865,0.9706959706959708,0.0,0.9945750452079566,0.9872958257713248,0.9945750452079566,0.9945750452079566
142.0,gpt-4o-mini-f1,98.943748816103,,,,curiosity,round_2,0.9841227411629316,0.9677628070091104,0.968728157642616,1.0,1.0,0.9920948616600792,0.984126984126984,0.9920948616600792,0.9920948616600792
143.0,mistral-large-latest,98.93732039573293,,,,buckling,round_2,0.9727528165051924,0.9449731125909142,0.946038153429856,1.0,1.0,0.9976833976833976,0.9961330239752512,0.9976833976833976,0.9976833976833976
144.0,codestral-22b-instruct-v0.1,98.91484668008393,,,,handler,round_2,0.9782953099866049,0.967673866140562,0.9748114031098865,0.9706959706959708,0.0,0.9945750452079566,0.9872958257713248,0.9945750452079566,0.9945750452079566
145.0,pe_llama-3.3-70b-instruct,98.90859893966552,,,,gator,round_3,0.9804505803271688,0.9650878743650424,0.9656830568091032,1.0,0.9910313901345292,0.9947229551451188,0.9814814814814816,0.992084432717678,0.9947229551451188
146.0,pe_llama-3.1-405b-instruct,98.87082211032026,,,,gator,round_3,0.9714017081644892,0.9875459029433392,0.9877470283693264,1.0,0.9103139013452914,0.9973614775725592,0.9947089947089948,0.9973614775725592,0.9973614775725592
146.0,mixtral-8x22b-instruct-v0.1,98.87082211032026,,,,gator,round_3,0.9714017081644892,0.9875459029433392,0.9877470283693264,1.0,0.9103139013452914,0.9973614775725592,0.9947089947089948,0.9973614775725592,0.9973614775725592
146.0,codestral-22b-instruct-v0.1,98.87082211032026,,,,gator,round_3,0.9714017081644892,0.9875459029433392,0.9877470283693264,1.0,0.9103139013452914,0.9973614775725592,0.9947089947089948,0.9973614775725592,0.9973614775725592
146.0,mistral-nemo-12b-instruct,98.87082211032026,,,,gator,round_3,0.9714017081644892,0.9875459029433392,0.9877470283693264,1.0,0.9103139013452914,0.9973614775725592,0.9947089947089948,0.9973614775725592,0.9973614775725592
150.0,gpt-4o-mini-f1,98.85586915687266,,,,kraz,round_2,0.983181545165698,0.9659124935247736,0.966813687138018,1.0,1.0,0.9912472647702408,0.9824561403508772,0.9912472647702408,0.9912472647702408
151.0,claude-3-7-sonnet-20250219,98.8417722644009,,,,rotor,round_2,0.9744064860098304,0.9454424164737334,0.9581215752993008,0.9978213507625272,0.9962406015037594,0.9954233409610984,0.993119266055046,0.9954233409610984,0.9931350114416476
152.0,gpt-4.1,98.77896510440307,,,,citybus,round_3,0.9685103413068996,0.9363590071907558,0.9376823580368427,1.0,1.0,0.9974293059125964,0.9948453608247424,0.9974293059125964,0.9974293059125964
153.0,mamba-codestral-7b-v0.1,98.75659913902813,,,,cable,round_2,0.9626979741708436,0.923728110110296,0.9270637865730788,1.0,1.0,1.0,1.0,1.0,1.0
153.0,mistral-nemo-12b-instruct,98.75659913902813,,,,cable,round_2,0.9626979741708436,0.923728110110296,0.9270637865730788,1.0,1.0,1.0,1.0,1.0,1.0
153.0,mistral-large-latest,98.75659913902813,,,,cable,round_2,0.9626979741708436,0.923728110110296,0.9270637865730788,1.0,1.0,1.0,1.0,1.0,1.0
153.0,pe_gpt-4o-mini,98.75659913902813,,,,cable,round_2,0.9626979741708436,0.923728110110296,0.9270637865730788,1.0,1.0,1.0,1.0,1.0,1.0
153.0,gemma-2-2b-it,98.75659913902813,,,,cable,round_2,0.9626979741708436,0.923728110110296,0.9270637865730788,1.0,1.0,1.0,1.0,1.0,1.0
